"不变量编号","不变量","业务依据","代码执行点","配置/数据执行点","消费端校验点","测试","并发成立性","恢复成立性","证据状态","破坏检测/恢复"
"INV-AU-009-001","Money始终使用同币种safe-integer minor unit且算术不溢出","金额精度不能依赖浮点","Money.of/add/subtract","CURRENCIES当前仅CNY","Finance/Payment策略","TC-AU-009-001覆盖创建与add overflow","每个实例冻结且无共享状态","错误前无状态写","[FACT] 成立","增加减法/币种/边界矩阵；回退调用方改动"
"INV-AU-009-002","一次失败打开的circuit不能被更早开始的旧成功关闭","隔离故障必须按完成代际一致","CircuitBreaker.run/succeed/fail","threshold/recovery来自runtime limits或vendor config","Executor/VendorClient","现有TC只串行","[BROKEN] 并发旧成功重置open","无自动恢复依据；后续失败才可能重开","F-0047/E-AU-009-004","受控Promise完成顺序反事实；修复需单独状态机提交"
"INV-AU-009-003","half-open probe无论operation或classifier如何结束都必须释放或转态","单probe不能永久占用","CircuitBreaker.run/before","无","所有Circuit消费者","classifier false有测；classifier throw未测","[BROKEN] throw留下probing=true","实例只能被替换或重启","F-0047/E-AU-009-004","classifier throw后第二调用必须可恢复"
"INV-AU-009-004","可重试业务写必须绑定可由provider识别的稳定业务键","lost-response不得扩大外部副作用","Retry mode + Executor/HttpClient","adapter request.idempotency/provider headers","VendorClient有独立attempts门禁；Wechat无","Email key有测，Wechat key/retry无测","[BROKEN] 同一次send可重发无key POST","外部副作用无法由本地回滚","F-0048/E-AU-009-005","first-call-side-effect+transport-error fixture，断言第二调用策略"
"INV-AU-009-005","Deadline不得早于expiresAt中止且所有listener/timer可清理","统一超时语义与资源回收","Deadline constructor/run/dispose","MAX_TIMER_MILLISECONDS","Executor/SDK/Vendor","只间接测1秒deadline","短期并发局部成立；长周期提前abort","dispose清timer/detach parent，但sync throw listener残留","F-0051/E-AU-009-009","fake now/timer跨MAX；sync throw listener计数"
"INV-AU-009-006","ModuleCatalog索引、返回manifest和provider集合必须来自同一不可变快照","启动组合不能被调用者mutation改变","ModuleCatalog constructor/get/providersFor/resolve","35 manifests","当前无startup caller","四个synthetic resolver测试","[BROKEN] manifest mutation造成视图分裂","重建catalog可恢复；无自动检测","F-0049/E-AU-009-006/007","真实manifest全集 + mutation + duplicate capability矩阵"
"INV-AU-009-007","ValueObject相等必须区分业务上不同的允许值且对支持输入全定义","值对象用于身份/比较","ValueObject.canonical","泛型允许nested unknown","PaymentReference当前只字符串","无直接测试","实例局部无共享状态","错误前无外部写","F-0050/E-AU-009-008","Date/nonfinite/BigInt/cycle/undefined/array/property-order矩阵"
"INV-AU-009-008","测试ID生成器的每个输出必须通过同一Kernel Id parser","fixture不可在规模边界自行失效","TestIdGenerator.next→Id.parse","sequence进程内递增","当前无仓内caller","无测试","[BROKEN] 第18项确定失败","重建generator从0开始只暂时恢复","F-0052/E-AU-009-010","至少生成一个完整字母表周期并parse"
"INV-AU-009-009","observe Gate只记录结果，不能替代或改变授权裁决","当前门禁底座明确是观察模式","Gate types + GateEngine","Operation gates","HttpApp/AccessPipeline","GateEngine/HttpApp gates tests","每请求局部结果；registry共享但只读消费","插件错误转换为observation error","[FACT] 当前成立","从Operation注册到AccessPipeline/handler反事实；未来mode变化需专项"
"INV-AU-009-010","公开readonly目录和值对象在运行时也不得被调用者改写","共享基础语义不能只依赖TypeScript编译器","Currency.ts CURRENCIES/Currency.code","当前仅CNY","Money与潜在外部消费者","Money test不做mutation","[BROKEN] 同进程消费者可改变全局接受集","重启进程恢复初值；无自动检测","F-0032/E-AU-009-018","隔离进程push/assignment反事实；共享可变状态专项统一处理"
