"路径","模块","类型","审阅状态","审阅日期","入口/调用者","风险","结论","二次复核"
"01_core_hexin/apps/console/src/feature/qualification/manifest.ts","Console/qualification","TypeScript源码","已深入审阅","2026-09-14","Console module registry","低","只读入口；写操作不由此页暴露","否"
"01_core_hexin/apps/console/src/feature/qualification/QualificationRoute.tsx","Console/qualification","TypeScript源码","已深入审阅","2026-09-14","settings/qualification","低","cursor/nextCursor 正确回灌","否"
"01_core_hexin/apps/console/src/feature/qualification/QualificationQuery.ts","Console/qualification","TypeScript源码","已深入审阅","2026-09-14","QualificationRoute","低","50条分页契约与 SDK 对齐","否"
"01_core_hexin/apps/console/src/feature/qualification/QualificationSchema.ts","Console/qualification","TypeScript源码","已深入审阅","2026-09-14","QualificationQuery","低","策略读取 schema 仅为展示映射","否"
"01_core_hexin/services/commerce/src/app/modules.ts","Commerce/runtime","TypeScript源码","已深入审阅","2026-09-14","Commerce bootstrap","中","完整 QualificationModule 已注册","否"
"01_core_hexin/services/commerce/src/modules/qualification/module.manifest.ts","Commerce/qualification","TypeScript源码","已深入审阅","2026-09-14","module registry","低","声明 read/manage 能力与 member.read 依赖","否"
"01_core_hexin/services/commerce/src/modules/qualification/03_application_yingyong/QualificationReadOperations.ts","Commerce/qualification","TypeScript源码","已深入审阅","2026-09-14","Identity operator module","低","keyset 读取正确返回 continuation","否"
"01_core_hexin/services/commerce/src/modules/qualification/03_application_yingyong/QualificationOperations.ts","Commerce/qualification","TypeScript源码","已深入审阅","2026-09-14","QualificationModule","P1候选/F-0138；P2/F-0139,F-0140","包含全部三个发现的直接实现证据","是"
"01_core_hexin/services/commerce/src/modules/qualification/05_interface_jieru/QualificationModule.ts","Commerce/qualification","TypeScript源码","已深入审阅","2026-09-14","BUSINESS_MODULES","中","完整操作运行入口","否"
"01_core_hexin/services/commerce/src/modules/qualification/05_interface_jieru/IdentityOperatorQualificationModule.ts","Commerce/qualification","TypeScript源码","已深入审阅","2026-09-14","identity operator profile","低","选定运行单元仅公开读取","否"
"01_core_hexin/packages/sdk/src/operations/qualification.ts","共享/sdk","自动生成","已结构性审阅","2026-09-14","Console/外部 API caller","中","管理/预览仍是公共契约；不作逐行风格审阅","否"
"01_core_hexin/packages/contract/src/operations/CommerceOperations.ts","共享/contract","自动生成","已结构性审阅","2026-09-14","OperationCatalog","中","critical manage 标为 expectedVersion optional、stepup true","是（F-0138）"
"02_platform_pingtai/database/supabase/migrations/20260821016000_create_qualification.sql","数据库/qualification","迁移","已深入审阅","2026-09-14","迁移 ledger","中","版本化主表/子表结构证明完整策略模型","否"
"01_core_hexin/services/commerce/src/modules/checkout_jiesuan/03_application_yingyong/queries_duqu/QuoteReader.ts","Commerce/checkout","TypeScript源码","已深入审阅","2026-09-14","报价运行链","P2/F-0139,F-0140","资格策略实际消费者，规则语义多于 preview/manage API","是"
