"函数编号","文件/位置","1 唯一职责","2 参数来源","3 运行时校验","4 类型真实性","5 默认值","6 特殊输入","7 参数变异","8 外部可变状态","9 调用顺序依赖","10 隐藏前置条件","11 不变量","12 返回路径","13 抛错路径","14 提前返回","15 外部调用","16 数据库写入","17 日志","18 权限判断","19 重试","20 超时","21 资源清理","22 Promise","23 并发安全","24 重复调用","25 半完成状态","26 已测分支","27 未测分支","28 复杂度","29 拆分判断","30 相邻重复"
"FN-AU-010-001","PermissionCatalog.ts:8-9 definition","构造单个permission definition","模块内静态目录字面量","无code/category/scopes运行校验；risk由TS","静态字面量真实；scopes数组运行可变","risk=low；scopes=scoped","未知risk仅TS阻止；空code可构造但目录实值合法","不改参数；保留scopes引用","共享scoped/operator/all数组","模块初始化批量调用","调用者假定数组不会变","definition外壳冻结但嵌套不冻结","PermissionDefinition","无","无","Object.freeze","无","无","定义风险/scopes/stepup","无","无","无","同步","共享数组使并发consumer可见mutation","同参新对象但共享scopes","无持久半状态","目录实值间接覆盖","mutation/非法构造无测试","低","无需拆分；需不可变专项","与contractgen metadata生成相邻"
"FN-AU-010-002","PermissionCatalog.ts:201-205 permissionDefinition","按code返回目录定义","Operation/AccessPipeline/ModuleOperations/测试","Map查找；unknown抛错","code运行string；Map值来自目录","无","空/未知code抛错","不改参数/返回共享对象","模块级byCode与可变scopes","目录模块须先成功初始化","返回对象被视为immutable","已知code唯一；未知不降级","definition","PERMISSION_UNKNOWN","无","Map.get","无","无","校验permission存在并提供风险/scope","无","无","无","同步","Map只读私有；返回嵌套可变","重复查询同一引用","无","已知code间接大量使用","unknown及mutation未测","低","不拆","contractgen另用find/Set重复lookup"
"FN-AU-010-003","Policy.ts:20-28 decide","串联完整纯授权判定","测试/潜在仓外caller","委托三个stage","Date/Scope来自调用者，无runtime schema","stepupSeconds由freshStepup默认900","inactive/stale/deny/missing/scope/stepup","不改输入","读取目录共享状态","precheck→scope→assurance严格顺序","resource和context必须可信/有效","首个失败返回且不执行后续","allow evidence或deny reason","permission unknown可抛","每阶段失败提前返回","precheck/checkScope/checkAssurance","无","无","完整授权","无","stepup窗口","无","同步","纯调用本身可重入；目录可被mutation","同输入同目录状态下确定","无","4包用例+2security","异常scope、inactive、unknown、mutation","低","façade应保留","生产AccessPipeline复制阶段顺序并插入外部门禁"
"FN-AU-010-004","Policy.ts:30-36 precheck","验证membership和permission全局前置","AccessPipeline/decide/tests","active、严格version、deny、known permission、有效grant","accessVersion声明number但Pg实际string；严格比较碰巧同型","无","NaN/非法Date导致grant不有效；unknown可抛","不改输入","PermissionCatalog共享Map/scopes不在本阶段读取scopes","必须先于同permission的checkScope","caller使用相同permission和decision time","deny优先于allow；无grant默认拒绝","null或4类reason","PERMISSION_UNKNOWN","按失败顺序提前返回","permissionDefinition/isEffective","无","无","身份状态/版本/显式deny/permission allow","无","无","无","同步","快照输入下确定；外部对象可被caller变更","重复调用确定","无","default/deny/stale/missing","inactive/future effective/boundary/unknown/真实pg类型","中","职责集中合理","capability DB也做permission/deny过滤"
"FN-AU-010-005","Policy.ts:38-44 checkScope","验证permission允许kind及grant包含resource","AccessPipeline、AccessOperations、tests","permissionDefinition、definition.scopes、grant有效期、contains","Scope仅TS结构；DB JSON未完整parse","无","null/malformed scope可抛；缺tenant/错误platform可能allow","不改输入","目录scopes可被同进程mutation","正常须在同permission precheck之后","membership active/version/deny已先验证","仅允许合法kind+有效grant containment","evidence或reason","PERMISSION_UNKNOWN/异常对象TypeError","kind/grant失败提前返回","permissionDefinition/isEffective/contains","无","无","scope授权；单独不检查deny/version/active","无","无","无","同步","快照下确定；共享目录可变","重复调用确定","无","kind deny、cross tenant、ancestor","二级deny、错误platform、缺tenant、跨kind ID","中","stage本身合理；caller契约需显式","AccessOperations另有scopeContains实现"
"FN-AU-010-006","Policy.ts:46-48 checkAssurance","按permission风险检查step-up新鲜度","AccessPipeline/tests","known permission+freshStepup","Date来自caller，无schema；invalid/future拒绝","critical由catalog stepup；窗口900","非critical始终null；future/invalid/负窗口","不改输入","目录definition可见mutation","应在permission/scope通过后","AccessPipeline另需level>=3","critical无fresh证据拒绝","null或STEPUP_REQUIRED","PERMISSION_UNKNOWN","三元表达式","permissionDefinition/freshStepup","无","无","只判时间，不判assurance level","无","900秒默认窗口","无","同步","纯函数确定","重复调用确定","无","缺失/60秒/边界探针","invalid Date、自定义0/负窗口、Pipeline critical level","低","不拆","StepupPolicy重复时间判断并增加level"
"FN-AU-010-007","Policy.ts:50-52 hasPermission","检查grant含permission","precheck/checkScope","Array.includes精确字符串","permissions来自DB JSON，声明readonly string[]","无","空数组false；异常非数组抛错","不改输入","grant数组可变","无","grant结构有效","精确匹配","boolean","异常permissions类型TypeError","无","Array.includes","无","无","allow匹配","无","无","无","同步","输入快照下确定","重复确定","无","正常grant间接测","异常数组未测","低","不拆","DB capability也查询permission"
"FN-AU-010-008","Policy.ts:54-57 isEffective","判定grant时间窗口","precheck/checkScope","Date.parse结果隐式比较","字符串来自DB timestamptz JSON；非法变NaN","expires null为永久","exact effective允许；exact expiry拒绝；invalid拒绝","不改输入","now/grant若外部突变会改变结果","两个stage分别调用","同一次Pipeline使用同一now","effective<=now<expires","boolean","不抛；异常Date为false","无","Date构造","无","无","时间授权","无","无","无","同步","同输入确定","重复确定","无","expiry普通测试+本AU边界","future effective/invalid/date timezone格式","低","不拆","DB查询已预筛有效行，形成防御重复"
"FN-AU-010-009","Policy.ts:59-65 contains","判定grant scope包含resource","checkScope","self/owner kind+id；其它tenant条件+id/path","Scope仅TS；JSON无完整runtime校验","无","platform/缺tenant/跨kind同ID异常","不改输入","path数组外部可变","在permission kind通过后调用","grant/resource必须canonical且tenant完整","层级ancestor按kind+id；当前三项破坏","boolean","异常null/path可抛","platform/self/owner/tenant提前返回","Array.some","无","无","核心scope授权","无","无","无","同步","纯函数但输入可变","重复确定","无","canonical祖先/cross tenant/self-owner","错误platform、缺tenant、同ID跨kind","中","应独立定稿containment闭表","AccessOperations.scopeContains更严格kind+id但不做tenant"
"FN-AU-010-010","Policy.ts:67-70 freshStepup","计算step-up年龄窗口","checkAssurance","stepupAt存在；age>=0且<=窗口","Date来自caller；invalid为false","stepupSeconds=900","未来、invalid、0、exact 900、负窗口","不改输入","系统时间由context显式注入","无","seconds应非负有限但未校验","未来拒绝，边界包含","boolean","不抛","missing提前false","Date.getTime","无","无","assurance freshness","无","实现超时窗口","无","同步","同context确定","重复确定","无","60秒正常+本AU边界","负/NaN/Infinity seconds未测","低","不拆","StepupPolicy同算法，默认一致"
