"符号编号","文件编号","1 符号名称","2 声明位置","3 直接消费者","4 间接消费者","5 重新导出","6 动态访问","7 仅测试使用","8 公共契约","9 运行时副作用","10 可见范围","11 兼容导出","12 删除或改名影响"
"S-AU-003-001","FILE-AU-003-001","NODE_MANIFEST_REGISTRY","ApiBootstrap.ts:24","target runtime configure","API bootstrap/node resolver","无","Container token lookup","否","内部 DI 契约","模块加载创建 token","Commerce 内部","否","节点绑定失败"
"S-AU-003-002","FILE-AU-003-001","SERVER_NODE_MANIFEST_REGISTRY","ApiBootstrap.ts:25-27","bind helper/default runtime registry","L0 API","无","否","否","节点 registry 实例","顶层 await 物化 registry","Commerce 内部","否","API 模块加载/启动改变"
"S-AU-003-003","FILE-AU-003-001","bindServerNodeManifestRegistry","ApiBootstrap.ts:29-34","runtime configure","bootstrapApi","无","否","否","内部启动契约","绑定 container","Commerce 内部","否","节点解析缺绑定"
"S-AU-003-004","FILE-AU-003-001","singleNodeManifestRegistry","ApiBootstrap.ts:36-43","runtimeNodeManifestRegistry/tests","L1 target runtime","无","否","部分测试","内部配置契约","无","Commerce 内部","否","L1 单节点 registry 生成改变"
"S-AU-003-005","FILE-AU-003-001","runtimeNodeManifestRegistry","ApiBootstrap.ts:45-47","target runtime configure","API bootstrap","无","否","否","内部配置契约","无","Commerce 内部","否","L0/L1 registry 选择改变"
"S-AU-003-006","FILE-AU-003-001","ApiBootstrapOptions","ApiBootstrap.ts:49-58","所有 API Main/tests","bootstrapApi","无","否","否","类型契约","无","Commerce 内部","否","全部 API 编译影响"
"S-AU-003-007","FILE-AU-003-001","bootstrapApi","ApiBootstrap.ts:60-90","7 API Main + tests","HttpApp/NodeServer","无","否","否","核心启动契约","创建并冻结注册表/HttpApp","Commerce 内部","否","全部 API 无法启动"
"S-AU-003-008","FILE-AU-003-002","JobsBootstrapOptions","JobsBootstrap.ts:12-18","JobsMain/FullJobsMain/tests","bootstrapJobs","无","否","否","类型契约","无","Commerce 内部","否","Jobs 编译影响"
"S-AU-003-009","FILE-AU-003-002","bootstrapJobs","JobsBootstrap.ts:20-36","JobsMain/FullJobsMain","JobRegistry","无","否","否","核心启动契约","注册并冻结 jobs/container","Commerce 内部","否","Full Jobs 无法注册"
"S-AU-003-010","FILE-AU-003-003","RuntimeCompatibilityState","RuntimeCompatibility.ts:19-27","health operations/tests","runtimeCompatibility","无","否","否","运行健康结构","无","Commerce 内部","否","health 类型消费者受影响"
"S-AU-003-011","FILE-AU-003-003","runtimeCompatibility","RuntimeCompatibility.ts:29-72","health operations","Ready endpoints","无","否","否","运行健康契约","DB/extension health 查询","Commerce 内部","否","通用健康语义改变"
"S-AU-003-012","FILE-AU-003-003","assertRuntimeCompatibility","RuntimeCompatibility.ts:74-80","ApiMain/JobsMain/FullJobsMain","聚合入口","无","否","否","启动门禁","DB boundary query","Commerce 内部","否","聚合入口启动门禁改变"
"S-AU-003-013","FILE-AU-003-004","NodeServerHandle","NodeServer.ts:12-16","所有 API Main/tests","listen","无","否","否","服务生命周期契约","无","Commerce 内部","否","close/ready/port 调用编译影响"
"S-AU-003-014","FILE-AU-003-004","listen","NodeServer.ts:18-65","所有 API Main","HTTP runtime","无","否","否","服务入口","创建 socket server","Commerce 内部","否","全部 Node API 不能监听"
"S-AU-003-015","FILE-AU-003-004","trustedPeerAddress","NodeServer.ts:82-87","convert + tests","访问上下文","无","否","部分测试","请求边界","无","Commerce 内部","否","审计/客户端 IP 语义改变"
"S-AU-003-016","FILE-AU-003-005","ClaimedJob","JobRunner.ts:8-14","JobProcessor/runner/tests","所有 QueueJob","无","否","否","队列载荷类型","无","Commerce 内部","否","processor 类型/字段改变"
"S-AU-003-017","FILE-AU-003-005","JobDeadletter","JobRunner.ts:16-18","domain deadletter adapters","JobRunner.fail","无","否","否","失败扩展口","无","Commerce 内部","否","专项 deadletter 失联"
"S-AU-003-018","FILE-AU-003-005","JobProcessor","JobRunner.ts:20-22","33+ processors","QueueJob","无","否","否","任务执行口","无","Commerce 内部","否","全部 processor 编译/调用改变"
"S-AU-003-019","FILE-AU-003-005","JobRunnerConfig","JobRunner.ts:24-37","generic/dedicated job factories","JobRunner","无","否","否","队列时序契约","无","Commerce 内部","否","租约/重试配置面改变"
"S-AU-003-020","FILE-AU-003-005","JobRunner","JobRunner.ts:39-141","QueueJob","全部 jobs","无","否","否","队列执行内核","构造 Semaphore；运行 DB loop","Commerce 内部","否","全部 PostgreSQL jobs 停止"
"S-AU-003-021","FILE-AU-003-006","QueueJob","QueueJob.ts:6-19","app/jobs + dedicated runtimes","JobRegistry/Main","无","否","否","Job adapter","构造 JobRunner","Commerce 内部","否","任务不能接 Job 接口"
"S-AU-003-022","FILE-AU-003-007","OutboxEvent","OutboxRelay.ts:5","publisher/store consumers","OutboxRelay","从 OutboxStore 重导出","否","否","事件载荷类型","无","Commerce 内部","是","事件 publisher 类型影响"
"S-AU-003-023","FILE-AU-003-007","EventPublisher","OutboxRelay.ts:7-9","RuntimeEventPublisher","OutboxRelay","无","否","否","事件发布口","无","Commerce 内部","否","relay adapter 编译影响"
"S-AU-003-024","FILE-AU-003-007","OutboxRelay","OutboxRelay.ts:11-38","JobsMain/FullJobsMain","runtime.outbox","无","否","否","异步事件转发内核","构造 store/semaphore","Commerce 内部","否","聚合 outbox 不再转发"
"S-AU-003-025","FILE-AU-003-008","RuntimeScheduler","RuntimeScheduler.ts:18-43","JobsMain/FullJobsMain","四种定时 job","无","否","否","定时任务生产者","构造 LeaseStore","Commerce 内部","否","四类周期 job 不再产生"
