"证据编号","证据类型","时间/基线","入口/位置","观察","可证明","不可证明","复现/复核","敏感性"
"E-AU-005-001","Git/范围","固定基线","git status/branch/rev-parse；files.csv","审计分支从5a1ce71固定延续，开工HEAD为0bb7b165；源码未改","本AU基线、范围和报告-only边界","不能证明线上等于固定基线","在审计worktree复核status、HEAD、source blob","无"
"E-AU-005-002","源码控制流","固定基线","CommerceRuntime.ts；Pool.ts；PgUnitOfWork.ts；DatabaseContext/PgContext/WorkerDatabase","connection ref经Secret Store解析；workload pools有timeout；command用serializable+进程锁+advisory lock+40001/40P01重试；context事务内设置","数据库连接、事务、并发和清理基础边界","不能证明每个业务processor正确使用事务或线上role一致","从entry反追createRuntime/createPool/PgUnitOfWork并核对tests","不记录连接串"
"E-AU-005-003","注册/负向搜索","固定基线","JobsMain.ts；FullJobsMain.ts；release/remote policy；build map；AU-003 staging记录","只有JobsMain/FullJobsMain创建OutboxRelay和RuntimeScheduler；production正式target仅有identity/catalog/payment dedicated jobs；full-staging聚合Jobs unit被显式要求保持inactive","固定基线production正式target图缺通用relay/scheduler进程，staging也不是live替代","不能证明有人在正式图外手工运行，也不能证明live积压","全仓搜索构造点并对账release target、remote systemd、staging unit和build入口","无"
"E-AU-005-004","源码/生成契约","固定基线","OutboxStore.ts；RuntimeEventPublisher.ts；app/events.ts；全仓49个非测试文件含写入语句，其中34个在commerce运行源码","业务事务写outbox；publisher在单事务accept inbox并enqueue handler jobs；generated map把事件映射到projection/notification/reconciliation/referral等","持久异步链、去重边界及缺失relay的潜在影响面","不能证明所有文件当前都由正式API可达或live行数","反向抽样10个入口；第二审计者须按正式API再追可达producer","不读payload/业务数据"
"E-AU-005-005","源码/SQL","固定基线","JobRunner.ts:47-69；CatalogJobsRuntime.ts:150-206；20260821012000...sql:167-188；RuntimeJobs.ts:10-26","scoped claim含expired running；generic claim只选queued；Catalog export配置缺scope，使用generic；cleanup可重排expired running但只在aggregate jobs","export崩溃后通用claim本身无法恢复，cleanup缺席使其持久卡住","不能证明线上已有孤儿export或processor副作用范围","构造claim分支真值表；不对DB制造running job","无"
"E-AU-005-006","入口/客户端/配置/历史","固定基线","localsecrets/localkms Main+Handler；WorkloadAccessPolicy；Run；build；systemd；SecretStore/KmsClient","客户端发Bearer；Handler和policy执行401/403 exact resource；生产Main自行处理请求且不调用它们；build/systemd明确启动Main；staging加载policy credential但Main忽略","生产和staging服务端授权接线缺失及受影响入口","不能证明凭据已被未授权读取或主机上恶意进程存在","第二审计者从systemd制品重新追到Main并发送只读无凭据反事实时须经授权环境；本次未请求secret","高：只记录字段名/路径，不记录值"
"E-AU-005-007","源码/配置","固定基线","LocalObjects Main/LocalObjects；object systemd/env；ObjectStore client；GetExport/Console","服务loopback监听并使用StateDirectory；Main把publicEndpoint固定为127.0.0.1；authorize原样返回；Console anchor直接使用URL","远端浏览器下载URL的host错误和对象持久落点","不能证明线上已有completed export或用户实际点击失败","在隔离测试中只断言URL host；真实页面可后续只读验证","签名值不记录"
"E-AU-005-008","源码/负向搜索","固定基线","LocalObjects.complete/metadataFile；ObjectStore/ExportJobRunner/Import链；scanner关键词搜索","complete校验hash后直接写scan=clean；无scanner adapter；metadata以sha256唯一命名并包含可变path/contentType","scan provenance不存在；同内容后上传可覆盖旧metadata","不能证明已有恶意文件或历史collision","隔离临时目录上传同bytes不同metadata；本次未写对象状态","无"
"E-AU-005-009","源码/运行图","固定基线","RedisCache.ts；CommerceRuntime.ts；Api/Jobs environment；formal targets","reconnectStrategy=false；start/command失败destroy并永久degraded；API语义fail-open；当前dedicated target不创建Redis","进程内恢复缺口和非权威cache边界","不能证明外部Redis不健康或production aggregate运行","mock client故障序列可验证；本次依赖缺失未执行","连接ref不含值"
"E-AU-005-010","配置/SQL/check审阅","固定基线","registration-compose.yml:5,27-31；postgres-init-registration.sh:15-23,74-97；postgres.env.example；pg16 fixture；registration-deployment check","Compose固定PG17且首次空卷挂init；init拒绝>=17并要求RDS addr/preexisting boundary role；env示例缺expected addr；check仅要求pg16 fixture tokens","新卷/恢复路径存在确定配置互斥，现有check不覆盖它","不能证明现有非空volume启动失败，也未实际重放","使用一次性隔离PG17可复核；需明确授权且不接生产数据","不记录密码/sentinel"
