编号,定义位置,Operation,owner,method,path,audience,permission,availability,execution,idempotency,expectedVersion,writePath,requestFields,responseFields,requirements,controller,handler,sdk,审阅结论
OP-AU-007-001,01_core_hexin/packages/contract/definitions/operations.yml:3,runtime.health.live,runtime,GET,/health/live,public,,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/runtime.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-002,01_core_hexin/packages/contract/definitions/operations.yml:35,runtime.health.ready,runtime,GET,/health/ready,public,,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/runtime.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-003,01_core_hexin/packages/contract/definitions/operations.yml:46,runtime.health.startup,runtime,GET,/health/startup,public,,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/runtime.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-004,01_core_hexin/packages/contract/definitions/operations.yml:57,runtime.health.dependency,runtime,GET,/health/dependency,operator,runtime.health.read,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/runtime.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-005,01_core_hexin/packages/contract/definitions/operations.yml:69,identity.sessions.create,identity,POST,/api/v1/identity/sessions,public,,runtime,sync,required,optional,transactional,13,38,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-006,01_core_hexin/packages/contract/definitions/operations.yml:82,identity.loginintents.create,identity,POST,/api/v1/identity/login-intents,member,identity.session.read,runtime,sync,required,optional,transactional,13,37,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-007,01_core_hexin/packages/contract/definitions/operations.yml:96,identity.tickets.exchange,identity,POST,/api/v1/identity/tickets/exchange,public,,runtime,sync,required,optional,transactional,4,2,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-008,01_core_hexin/packages/contract/definitions/operations.yml:109,identity.session.read,identity,GET,/api/v1/identity/session,member,identity.session.read,runtime,sync,none,none,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-009,01_core_hexin/packages/contract/definitions/operations.yml:121,identity.session.delete,identity,DELETE,/api/v1/identity/session,member,identity.session.manage,runtime,sync,required,optional,transactional,13,36,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-010,01_core_hexin/packages/contract/definitions/operations.yml:135,identity.sessions.read,identity,GET,/api/v1/identity/sessions,member,identity.session.read,runtime,sync,none,none,none,未声明,未声明,MVP21,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；未发现该记录独立问题
OP-AU-007-011,01_core_hexin/packages/contract/definitions/operations.yml:148,identity.sessions.revoke,identity,DELETE,/api/v1/identity/sessions/{sessionid},member,identity.session.manage,runtime,sync,required,optional,transactional,13,36,MVP21,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-012,01_core_hexin/packages/contract/definitions/operations.yml:163,identity.challenges.create,identity,POST,/api/v1/identity/challenges,public,,runtime,sync,required,optional,transactional,15,41,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-013,01_core_hexin/packages/contract/definitions/operations.yml:176,identity.invitations.read,identity,POST,/api/v1/identity/invitations/resolve,public,,runtime,sync,required,optional,none,未声明,未声明,MVP03|MVP04|MVP05|MVP06|MVP07|MVP08|MVP09|MVP10|MVP11|MVP12|MVP13|MVP14|MVP15|MVP16|MVP17|MVP18|MVP19|MVP20|MVP21|MVP22|MVP23,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0040
OP-AU-007-014,01_core_hexin/packages/contract/definitions/operations.yml:187,identity.invitations.create,identity,POST,/api/v1/identity/invitations,operator,identity.invitation.manage,runtime,sync,required,optional,transactional,17,27,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
OP-AU-007-015,01_core_hexin/packages/contract/definitions/operations.yml:203,identity.invitations.revoke,identity,DELETE,/api/v1/identity/invitations/{invitationid},operator,identity.invitation.manage,runtime,sync,required,optional,transactional,17,22,MVP13|MVP22,01_core_hexin/services/commerce/src/foundation/interface/OperationController.ts,01_core_hexin/services/commerce/src/foundation/application/OperationHandler.ts,01_core_hexin/packages/sdk/src/operations/identity.ts,[FACT] 已逐记录审阅；关联F-0038
