"证据编号","证据类型","时间/基线","入口/位置","观察","可证明","不可证明","复现/复核","敏感性"
"E-AU-007-001","Git/范围","固定基线","branch、rev-parse、status、files.csv","审计分支延续5a1ce71；开工HEAD为fa3ccf78；origin后续前进不并入；开工无未提交变化","本AU固定基线、报告-only边界与文件集合","不能证明线上等于固定基线","核对branch/merge-base/status/blob；CP-07前执行报告-only gate","无"
"E-AU-007-002","全文件/全记录人工审阅","固定基线","contract与contractgen 50文件；operations/events/capabilities/errors CSV","41个人工文件12089行、四目录2040条记录已逐文件/逐记录审阅；9个包内生成物核对来源","定义、函数、测试与目录在固定基线的代码事实","不能证明外部消费者、线上数据或正式命令结果","files/functions/exports/operations/events/capabilities/errors逐项复核","无"
"E-AU-007-003","只读生成一致性复算","固定基线","YAML→OpenAPI/TS/SDK/Controller/Handler/events/current.sql","345 OpenAPI元数据零差异；67 event projection一致；271 runtime id在Controller/Handler/DB齐全；345 id在SDK齐全","当前tracked主要输出与目录在所比字段一致","不等同generator --check逐字执行；不覆盖外部制品","重跑tests.csv中的只读复算；依赖完整后跑正式check","无"
"E-AU-007-004","权限端到端源码链","固定基线","operations.yml:678-717；OperationController.ts:299-323；AccessPipeline.ts:52-99；membership_operations SQL；Console command/test；MemberCustomProfileOperations.ts:25-128","config/custom manage均以member.read授权；Console fixture只有member.read仍展示/调用写能力；handler执行INSERT/DELETE","固定代码对持有member.read且具operation entitlement者允许两类持久写","未读取线上角色、entitlement、调用日志或实际数据改写","RV-0008第二审计者从角色→capability→controller→handler→DB重追","不记录用户或凭据"
"E-AU-007-005","Schema/OpenAPI/SDK对账","固定基线","schema/index.ts:31-115；ClientArtifacts.ts:62-86,208-247；OperationController.ts:341-344；ApiClient.ts:25-44,90-117","79个非GET在OpenAPI标body required；named input仍body optional；690个Operation components无required；15个runtime写Request为空对象；SDK不parse；Controller no-op","跨制品契约语义不一致及生产HTTP不消费通用schema","不证明每个handler自己的Zod/校验均错误","逐Operation比较requestFields、OpenAPI和真实handler；AU-008继续生成运行链","无"
"E-AU-007-006","Error门禁与保守复算","固定基线","check/errors.mjs:6-53；当前目录树；ErrorMapper.ts:13-26","正式roots六个中五个不存在、scripts含0个目标扩展；corrected roots得到1678 unique/2256 occurrences/899 missing，至少294个在Commerce service；未知码映射INTERNAL_ERROR 500","正式门禁即使依赖完整也不会扫描当前生产源码；缺口规模下界","词法复算会漏模板/alias，不能断言899项都应公开或线上都触发","修正roots后用正式AST复算；逐业务模块确认code/status","无"
"E-AU-007-007","Event身份反事实","固定基线","ContractGenerator.ts:61-65,275-327；events.yml","只改变首条event schema和handlers时checksum event projection完全相等，而DB event rows与runtime handler rows均变化","checksum没有标识会改变运行路由/DB契约的两字段","不证明当前线上因其出错；当前runtime readiness已解除旧contract权威","内存反事实；未来修复批次加checksum旋转断言","无"
"E-AU-007-008","执行策略全目录统计","固定基线","ContractGenerator.ts:42,93-141；operations.yml；Contract.test.ts:17-32；ModuleOperations.ts:92-116","0/345显式writePath；推断none233/transactional108/durable3/provider1；81个runtime非GET落none；测试只遍历writePath已非none集合","分类由名称/domain隐式决定且当前测试无法发现漏选","不能据此断言81项全部应进入ExecutionKernel","逐业务不变量复核后再定每个Operation；禁止本AU批量改策略","无"
"E-AU-007-009","Capability目录对账","固定基线","capabilities.yml；ContractGenerator.ts:48-54,232-241；current.sql生成逻辑","190条中1个孤儿runtime.health.read、5个permission漂移、156个Operation缺失；validator只比较匹配项audience；DB行从Operations生成","capabilities.yml是部分影子校验源而非数据库发布权威","不能证明外部仓库没有直接读取该文件","capabilities.csv逐项复核；外部消费者未排除前保持G0","无"
"E-AU-007-010","生成器失败路径/测试","固定基线","ContractGenerator.ts:69-83,252-297,379-472；ClientArtifacts.test.ts","emit在write模式顺序直接writeFile；hardened shells经多段replace且不验证命中；唯一generator测试只测SDK两个性质","半生成工作树和静默replace失效的代码路径存在；当前输出仍一致","未实际运行破坏性写失败注入，不能说已发生","临时副本故障注入；未来atomic temp+rename和replace-count测试","无"
