"通信编号","上游","下游","方式","契约/载荷","同步/异步","超时","重试/幂等","失败传播","证据","状态"
"COM-AU-005-001","API/Jobs bootstrap","Local Secret Store","HTTPS loopback GET + Bearer","secret reference→{value}","同步","HttpClient read timeout/retry策略","读请求可重试；服务端当前不验Bearer/ref ACL","失败阻止连接池或adapter启动","SecretStore.ts；Main.ts","[CONFLICT] F-0021"
"COM-AU-005-002","API/Jobs","Local KMS","HTTPS loopback POST + Bearer","keyRef+context+plaintext/ciphertext","同步","HttpClient read mode","加密随机nonce；解密由AAD校验；服务端不验Bearer/ref ACL","4xx/非ok映射KMS_*_FAILED","KmsClient.ts；LocalKms.ts；Main.ts","[CONFLICT] F-0021"
"COM-AU-005-003","API/Jobs","Local Objects","HTTPS loopback + object bearer","create/part/complete/read/inspect/authorize","同步","HttpClient按read/businesskeywrite","调用方hash；服务端hash/size/sequence；upload session不持久","非ok统一OBJECT_STORE_UNAVAILABLE","ObjectStore.ts；LocalObjects.ts","[FACT]；另见F-0025–27"
"COM-AU-005-004","Remote browser","Local Objects public route","signed HTTPS URL","reference+expires+HMAC signature","同步","300秒业务授权，服务允许60–900秒","签名拒绝过期/篡改；无网络重试契约","URL固定127.0.0.1，浏览器到自身","GetExport.ts；OrderExportWorkspace.tsx","[CONFLICT] F-0025"
"COM-AU-005-005","业务命令事务","runtime.outbox","SQL INSERT","DomainEvent envelope","异步起点","随DB statement timeout","业务写+outbox同事务","事务失败整体rollback","OutboxStore.appendOutbox","[FACT]"
"COM-AU-005-006","OutboxRelay","runtime.outbox","SQL claim/update","lease owner+deadline+attempt","异步轮询","30秒默认lease；500ms空轮询","过期claim可重领；8次后deadletter","无正式relay进程时不发生","OutboxRelay/OutboxStore","[CONFLICT] F-0022"
"COM-AU-005-007","RuntimeEventPublisher","runtime.inbox + runtime.job","单DB事务","generated event→handler job payload","异步","DB timeout","accept_inbox按consumer/event去重","任一handler失败整事务rollback","RuntimeEventPublisher.ts；events.ts","[FACT]"
"COM-AU-005-008","Dedicated Jobs","runtime.job","SKIP LOCKED claim/heartbeat/conditional finish","kind/scope/payload/attempts","异步轮询","配置deadline/lease/poll","scoped和identity可回收expired running；generic不可","retry或deadletter；lease lost条件失败","JobRunner.ts","[CONFLICT] F-0024"
"COM-AU-005-009","RuntimeScheduler","runtime.lease + runtime.job","DB lease + deterministic schedule IDs","kind/bucket","异步周期","45秒lease，30秒loop","ON CONFLICT保证同bucket幂等","无正式scheduler进程时不调度","RuntimeScheduler/LeaseStore","[CONFLICT] F-0022"
"COM-AU-005-010","API/Jobs/Migration","PostgreSQL","pg connection pool","role-specific connection string","同步","连接/statement/idle transaction均有界","command仅40001/40P01重试","错误回调用链；连接最终释放/销毁","Pool/PgUnitOfWork","[FACT]"
"COM-AU-005-011","CommerceRuntime","Redis","redis protocol","JSON cache key/value+TTL","同步cache旁路","3秒connect；命令库默认","失败后fail-open，不重连","返回miss/false并发unavailable事件","RedisCache.ts","[FACT] F-0028"
"COM-AU-005-012","Catalog media job","Aliyun OSS","provider HTTPS SDK/签名请求","content-addressed key+bytes+metadata","异步job内部同步等待","adapter配置timeout","多target逐项验证size/hash；job层重试","异常使job失败","Catalog media adapter/replication","[FACT]"
"COM-AU-005-013","systemd","Docker Compose PostgreSQL","oneshot up -d --wait","registration-compose.yml","同步启动","180秒","Docker restart unless-stopped","fresh init冲突导致wait失败","registration database service","[CONFLICT] F-0023"
"COM-AU-005-014","Full-staging workload","Aliyun RDS","loopback TCP→TLS proxy→RDS TLS","PostgreSQL wire protocol","同步","socket/TLS timeout","上游断开传播；服务on-failure重启","proxy不可用则DB连接失败","PostgresTlsProxy/systemd","[FACT]"
