"通信编号","上游","下游","方式","契约/载荷","同步/异步","超时","重试/幂等","失败传播","证据","状态"
"COM-AU-010-001","operations.yml + PermissionCatalog","contractgen","静态生成输入","operation.permission + risk/stepup/scopes","同步构建","无运行超时","生成检查；非业务幂等","unknown permission使生成失败","E-AU-010-003/004","活跃；direct source import边界见F-0058"
"COM-AU-010-002","contractgen","OperationCatalog/generated controller/DB current.sql","文件生成","345 Operation、329 permission绑定、184 permission元数据","同步构建","无运行超时","check模式比较产物","漂移抛GENERATED_CONTRACT_DRIFT","E-AU-010-004","活跃"
"COM-AU-010-003","HTTP OperationController","PipelineAuthorizer/AccessPipeline","同步请求内Promise","headers、operation、permission、resource","异步","请求deadline在更外层；Authz自身无timeout","授权不重试；写幂等由后层","失败映射为HTTP错误且handler不调用","E-AU-010-005/006","活跃"
"COM-AU-010-004","PgSessionResolver","identity.resolve_session","参数化SQL","token hash + entry host → Actor","异步","DB statement timeout由pool配置","无重试","缺行/边界不符抛认证错误","E-AU-010-006/007","活跃"
"COM-AU-010-005","PgMembershipResolver","access.resolve_session_membership","参数化SQL+同查询时间快照","membership+realm+client+organization → grants/denies/evaluatedAt","异步","DB statement timeout","无重试","缺行/非法时间拒绝","E-AU-010-007/012","活跃；bigint类型漂移F-0057"
"COM-AU-010-006","PgScopeResolver/WebBusinessScopeResolver","access.resolve_session_scope/web_*_scope","参数化SQL","server membership context、operation、resource、scopeHint → Scope JSON","异步","DB statement timeout","无重试","缺scope/错误kind拒绝；结构未完整runtime parse","E-AU-010-006/010/011","活跃"
"COM-AU-010-007","AccessPipeline","Authz precheck/checkScope/checkAssurance","进程内函数","MembershipAccess、permission、Scope、decision time","同步","无","纯判定、可重复","返回reason或抛unknown；Pipeline映射并记录","E-AU-010-006/008/010","活跃"
"COM-AU-010-008","AccessPipeline","capability/availability/risk/action proof","注入resolver/policy","operation、membership、scope、resource、trace","异步","各下游自身","授权层无自动重试","首个失败终止，decision sink记录","E-AU-010-006","活跃"
"COM-AU-010-009","AccessPipeline","PgDecisionSink","独立数据库事务","actor/operation/resource/scope/outcome/reason/trace","异步","DB statement timeout","无重试；UUID记录","sink失败会阻止handler并可能遮蔽原错误","E-AU-010-006","活跃"
"COM-AU-010-010","Console RoleEditor/Profile","PermissionCatalog","bundle内直接读取","全部category/code/risk/scopes","同步","无","无","可变singleton会影响后续渲染；approval标签fallback英文","E-AU-010-009/017","活跃"
"COM-AU-010-011","AccessOperations role assignment","Authz checkScope","进程内二级permission检查","membership + access.scope.manage + targetScope + wall clock","同步","无","无","只返回scope evidence/reason；不执行二级precheck","E-AU-010-008","活跃；F-0054"
"COM-AU-010-012","Access role/membership tables","access.resolve_session_membership","数据库投影","rolepermission/membershipoverride/scopegrant → denies/grants","同步SQL","DB statement timeout","版本递增使旧session失效","无有效投影则默认拒绝","E-AU-010-006/007","活跃"
