"不变量编号","不变量","执行点","证据","当前状态","破坏条件","验证","并发/时间","恢复","结论"
"INV-AU-011-001","只有active且未到期Membership可授权","isActiveMembership","index.ts:6-8/E-AU-011-012","成立","parser绕过或错误时钟","状态/expiry矩阵","严格>now","下一请求重解析","主干成立"
"INV-AU-011-002","显式deny覆盖角色allow","decide顺序","index.ts:21-23","成立","调用者绕过decide","deny反事实","同一快照","撤销deny后重试","成立"
"INV-AU-011-003","非global binding不能跨tenant","decide筛选","index.ts:24-28","canonical输入成立","异常server path/global anchor","跨tenant测试","同步纯函数","修正scope","成立依赖上游"
"INV-AU-011-004","critical必须近期step-up","requiresStepUp/hasFreshStepUp","index.ts:4,29-30,45-48","可被公开Set或Infinity破坏","Set mutation/无界option","E-AU-011-009/010","进程共享Set；默认900秒","重启恢复Set","部分破坏；F-0032/F-0061"
"INV-AU-011-005","Scope来自服务端资源事实","auth.ts/routerSupport","membershipContext/resource RPC","正常资源路由成立","新handler传请求体scope","静态caller矩阵","请求内","修正caller","当前三类资源有resolver"
"INV-AU-011-006","错误Scope不应触发身份挑战","decide失败顺序","index.ts:29-32","破坏","critical+wrong scope","E-AU-011-011","同步纯函数","重排独立修复","F-0062"
"INV-AU-011-007","session绑定单一Membership且version一致","membershipContext","lines51-64+session RPC","成立","绕过runtimeByIds到生产","router入口反追","每请求解析","重新登录","值得保留"
"INV-AU-011-008","非Owner不能转授自身没有的permission","兼容custom role SQL","20260813030000:98-150,189-212","成立于固定SQL","旧迁移未应用/旁路RPC","数据库专项AU复核","事务内","事务回滚","F-0053对照设计"
"INV-AU-011-009","正式质量入口覆盖本包测试与独立类型检查","package/root/Storefront scripts","测试由Storefront间接include；独立tsconfig未执行","部分成立","Storefront聚合配置漂移或类型错误","E-AU-011-013/015","每次CI","补自有入口或正式声明归属","F-0060"
"INV-AU-011-010","两套Authz不可按名称互换","目录/数据模型","E-AU-011-008","成立","未经迁移直接替换","目录与DB表矩阵","跨进程/发布","显式迁移回滚","边界事实"
