"故障编号","链路/步骤","故障模式","直接原因","首个可观察影响","后续影响","当前检测","严重度","发生可能性","可检测性","恢复/回滚","证据状态"
"FM-AU-005-001","本地Secret/KMS请求","无token或错误workload仍读取/解密","生产Main绕过授权Handler/policy","请求返回200而不是401/403","任意本地进程可扩大到全部ref/keyRef","当前Main无auth日志/拒绝；测试只测未挂载Handler","P1候选","本地访问可达时确定","低","接线修复须独立批次；先复核，不在审计分支执行","F-0021/E-AU-005-006"
"FM-AU-005-002","业务outbox提交后","事件永久不被发布","正式target无OutboxRelay","unpublished行持续存在","projection/notification/reconciliation/referral等不触发","仓库内无正式backlog readiness；live未查","P1候选","有可达producer时确定","低","恢复需权威relay/积压计划；禁止直接删outbox","F-0022/E-AU-005-003/004"
"FM-AU-005-003","scheduled maintenance/expiry","定时job不创建","正式target无RuntimeScheduler","对应runtime.job缺席","expiry/cleanup延迟；expired generic running不重排","无scheduler readiness","P1候选边界","依赖业务是否另行直写job","低","恢复需先确认唯一scheduler和补偿范围","F-0022/E-AU-005-003"
"FM-AU-005-004","PostgreSQL空卷启动/恢复","init容器退出","PG17被脚本版本guard拒绝；且RDS-only前置不满足","docker compose --wait失败","所有registration服务无法启动/恢复","systemd/Docker可见失败；现有check漏该组合","P1候选","fresh volume必达","高","保留旧卷；独立恢复演练确认兼容组合","F-0023/E-AU-005-010"
"FM-AU-005-005","Catalog export claim后崩溃","job永久running","generic claim不接受expired running，cleanup无正式进程","export状态不再推进","用户持续看不到下载","可通过DB只读状态发现；无自动告警证据","P2","进程在claim后异常退出时","中","人工确认后重排或未来独立修复claim；不可盲重跑副作用","F-0024/E-AU-005-005"
"FM-AU-005-006","Console下载completed export","浏览器请求自身127.0.0.1","signed URL publicEndpoint固定loopback","连接失败/错误本机服务","导出功能不可用","浏览器网络错误；无E2E覆盖","P2","远程浏览器确定","高","独立对象URL契约修复；旧object本身保留","F-0025/E-AU-005-007/017"
"FM-AU-005-007","对象上传完成","未扫描内容被标为clean","completion直接赋值，无scanner","消费者通过scan gate","恶意/不合规内容可进入import/report链；真实利用未证","无scanner receipt或状态转换","P2","每次LocalObjects上传确定","低","由Ethan决定扫描语义；修复前不得把clean当实测证明","F-0026/E-AU-005-008"
"FM-AU-005-008","相同bytes不同metadata上传","旧引用metadata改变","metadata文件仅按sha256唯一且被覆盖","旧path find返回新path/contentType","下载content-type/审计path漂移","无collision检测/test","P2","相同内容跨用途上传时","低","保留object；独立设计immutable metadata/ref恢复","F-0027/E-AU-005-008"
"FM-AU-005-009","Redis瞬时断开","进程长期degraded","reconnectStrategy=false且degrade无restart","cache持续miss/写false","性能下降直到服务重启；正确性应fail-open","unavailable listener/metrics取决调用者","P3","外部连接波动时","中","进程重启可恢复；独立批次再决定重连策略","F-0028/E-AU-005-009"
"FM-AU-005-010","KMS master key丢失/更换","旧ciphertext不可解","只有local-v1单key派生，无keyring","KMS_CIPHERTEXT_INVALID","依赖加密字段不可读","无恢复验证入口","高影响未知","外部运维事件","高","依赖外部备份恢复原master；责任UNKNOWN","E-AU-005-012"
"FM-AU-005-011","LocalObjects磁盘丢失","object/ref metadata均丢失","node-local单StateDirectory且仓库无备份入口","read/inspect 404或文件错误","import/export/media引用失效","service readiness不验证全量对象","高影响未知","存储故障","中低","外部备份/restore责任UNKNOWN","E-AU-005-012"
"FM-AU-005-012","scoped job heartbeat静默失败","同job被第二worker重领","heartbeat promise错误被吞；首worker继续processor","两个worker短时并行","外部副作用可能重复","最终conditional update才暴露lease lost","需模块专项","条件性","低","processor幂等/取消传播专项；本AU不定级","QC-009"
