绑定编号,Operation,owner,method,path,audience,permission,risk,stepup,scopes,写/读名称信号,结论
BIND-AU-010-001,runtime.health.dependency,runtime,GET,/health/dependency,operator,runtime.health.read,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-002,identity.loginintents.create,identity,POST,/api/v1/identity/login-intents,member,identity.session.read,low,false,self,非GET+.read,UNKNOWN：需业务链复核
BIND-AU-010-003,identity.session.read,identity,GET,/api/v1/identity/session,member,identity.session.read,low,false,self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-004,identity.session.delete,identity,DELETE,/api/v1/identity/session,member,identity.session.manage,elevated,false,self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-005,identity.sessions.read,identity,GET,/api/v1/identity/sessions,member,identity.session.read,low,false,self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-006,identity.sessions.revoke,identity,DELETE,/api/v1/identity/sessions/{sessionid},member,identity.session.manage,elevated,false,self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-007,identity.invitations.create,identity,POST,/api/v1/identity/invitations,operator,identity.invitation.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-008,identity.invitations.revoke,identity,DELETE,/api/v1/identity/invitations/{invitationid},operator,identity.invitation.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-009,identity.members.manage,identity,PUT,/api/v1/identity/members/{membershipid},operator,member.manage,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-010,identity.password.change,identity,PUT,/api/v1/identity/password,member,identity.credential.manage,critical,true,self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-011,identity.password.verify,identity,POST,/api/v1/identity/password/verify,member,identity.assurance.manage,elevated,false,self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-012,identity.mobile.manage,identity,PUT,/api/v1/identity/mobile,member,identity.mobile.manage,high,false,self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-013,identity.stepup.start,identity,POST,/api/v1/identity/stepup/challenges,member,identity.assurance.manage,elevated,false,self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-014,identity.stepup.complete,identity,POST,/api/v1/identity/stepup/verifications,member,identity.assurance.manage,elevated,false,self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-015,identity.wechat.bind,identity,POST,/api/v1/identity/wechat/bindings,member,identity.credential.manage,critical,true,self,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-016,organization.layers.read,organization,GET,/api/v1/organizations/layers,operator,organization.layer.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-017,provisioning.malls.create,provisioning,POST,/api/v1/provisioning/malls,operator,organization.layer.manage,critical,true,platform,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-018,provisioning.malls.read,provisioning,GET,/api/v1/provisioning/malls/{mallid},operator,organization.layer.read,low,false,platform|distributor|tenant|enterprise|mall|department,无异常命名信号,结构闭合；不代表业务语义已审
BIND-AU-010-019,access.center.read,access,GET,/api/v1/access/center,operator,access.center.read,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,无异常命名信号,结构闭合；不代表业务语义已审
