"路径","文件类型","模块","审阅状态","审阅日期","审计检查点","主要入口/调用者","风险等级","结论","是否需要二次复核"
"01_core_hexin/apps/console/src/feature/access/manifest.ts","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","access manifest","未发现独立高风险","[FACT][E-AU-044-020] manifest 声明与 settings/members/settings/profile 入口可追溯，`access` capability 可在 `ConsoleRouter` 与 lazy route 组合链定位。","否"
"01_core_hexin/apps/console/src/feature/access/AccessRoute.tsx","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","settings/members/settings/profile 路由入口","未发现独立高风险","[FACT][E-AU-044-001] `AccessRoute` 将 settings 下访问、会员与身份转移页面组装为一条路由树入口。","否"
"01_core_hexin/apps/console/src/feature/access/AccessQuery.ts","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","access 查询契约","未发现独立高风险","[FACT][E-AU-044-002] 读链路固定 `access.center.read` + `limit:500`，并正确接受调用方提供的 cursor。","否"
"01_core_hexin/apps/console/src/feature/access/MemberAccessWorkspace.tsx","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","settings/members 成员能力工作区","P3候选/F-0137","[FACT][E-AU-044-005] 成员页可推进 member cursor，但在 primary=members 时固定 accessCursor=undefined，access 补充数据未连续分页。","是（F-0137）"
"01_core_hexin/apps/console/src/feature/access/RoleAccessWorkspace.tsx","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","settings/access 角色能力工作区","P3候选/F-0137","[FACT][E-AU-044-004] 角色列表读取 access 首屏且未提供 continuation 交互，UI 聚合链在500项边界外可能不完整。","是（F-0137）"
"01_core_hexin/apps/console/src/feature/access/OwnerTransferPanel.tsx","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","身份转移面板","未发现独立高风险","[FACT][E-AU-044-008] 面板渲染链完整，按钮状态与文案与 schema 一致，未出现直接持久化入口。","否"
"01_core_hexin/apps/console/src/feature/access/OwnerTransferDialog.tsx","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","身份转移弹层","未发现独立高风险","[FACT][E-AU-044-007] 转移弹层只接管上下文与确认流程，不直接发起 DB/外部副作用。","否"
"01_core_hexin/apps/console/src/feature/access/OwnerTransferPanel.test.tsx","测试源码","应用/console","已深入审阅","2026-09-14","AU-044","身份转移面板测试","未发现独立高风险","[FACT][E-AU-044-009] 测试覆盖提交、禁用、错误分支与主要状态文案。","否"
"01_core_hexin/apps/console/src/feature/access/OwnerTransferQuery.ts","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","身份转移查询","未发现独立高风险","[FACT][E-AU-044-010] 查询链复用统一 API 前缀与鉴权入口读取 OwnerTransfer，结果映射可验证。","否"
"01_core_hexin/apps/console/src/feature/access/OwnerTransferSchema.ts","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","身份转移 schema","未发现独立高风险","[FACT][E-AU-044-012] schema 只承接 contract 映射与校验边界，不含持久化副作用。","否"
"01_core_hexin/apps/console/src/feature/access/OwnerTransferState.tsx","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","身份转移状态机","未发现独立高风险","[FACT][E-AU-044-013] 状态机分支集中于展示态与失败提示，不直接执行写入。","否"
"01_core_hexin/apps/console/src/feature/access/AccessRoleCommand.ts","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","角色变更命令","未发现独立高风险","[FACT][E-AU-044-014] 命令校验集中，职责边界与副作用目标清晰。","否"
"01_core_hexin/apps/console/src/feature/access/manifest.test.ts","测试源码","应用/console","已深入审阅","2026-09-14","AU-044","access manifest 测试","未发现独立高风险","[FACT][E-AU-044-022] manifest 测试覆盖入口导出存在性与运行入口约束。","否"
"01_core_hexin/apps/console/src/feature/access/RoleEditor.tsx","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","角色编辑器","未发现独立高风险","[FACT][E-AU-044-015] 编辑器与成员列表/作用域 schema 耦合，未见越权或隐式状态变更入口。","否"
"01_core_hexin/apps/console/src/feature/access/RoleScopeMembers.tsx","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","角色成员列表工作区","未发现独立高风险","[FACT][E-AU-044-016] 根据成员 ID 与作用域上下文读取列表，未见跨 scope 写入路径。","否"
"01_core_hexin/apps/console/src/feature/access/InvitationRecordsQuery.ts","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","邀请记录查询","未发现独立高风险","[FACT][E-AU-044-018] 邀请查询链在失败、空态与查询参数上可复现，未见脱离 access 命令边界。","否"
"01_core_hexin/apps/console/src/feature/access/InvitationRecordsSchema.ts","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","邀请记录 schema","未发现独立高风险","[FACT][E-AU-044-019] schema 约束以契约映射为主，无持久化职责。","否"
"01_core_hexin/apps/console/src/feature/access/AccessAuditQuery.ts","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","access 审计查询","未发现独立高风险","[FACT][E-AU-044-017] 审计查询仅用于读取封装与展示，未见写入副作用。","否"
"01_core_hexin/apps/console/src/feature/access/AccessSchema.ts","TypeScript源码","应用/console","已深入审阅","2026-09-14","AU-044","settings/members access schema","未发现独立高风险","[FACT][E-AU-044-003] schema 与 key 的 contract 映射与边界一致，未见接口扩张副作用。","否"
"01_core_hexin/apps/console/src/feature/access/AccessRoute.test.tsx","测试源码","应用/console","已深入审阅","2026-09-14","AU-044","settings/members/settings/profile 路由测试","未发现独立高风险","[FACT][E-AU-044-006] 路由与主入口测试覆盖挂载与页面切换基础分支。","否"
"01_core_hexin/apps/console/src/feature/access/MemberAccessWorkspace.test.tsx","测试源码","应用/console","已深入审阅","2026-09-14","AU-044","settings/members 成员访问测试","未发现独立高风险","[FACT][E-AU-044-021] 覆盖成员访问加载、空态、列表与降级分支。","否"
"01_core_hexin/services/commerce/src/modules/access/01_public_gongkai/AccessPort.ts","TypeScript源码","Commerce/access","已深入审阅","2026-09-14","AU-044","access 公开端口注册","未发现独立高风险","[FACT][E-AU-044-023] 公开端口与 manifest 与 loader 的映射关系一致，入口闭合清晰。","否"
"01_core_hexin/services/commerce/src/modules/access/02_domain_yewu/AccessOwnership.ts","TypeScript源码","Commerce/access","已深入审阅","2026-09-14","AU-044","access 所有权边界","未发现独立高风险","[FACT][E-AU-044-024] 所有权边界通过领域对象与 resolver 约束，未发现隐式跨域修改。","否"
"01_core_hexin/services/commerce/src/modules/access/03_application_yingyong/AccessOperations.ts","TypeScript源码","Commerce/access","已深入审阅","2026-09-14","AU-044","access command/query 实现","未发现独立高风险","[FACT][E-AU-044-025] query/command 操作入口与依赖注入边界可复核，执行入口明确。","否"
"01_core_hexin/services/commerce/src/modules/access/03_application_yingyong/AccessReadOperations.ts","TypeScript源码","Commerce/access","已深入审阅","2026-09-14","AU-044","access 分页读取实现","未发现独立高风险","[FACT][E-AU-044-026] 使用 `queryPage + keysetResult` 提供分页上下文，返回 `nextCursor` 与边界字段。","否"
"01_core_hexin/services/commerce/src/modules/access/04_adapters_shixian/persistence/PgDecisionSink.ts","TypeScript源码","Commerce/access","已深入审阅","2026-09-14","AU-044","access 持久化适配","未发现独立高风险","[FACT][E-AU-044-029] `begin`→`insert`→`commit` 边界明确，具备事务回滚保护。","否"
