"证据编号","证据类型","位置","观察","可证明","不可证明"
"E-AU-013-001","Git/范围","固定基线/telemetry tree","18文件473行；14文件带100755 mode","范围、身份与模式","仓外副本"
"E-AU-013-002","逐文件人工审阅","telemetry全部18文件","18/18文件、473/473行逐函数逐分支读完","包内结构、失败传播和测试边界","线上流量"
"E-AU-013-003","消费者枚举","全仓@shop/telemetry引用","27个引用文件：25非测试、2测试；timeline进入三个前端，nodeTelemetry进入Commerce","固定仓库第一层调用关系","动态仓外调用"
"E-AU-013-004","字符串脱敏探针","Redactor.ts","Bearer/手机号/email被替换；password label、Cookie、Basic、卡号原样保留；身份证大部分残留","F-0065可执行反事实","真实日志已泄露"
"E-AU-013-005","真实调用链静态追踪","ModuleOperations.ts/Commerce Telemetry.ts","Operation审计before/after/reason与stdout telemetry均调用同一Redactor","缺口可进入正式持久化/输出链","已存在真实敏感值"
"E-AU-013-006","发布入口反追","contract/SDK/ObservabilityModule/entry/deployment checker","契约与实现存在；专用入口不装载；完整ApiMain发布路径被禁止","F-0066固定发布图断链","仓外或历史运行单元"
"E-AU-013-007","拒绝writer探针","Adapter.ts/ClientErrors.ts","一个metric和同一span两次end产生3个unhandledRejection","Promise拒绝未处理","同步生产writer会失败"
"E-AU-013-008","Scope反事实","ClientErrors.ts:81-98","错误platform、缺tenant ancestor、跨kind同ID都可读取；显式异tenant拒绝","复制的contains fail-open边界","规范线上scope异常"
"E-AU-013-009","正式命令","package scripts","test/typecheck均退出127，分别缺vitest/tsc，源码未加载","验证环境阻塞","测试通过或实现失败"
"E-AU-013-010","边界探针","Redactor/ClientErrorBuffer/InteractionTimeline","循环对象RangeError；NaN clock抛错；begin回调抛错后active记录保留","未防御异常输入/回调","主流调用必然触发"
