"文件编号","路径","所属模块","文件类型","基线 blob SHA","物理行数","审阅范围","审阅者","审阅日期","审计单元","检查点","风险等级","是否二次复核","详细记录","覆盖清单同步","1 存在理由","2 创建或加载者","3 加载条件","4 导出内容","5 导出消费者","6 输入","7 输出","8 状态读写","9 数据库读写","10 网络调用","11 事件","12 环境变量","13 用户权限依赖","14 运行环境依赖","15 初始化副作用","16 模块加载副作用","17 注册职责","18 测试生产差异","19 资源释放","20 失败恢复","21 对应测试","22 测试可信度","23 对应文档","24 文档准确性","25 兼容职责","26 等价重复实现","27 可否独立删除","28 删除首个失败点","29 最终结论与置信度"
"FILE-00419","01_core_hexin/apps/console/src/route/ConsoleModuleRegistry.ts","Console 路由","TypeScript","14a020ebb67c803a6b8b33b4ba1ec5f320229b66","109","完整文件 1-109","Codex 主审","2026-09-13","AU-001","CP-01","低","否","exports.csv；functions.csv；branches-and-states.md","已同步","定义生产 Console 可挂载模块的唯一静态目录并在启动前校验路由清单","ConsoleRouter、ScopeShell、SessionLoader、导航与测试静态 import","Console bundle 加载 route/shell 时无环境条件","SYM-00419-001 至 SYM-00419-009","生产：ConsoleRouter、ScopeShell、SessionLoader、preload/profile/sidebar；测试：registry/routes/navigation/coverage","15 个 ConsoleModuleManifest 数组或 entry path","冻结 registry、Map、issue 列表或选中模块","函数内局部 Set/Map；导出只读数组与 Map；无外部可变状态","无","无","无","无","无直接身份判断；manifest 后续消费者处理 scope/operations","浏览器 ESM/React build","构造 consoleModuleRegistry 时执行完整校验并构造 Map","顶层静态 import 15 个 manifest 并立即 define；异常会使模块加载失败","注册 15 个 Console 模块及其 route metadata","测试可传人工数组；生产固定 15 manifest","无资源","失败直接抛错；不做部分恢复；构造完成前无外部副作用","ConsoleModuleRegistry.test.ts；OwnerConsoleRouteCoverage.test.ts；ConsoleNavigation.test.ts 等消费者测试","直接单测覆盖重复项和 entry 规则；本 AU 未运行，反事实可信度待执行","01-architecture.md；02-runtime-map.md","[FACT][E-AU-001-007] 汇总文档与当前注册代码一致","承载 route ID/path 的现行兼容契约；旧路径消费者待逐模块","未发现第二份同等生产 registry；manifest 是数据源而非重复实现","G0","Console route import 时首先因缺导出或 registry 不完整失败","[FACT][E-AU-001-007] 真实生产注册职责明确；低风险设计边界，业务正确性未审；置信度高"
"FILE-00421","01_core_hexin/apps/console/src/route/ConsoleModuleRoutes.tsx","Console 路由","TypeScript/TSX","f154a5f883686a509cc9b9ac1ba1147e9118690f","112","完整文件 1-112","Codex 主审","2026-09-13","AU-001","CP-01","低到中","否","exports.csv；functions.csv；branches-and-states.md","已同步","把模块 manifest 物化为 React Router route object 并解析当前页面呈现信息","ConsoleRouter、ScopeShell 与 route tests 静态 import","Console Router 建图或 shell 解析 route handle 时","SYM-00421-001 至 SYM-00421-008","生产：ConsoleRouter、ScopeShell；测试：ConsoleModuleRoutes.test、ScopeShell.test","manifest、scope kind、route matches","RouteObject、默认 entry、route handle、title/summary","只创建局部数组/对象；不修改输入；React Navigate 元素","无","无","无","无","通过 manifest.operations 传递权限/operation 元数据但本文件不授权","浏览器 React/React Router；动态 import","无构造级外部副作用","无顶层副作用；调用时创建 lazy import closure","物化 hidden、disabled、redirect、enabled 四类路由","测试可传人工 manifest；生产来自固定 registry","无长期资源；lazy Promise 由 Router 管理","无自有 retry/错误边界；dynamic import 失败向上游传播","ConsoleModuleRoutes.test.tsx；ScopeShell.test.tsx","直接导入核心函数；本 AU 未运行；lazy 失败分支可信度待审","01-architecture.md；02-runtime-map.md","[FACT][E-AU-001-008] 当前文档按实现分支记录","disabled/redirect/path 是用户可观察路由兼容职责","无等价物化器；ConsoleModulePreload 负责实际 lazy 载入","G0","ConsoleRouter 构建子路由或深链刷新首先失败","[FACT][E-AU-001-008] 入口职责明确；错误边界/权限消费待页面专项；置信度高"
"FILE-00712","01_core_hexin/apps/storefront-web/worker/index.ts","Storefront 运行入口","TypeScript","bcbb22f58f40fa2a1facddcf7e003415c5e2a1a4","61","完整文件 1-61","Codex 主审","2026-09-13","AU-001","CP-01","中","否","exports.csv；functions.csv；branches-and-states.md","已同步","提供 Storefront 在 Node 与 Cloudflare Worker 的统一 fetch 入口并在页面前分流 public API","storefront vite.config main；vinext Node start/Cloudflare bundle","每个 Storefront HTTP fetch；具体部署由 systemd 或 Worker runtime","SYM-00712-001","vinext/Vite 构建与运行时 fetch dispatcher","Request、Worker env 或 undefined、execution context","404/503、Compatibility API Response 或 vinext Response","读取 env/process.env；生成 request id；不写持久状态","间接由 routePublicRequest；本文件不直接 SQL","同进程调用 Compatibility router 和 vinext handler；下游可能网络访问；无本地 timeout","不直接发布/消费事件","APP_ENV、AUTH_MODE 及 WorkerEnv 其余字段经下游使用","本文件做 host/env 门禁但不解析用户身份或业务权限","Cloudflare Worker APIs 或 Node 22 + vinext；crypto、Request、Response","每请求解析 URL 与 env；无启动初始化","顶层 import Compatibility router 和 vinext handler；构造 worker 对象","注册默认 fetch handler并确定 API/页面顺序","Node env 可为 undefined并回落 process.env；Cloudflare 原生 env；测试环境待专项","无显式句柄；ctx 透传给 vinext","无重试/补偿；前置门禁直接返回；下游 reject 传播","storefront workspace 内 Worker/showcase/route 测试待 AU-002 枚举","本 AU 只确认入口；未执行，双运行时反事实待审","01-architecture.md；02-runtime-map.md","[FACT][E-AU-001-009] 当前说明与代码一致；Cloudflare 部署状态 UNKNOWN","同时承载 Node 与 Worker 兼容；Compatibility API 为现行兼容职责","无第二个相同 fetch dispatcher；systemd 和 wrangler 是不同加载环境","G0","Storefront 所有页面和同源 public API 入口首先失败","[FACT][E-AU-001-009] 强运行职责；双运行时环境和下游失败语义需专项；置信度高"
"FILE-01367","01_core_hexin/services/commerce/src/bootstrap/JobRegistry.ts","Commerce bootstrap","TypeScript","d3a0e247b580c012dd014a70b12086ca2788d0be","31","完整文件 1-31","Codex 主审","2026-09-13","AU-001","CP-01","中","否","exports.csv；functions.csv；branches-and-states.md","已同步","在启动期收集、最低限度校验并冻结后台任务定义","ApiBootstrap、JobsBootstrap、app/jobs 与模块类型 import","API/Jobs bootstrap 构造 registry 后；消费者必须先 freeze","SYM-01367-001 至 SYM-01367-002","生产：JobsBootstrap、ApiBootstrap、registerJobs；测试直接消费者未检出","JobDefinition：id、owner、queue、concurrency、lease、batch、deadline、processor","冻结后的 JobDefinition 数组或异常","内部 Map 与 frozen 布尔值","无直接数据库访问；processor 下游访问数据库","无直接网络","仅保存 processor/queue metadata；事件由下游实现","无","无身份/权限判断","Node ESM；所有 Canonical API/Jobs bootstrap","构造空 Map/frozen=false","无顶层副作用","注册 job catalog；不启动 polling","生产定义来自 app/jobs/模块；无直接 JobRegistry 单测检出","无资源","非法或重复定义在写入前抛错；无 retry","未检出直接 JobRegistry.test；JobsBootstrap/集成测试间接覆盖待确认","缺少直接反事实证据；本 AU 未运行","01-architecture.md；02-runtime-map.md","[FACT][E-AU-001-013] 注册事实一致；执行语义仍 UNKNOWN","JobDefinition 字段是现行任务契约","未发现第二个 registry；运行时 QueueJob 是执行层","G0","JobsBootstrap 冻结或 runner 读取 catalog 首先失败","[FACT][E-AU-001-013] 真实核心注册器；配置阈值业务依据未审；置信度高"
"FILE-01373","01_core_hexin/services/commerce/src/bootstrap/ModuleRegistry.ts","Commerce bootstrap","TypeScript","09293666a62120be981999ad673f6e69f760a5e4","58","完整文件 1-58","Codex 主审","2026-09-13","AU-001","CP-01","中","否","exports.csv；functions.csv；branches-and-states.md","已同步","保存 Commerce 模块并按显式依赖拓扑顺序串行执行注册","ApiBootstrap、JobsBootstrap、各模块的 ModuleContext 类型消费者","bootstrap 添加 COMMERCE_MODULES 后调用 load","SYM-01373-001 至 SYM-01373-003","生产：ApiBootstrap/JobsBootstrap 和大量模块；测试：bootstrap/operations/integration","CommerceModule 与包含 container、buses、registries、extensions 的 ModuleContext","注册副作用或排序后的模块 ID catalog","内部模块 Map；ordered 使用局部 visiting/visited/result","由 module.register 间接发生；本文件不直接访问","由 module.register 间接发生","由 module.register 间接注册事件/jobs","由下游模块读取","ModuleContext 携带执行组件但 registry 不授权","Node ESM；API/Jobs 启动期","构造空模块 Map","无顶层副作用","决定模块注册顺序和上下文传播","测试可使用人工模块；生产使用 COMMERCE_MODULES","本文件无资源；下游注册资源是否释放 UNKNOWN","重复/缺失/循环在对应点抛错；load 中途失败不补偿前序注册","ApiBootstrap.test.ts；03_quality registry.spec；多模块测试间接使用","直接 bootstrap/集成链存在；中途失败与清理的反事实覆盖待审","01-architecture.md；02-runtime-map.md","[FACT][E-AU-001-011] 架构描述一致","模块 ID/依赖顺序是现行启动契约","未发现第二个 Commerce 模块拓扑加载器","G0","所有 Canonical API/Jobs 启动在模块装配阶段失败","[FACT][E-AU-001-011] 设计边界清晰；半注册恢复仍 UNKNOWN；置信度高"
"FILE-01384","01_core_hexin/services/commerce/src/bootstrap/RouteRegistry.ts","Commerce bootstrap","TypeScript","e4aa1d95c5a049d4f5099688c418c5e227b98101","70","完整文件 1-70","Codex 主审","2026-09-13","AU-001","CP-01","中","否","exports.csv；functions.csv；branches-and-states.md","已同步","把 Operation ID 绑定到 handler并基于权威 catalog 编译/匹配 HTTP 路径","ApiBootstrap、ModuleContext、HttpApp、OperationController 与测试","bootstrap 先注册后 freeze；请求期只能对 frozen registry match","SYM-01384-001 至 SYM-01384-003","生产：模块 route registration、HttpApp；测试：RouteRegistry/HTTP/security/performance","allow-list、RouteDefinition、HTTP method/path","匹配 operation/handler/decoded parameters、catalog 或 null","内部 routes 数组、frozen 标记、allowed Set","无","无","无","无","本文件不授权；handler 下游执行权限","Node ESM；HTTP 启动和请求期","构造 allow-list Set 或 null","无顶层副作用","注册 Operation route并在 freeze 校验完整性","测试可构造人工 allow-list/handler；生产 OperationCatalog 全量或 profile 子集","无资源","重复/缺失/状态错误抛错；非法 URI decode 异常向 HttpApp 传播","RouteRegistry.test.ts；Contract.test.ts；HttpApp/NodeServer/security/integration tests","直接单测存在；本 AU 未运行；非法编码与中间件映射待审","01-architecture.md；02-runtime-map.md","[FACT][E-AU-001-012] 当前架构说明一致","Operation method/path 是公开契约；顺序匹配也影响兼容行为","无第二个 Canonical RouteRegistry；Compatibility Express router 是不同边界","G0","Canonical API 启动 freeze 或首个请求 route match 失败","[FACT][E-AU-001-012] 核心路由入口明确；错误映射待 HTTP 专项；置信度高"
"FILE-03143","04_tools/release-engine/adapters/zdt-next/build-commerce-service.mjs","Release engine adapter","JavaScript ESM","4bd9c689dfdea98db2d91fcb93b0209389585847","24","完整文件 1-24","Codex 主审","2026-09-13","AU-001","CP-01","中","否","exports.csv；functions.csv","已同步","按单一 release service target 生成精确 Main/Ready ESM bundle","zdt-next.release.json 的 10 个 service build argv","CI/release 以 target 作为 argv[2] 执行","无模块导出；FN-03143-001 顶层程序","release engine command runner；GitHub workflows 间接触发","argv target、serviceTargets、workspace manifests/source","commerce/dist 下 bundle 与 sourcemap；stdout build summary","创建 dist 目录并写构建产物","构建阶段不访问数据库","不发网络；读取本地包","无","无直接 env；process.cwd 影响项目根","无","Node 22、esbuild、文件系统、workspaceResolver","顶层立即解析 argv、mkdir并 await build","整个模块是可执行程序；import 即执行构建","正式 10 个服务 target 构建入口","测试可由 release engine fixture 调用；生产/CI 写真实 dist","esbuild 管理文件句柄；本文件无显式 cleanup","未知 target 在 mkdir 前抛错；build 失败传播；不会清理已有 dist","release-engine tests 对 planner/engine 间接；未检出本文件专测","未执行构建；入口映射由配置交叉验证，输出正确性待 release 专项","01-architecture.md；02-runtime-map.md","[FACT][E-AU-001-015] 文档与当前脚本一致","Main/Ready 文件名和 bundle 布局是远端 service unit 契约","build-commerce.mjs 是全量开发构建，目的不同","G0","所有正式 Canonical service build 在目标解析/entry bundle 阶段失败","[FACT][E-AU-001-015] 正式发布关键脚本；构建清理与通配 export 风险待专项；置信度高"
"FILE-03148","04_tools/release-engine/adapters/zdt-next/service-impact.mjs","Release engine adapter","JavaScript ESM","bc44071d276bd45985bfce5a3782c33081bbee3e","65","完整文件 1-65","Codex 主审","2026-09-13","AU-001","CP-01","中","否","exports.csv；functions.csv；branches-and-states.md","已同步","用 esbuild 输入图把 Commerce 源文件变化映射到最小正式 service target集合","release manifest impactResolvers 由 adapter/planner 动态 import","target commit 必须 checkout；规则命中 commerce 动态影响时","SYM-03148-001","release engine adapter/planner 动态调用；无静态业务消费者","adapter.projectRoot、changes、serviceTargets","targets 与 reasons","仅局部 Set；esbuild write=false","无","无网络；esbuild 读文件","无","无","无","Node 22、esbuild、workspaceResolver、当前源码树","调用时构造 19 entry points并运行内存构建","无顶层副作用","发布影响分类","测试/规范文件从 changed 排除；CI 运行真实源码图","无持久资源；esbuild Promise 完成释放","构建错误传播；找不到精确输入时全 service target 上界","未检出 service-impact 直接测试；planner 有动态 resolver 框架测试","当前最弱处是缺直接图 fixture；本 AU 未运行 esbuild","01-architecture.md；02-runtime-map.md","[FACT][E-AU-001-016] 算法描述一致","变更到发布 target 的兼容职责","workspace-impact 处理包级反向依赖，非重复","G0","Commerce 变更 plan 选择阶段失败或过宽选择","[FACT][E-AU-001-016] 真实动态 resolver；漏选未发现但测试缺口明确；置信度中高"
"FILE-03149","04_tools/release-engine/adapters/zdt-next/service-targets.mjs","Release engine adapter","JavaScript ESM","a89463e12f0ececffbfcc25e638cb4714d955447","14","完整文件 1-14","Codex 主审","2026-09-13","AU-001","CP-01","低到中","否","exports.csv","已同步","作为正式 Canonical 服务 target 到精确 Main/Ready entry 的单一映射表","build-commerce-service 与 service-impact 静态 import","服务构建或影响分析模块加载时","SYM-03149-001 至 SYM-03149-002","build-commerce-service、service-impact；release manifest 以相同 target 字符串调用","无运行参数；静态对象","冻结 target map 与 entry directory 字符串","冻结顶层对象；嵌套数组未深冻结但当前无写入者证据","无","无","无","无","无","Node ESM/CI/release","模块加载时创建并 Object.freeze 顶层 map","顶层初始化只分配对象","定义 10 个正式服务的构建可达面","测试未检出直接 import；生产真实消费","无资源","无自有恢复；消费者处理未知 target/构建失败","无直接专测检出","配置由 release manifest build argv 交叉核验；数组变异反事实未测","01-architecture.md；02-runtime-map.md","[FACT][E-AU-001-015] 当前说明一致","target 名与 entry 名是发布契约","release manifest 另重复 target 名和 build argv；需双源一致性检查","G0","正式 service build 与影响分析立即失去入口映射","[FACT][E-AU-001-015] 真实发布清单；双源漂移需 release 专项；置信度高"
"FILE-03150","04_tools/release-engine/adapters/zdt-next/workspace-impact.mjs","Release engine adapter","JavaScript ESM","067794cdd6f5fa10747a338dc529b7a5e4954f4a","82","完整文件 1-82","Codex 主审","2026-09-13","AU-001","CP-01","中","否","exports.csv；functions.csv；branches-and-states.md","已同步","从 lockfile workspace依赖图反向传播变化并选择消费这些包的运行 target","release manifest impactResolvers 由 adapter/planner 动态 import","workspace 规则命中且目标提交 checkout 时","SYM-03150-001","release planner 动态调用；planner.test 直接导入","adapter、changes、refs、package/lock、git show 旧 lock","targets 与 reasons","局部 Map/Set；不修改 manifest","无","无网络；子进程 git show 读取历史","无","无","无","Node、Git、当前 checkout 与 lockfile","调用时读文件/可能启动 git 子进程","顶层仅 promisify execFile","包级动态影响分类","validation-only 路径被排除；测试直接构造 adapter","子进程由 execFile Promise 管理；无显式 abort/timeout","旧 lock 读取失败时选择所有 workspace；无 target 时选择上界","release-engine/test/planner.test.mjs 直接覆盖一条 workspace 传播","有直接 fixture；失败、rename、peer/optional组合覆盖待专项","01-architecture.md；02-runtime-map.md","[FACT][E-AU-001-016] 算法说明一致","workspace 名/依赖和 target.workspace 映射是发布契约","service-impact 是源码入口图，目的不同","G0","workspace 变更 plan 会失去或扩大 target 选择","[FACT][E-AU-001-016] 真实动态 resolver且有定向测试线索；边缘分支待测；置信度高"
