"配置编号","配置面","来源/位置","键/默认","消费者","校验","运行环境","证据","未知/冲突"
"CFG-AU-005-001","PostgreSQL production image/data","registration-compose.yml","postgres:17-alpine；127.0.0.1:55432；/var/lib/zhudatuan/postgres","registration database systemd + APIs/Jobs/Migration","pg_isready","production registration","E-AU-005-010","init脚本只接受PG16，F-0023"
"CFG-AU-005-002","PostgreSQL init identity","postgres-init-registration.sh/postgres.env.example","POSTGRES_DB/USER、EXPECTED_RDS_SERVER_ADDR、sentinel、role passwords","official image initdb hook","版本/地址/authority/pristine/boundary role guards","production first empty volume","E-AU-005-010","env example缺EXPECTED_RDS_SERVER_ADDR；boundary role创建者不在compose前置"
"CFG-AU-005-003","PostgreSQL pools","Runtime limits + Pool.ts","api/query+command；jobs/worker；migration","createPool callers","URL scheme、workload allowlist、timeouts","all Node services","E-AU-005-002","线上连接数/role仅在专项可验证"
"CFG-AU-005-004","Redis","ApiEnvironment/JobsEnvironment；secret refs","REDIS_CONNECTION_REF；无硬编码URL","CommerceRuntime/RedisCache","ref格式、secret value由redis client解析","aggregate runtime/full staging","E-AU-005-009","formal production dedicated targets不消费；外部owner未知"
"CFG-AU-005-005","Secret Store","LocalEnvironment；runtime/node env","LOCAL_SECRETS_FILE/PORT/BEARER；workload SECRET_STORE_ENDPOINT/TOKEN","LocalSecretsMain/WorkloadSecretStore","文件/ref格式；客户端Bearer","production/staging/node","E-AU-005-006","服务端Main忽略Bearer与policy，F-0021"
"CFG-AU-005-006","KMS","LocalEnvironment；runtime env","LOCAL_KMS_MASTER_KEY/PORT/BEARER；workload KMS_ENDPOINT/TOKEN","LocalKmsMain/KmsClient","master=32 bytes；客户端Bearer；keyRef/context","production/staging","E-AU-005-006","Main忽略授权；keyVersion固定local-v1"
"CFG-AU-005-007","Full-staging policy","staging systemd/full-internal env/access example","LOCAL_WORKLOAD_ACCESS_POLICY_FILE credential","LocalEnvironment/WorkloadAccessPolicy意图","路径、phase、exact workloads/resources、token non-reuse","full staging","E-AU-005-006","Run/Main未load policy"
"CFG-AU-005-008","L0 objects","zhudatuan-l0 object-store.env + sfl unit","port8555；directory /var/lib/sfl-zhudatuan-l0-objects；node manifest","LocalObjectsMain + L0 clients","LocalEnvironment、Ready manifest","production L0","E-AU-005-007","public endpoint在Main被固定loopback"
"CFG-AU-005-009","L1 objects","hbbtzn-l1 object-store.env + sfl unit","port8655；directory /var/lib/sfl-hbbtzn-l1-objects；独立token/manifest","LocalObjectsMain + L1 clients","同上","production L1","E-AU-005-007","与L0同物理host但逻辑目录/token隔离"
"CFG-AU-005-010","Object upload limits","LocalObjects/ObjectStore","8MiB chunk；64MiB object；60–900秒signed URL","upload/read/authorize callers","sequence,size,SHA256,reference/signature","all LocalObjects","E-AU-005-007","scan状态无scanner来源；metadata按digest唯一"
"CFG-AU-005-011","Queue runner","app/jobs + JobRunner configs","batch/lease/concurrency/attempts/poll/deadline/backoff/scope","dedicated/aggregate Jobs","constructor只创建Semaphore；各入口提供值","Node workers","E-AU-005-005","generic export漏scope，F-0024"
"CFG-AU-005-012","Scheduler","RuntimeScheduler.ts","60/300/300/3600秒bucket；45秒leader lease","JobsMain/FullJobsMain","确定性job id+ON CONFLICT","aggregate Jobs only","E-AU-005-003","无正式target，F-0022"
"CFG-AU-005-013","Outbox relay","OutboxRelay/OutboxStore","concurrency8；batch100；poll500ms；lease30s；maxAttempts8","JobsMain/FullJobsMain","参数范围、aggregate order、claim expiry","aggregate Jobs only","E-AU-005-003/E-AU-005-004","无正式target，F-0022"
"CFG-AU-005-014","Staging RDS TLS proxy","full-postgres-proxy env/systemd","upstream host/5432/CA；local55442","staging workloads","host、CA、TLS、loopback","full staging","E-AU-005-011","云端证书/endpoint/backup未验证"
"CFG-AU-005-015","Catalog media OSS","CatalogMediaTargets","targets、endpoint、bucket、prefix、access key fields；replication默认可禁用","Catalog media resolver/job","配置解析+对象回读metadata","catalog jobs","E-AU-005-015","凭据未经过SecretStore ref；账户owner/恢复未知"
"CFG-AU-005-016","正式target图","zdt-next.release.json/remote-policy.json","identity-notification-jobs、catalog-jobs、payment-jobs","release engine/systemd","JSON schema/checks","production","E-AU-005-003","没有jobs/full-jobs/outbox-relay/scheduler target"
