"编号","生成对象","权威输入/生成者","生成条件","文件数/行数","仓内真实加载者","发布或制品边界","数据库作用","正式检查","结论"
"ART-AU-008-001","01_core_hexin/packages/contract/openapi.json","operations.yml + PermissionCatalog / ContractGenerator","contractgen非database-only时始终生成","1/69349","@shop/contract公开subpath；VoucherTargetContract.test；infer-operation-contract-fields；sfl-execution-contract-kernel；release candidate","与events.json原始字节合成release contractHash","无直接执行","@shop/contractgen --check；check:generated","[FACT] 345 Operation文档投影；不是HTTP运行时schema执行点；关联F-0038"
"ART-AU-008-002","01_core_hexin/packages/contract/events.json","events.yml / ContractGenerator","contractgen非database-only时始终生成","1/340","@shop/contract公开subpath；release candidate","与OpenAPI原始字节合成release contractHash","无直接执行","@shop/contractgen --check；check:generated","[FACT] 67条只含type/version/module；不含schema/handlers；补强F-0039"
"ART-AU-008-003","SDK operations/*.ts","operations.yml / ContractGenerator","contractgen非database-only时始终生成","35/4972","Console、Storefront、SDK tests；Auth只消费SDK基础工具","代码进入Web bundle并由每个client目录sha256覆盖","无直接执行","contractgen check；SDK tests/typecheck","[FACT] 345/345存在；统一调用ApiClient；74 frozen传输前拒绝"
"ART-AU-008-004","Commerce OperationController.ts","271 runtime Operations / ContractGenerator","非contract-sdk-only时生成","1/364","DefinedModule/各模块注册→RouteRegistry","进入Commerce OCI及其artifact sha256","无直接SQL；把请求交给handler","contractgen check；route tests","[FACT] 只注册OperationCatalog.all runtime集合；关联F-0036/F-0038"
"ART-AU-008-005","Commerce OperationHandler.ts","271 runtime Operations / ContractGenerator","非contract-sdk-only时生成","1/319","DefinedModule创建handler；Controller调用","进入Commerce OCI及其artifact sha256","下游usecase决定；壳执行write result检查","contractgen check；ExecutionKernel/Module tests","[FACT] 统一handler壳；导出的HANDLED_OPERATION_IDS仓内无消费者，DC-0008"
"ART-AU-008-006","Commerce app/events.ts","67 events + handlers / ContractGenerator","非contract-sdk-only时生成","1/150","app/modules duplicate check；RuntimeEventPublisher；Event.test","进入Commerce OCI及其artifact sha256","publisher据Map写runtime.inbox/job","contractgen check；Event.test","[FACT] 67/67；Map本身可变，补强F-0032"
"ART-AU-008-007","database/contracts/current.sql","runtime Operations、events schema、permissions、SQL template / ContractGenerator","非contract-sdk-only或database-only时生成","1/1409","固定仓库只有VoucherTargetContract.test读取；未发现migration/release/runtime loader","不进入candidate；release只携带schemaHead和snapshot evidence引用","若被人工执行会发布目录/函数；当前无执行入口证据","contractgen check及Voucher test局部文本oracle","[FACT] 生成快照，不是已证明部署入口；禁止按零运行引用删除"
"ART-AU-008-008","Miniapp domain/deeplink.js","DeepLinkContract / build-miniapp-contract.mjs","generate:clients或check:generated","1/12","Miniapp运行源码引用0；candidate复制整个miniprogram","miniapp目录sha256覆盖","无","build-miniapp-contract --check","[FACT] tracked输出存在但无仓内运行caller；关联F-0006/F-0043"
"ART-AU-008-009","Miniapp domain/experience.js","ExperienceContract / build-miniapp-contract.mjs","generate:clients或check:generated","1/25","Miniapp运行源码引用0；candidate复制整个miniprogram","miniapp目录sha256覆盖","无","build-miniapp-contract --check","[FACT] tracked输出存在但无仓内运行caller；外部工程UNKNOWN"
"ART-AU-008-010","Miniapp miniprogram/api generated operations","operations.yml / ContractGenerator的条件目标","仅目标目录预先存在时生成","0/0（固定基线）","runtimegraph仍直接读取client.js；其它当前运行caller未见","candidate复制当前9文件，不含该目录","无","runtimegraph/navigation/test topology各有不同判据","[CONFLICT] 条件生成目标不存在而checker要求存在；F-0006/F-0045"
