"code/集合","smart-wing数量/风险","canonical数量/风险","差异","运行边界","结论"
"全部目录","86","184","仅重合8；legacy-only78；canonical-only176","public.* vs access.*","不可互换"
"critical","25","54","目录规模和code不同","兼容Set vs canonical definition.stepup","不可互换"
"inventory.read","low","low","一致","两个运行域","同名不代表整包等价"
"order.create","low","elevated","风险不同","两个运行域","迁移需显式定稿"
"order.read","low","low","一致","两个运行域","同名不代表整包等价"
"order.export","high","critical+stepup","风险/step-up不同","两个运行域","迁移风险"
"voucher.issue","critical","critical+stepup","大体一致","两个运行域","Scope模型仍不同"
"member.read","low","elevated","风险不同","两个运行域","迁移需显式定稿"
"member.import","high","high","风险一致","两个运行域","Scope模型仍不同"
"audit.read","low","high","风险不同","两个运行域","迁移需显式定稿"
