"记录编号","应用","文件/集合","收集入口","消费者/选择器证据","当前判断","删除判断","证据"
"STYLE-AU002-001","Console","@shop/design tokens/base/components/workspace","src/main.tsx:3-6","整个 Console bundle","四个共享样式根静态导入","未评估","E-AU-002-007"
"STYLE-AU002-002","Console","src/style.css","src/main.tsx:7","@import shell/feature/responsive/legacy-admin-theme/smart-wing-vi","本地全局样式主根","未评估","E-AU-002-007"
"STYLE-AU002-003","Console","src/shell.css","style.css:2","@import navigation.css/header.css；shell class 由 ScopeShell/Header/Sidebar 使用","生产可达","未评估","E-AU-002-007"
"STYLE-AU002-004","Console","其余 63 个有文件名消费者 CSS","route/component import 或全局 @import","对应页面/组件；本 AU 只核对引用","结构可达，视觉和层叠未深审","未评估","E-AU-002-007"
"STYLE-AU002-005","Console","feature/access/member-access-workspace.css","无文件名消费者","36 个提取选择器中 3 个在当前组件文本出现且均有其它 CSS 定义；MemberAccessWorkspace 当前改导入 storefront-member.css 和 member-access-discord.css","图外旧样式候选线索；仍有历史/替代关系","禁止判 G3；需页面视觉对照","E-AU-002-025"
"STYLE-AU002-006","Console","feature/access/owner-transfer-dialog.css","无文件名消费者","9 个选择器均有 OwnerTransfer 子图文本消费者；OwnerTransferPanel 仅见自身测试入口；3 个选择器在其它 CSS 有定义","样式未进 bundle，但组件/测试契约仍存在","禁止判 G3；需专项与视觉复核","E-AU-002-025"
"STYLE-AU002-007","Console","feature/access/owner-transfer.css","无文件名消费者","16 个选择器中 15 个有组件文本消费者；OwnerTransferPanel 未进入当前 AccessRoute","未挂载子图的样式责任线索","禁止判 G3；需专项与视觉复核","E-AU-002-025"
"STYLE-AU002-008","Console","feature/finance/FinanceAuthority.css","无文件名消费者","9 个选择器均由 FinanceAuthorityTabs 子图使用；该子图无当前 FinanceRoute importer","未挂载子图的样式责任线索","禁止判 G3；需专项与视觉复核","E-AU-002-025"
"STYLE-AU002-009","Console","feature/finance/FinancePolicyEditor.css","无文件名消费者","28 个选择器均由 FinancePolicyEditor 子图使用；该子图未进入当前 FinanceRoute","未挂载子图的样式责任线索","禁止判 G3；需专项与视觉复核","E-AU-002-025"
"STYLE-AU002-010","Auth","src/index.css","src/main.tsx:5","@import design-system tokens + Tailwind；当前 Consumer/Operator/LoginPage 类均可能由全局表消费","唯一生产 CSS 根","未评估","E-AU-002-017"
"STYLE-AU002-011","Storefront","app/globals.css","app/layout.tsx:3","@import design-system tokens + Tailwind；释放 first-paint guard","生产 CSS 根","未评估","E-AU-002-017"
"STYLE-AU002-012","Storefront","src/index.css","无 import/框架特殊文件入口","仅两条 @import，提取不到自有业务选择器","不在当前 bundle 图；用途 UNKNOWN","禁止判 G3；需构建 metafile/历史复核","E-AU-002-017;E-AU-002-025"
"STYLE-AU002-013","Storefront","app icon/apple/opengraph/manifest 特殊文件","App Router 文件约定 + layout metadata","浏览器 favicon/PWA/OpenGraph","框架发现资源","未评估","E-AU-002-013;E-AU-002-017"
"STYLE-AU002-014","Miniapp","styles/tokens.wxss + assets/*.svg","生成器输出","当前无 app.json/page WXSS 或模板消费者","生成目标存在，完整消费图缺失","排除人工深审；禁止判废弃","E-AU-002-018;E-AU-002-020"
