"evidence_id","kind","location","fact","supports"
"E-AU-025-001","覆盖","cake目录","13文件807行全部逐文件阅读","覆盖"
"E-AU-025-002","运行入口","Provider.ts/ProviderFactories/ChannelSyncJob","三只读port进入Commerce任务","架构"
"E-AU-025-003","分页","CakeuncleClient.ts:41-50,105-113,157-160","固定size=200；非末页短页未拒绝","F-0105"
"E-AU-025-004","快照","CakeuncleClient.ts:53-87","每次Price/Stock均重新遍历全部分类/商品页","F-0106"
"E-AU-025-005","任务批次","ChannelSyncJob.ts:89-116","Price/Stock分别按最多500 keys调用provider","F-0106"
"E-AU-025-006","安全边界","Provider.ts/manifest.ts/index.ts","只发布三只读能力；OrderRequest/Webhook不导出","DC-0031"
"E-AU-025-007","死码检索","全仓rg","OrderRequest仅测试；ErrorMap零caller；Webhook为旧别名","DC-0031/DC-0032"
"E-AU-025-008","测试","tests目录","无短页/放大/deadline/Channel job集成","F-0107"
"E-AU-025-009","历史","git log","近三次修复数字total、划线价和HTTPS图片","维护事实"
"E-AU-025-010","验证","package scripts","test/typecheck均127，工具缺失","验证限制"
