"证据编号","证据类别","基线或观察时点","来源","最小观察","直接证明","不证明","可复核方法","敏感性"
"E-AU-001-001","Git 历史","5a1ce71eebbefaa826368a9e1dc17730f9363bc4","git branch/status/rev-parse/merge-base","审计分支位于固定基线后仅含 CP-00/CP-00A 文档提交且开工时干净","AU-001 没有吸收后续主线","报告内容正确或线上状态健康","在审计 worktree 重复四项只读 Git 检查","无"
"E-AU-001-002","构建配置","固定基线","package.json:6-17","Node >=22.22 且声明 7 组 npm workspace 路径","仓库工作区发现入口和包管理方式","每个包都被发布或运行","读取根 manifest","无"
"E-AU-001-003","包导出","固定基线","package-lock.json packages 与 43 个 workspace package.json","实际有 43 个具名 workspace；当前 Web 名称为 @smart-wing/auth-web、@shop/console、@smart-wing/storefront-web","当前 workspace 身份集合","外部未安装包或动态消费者","解析 lock packages 并交叉读取 package name","无"
"E-AU-001-004","测试行为","固定基线","playwright.config.ts:7-15,37","5 个 webServer 使用 @shop/auth、@shop/console、@shop/store、@shop/supplier、@shop/storefront","E2E 声明的启动命令","完整 E2E 的其它行为","读取配置并与 E-AU-001-003 对比","无"
"E-AU-001-005","测试行为","2026-09-13 16:21+08:00","npm run dev --workspace @shop/auth -- --help","退出码 1；No workspaces found","至少一个正式 Playwright webServer 同形命令在当前 workspace 图中无法解析","修正后页面测试会通过","在固定基线重复命令；会在用户 npm 日志目录产生普通 debug log","无凭据；仓库外普通 npm 日志"
"E-AU-001-006","包导出","固定基线","workspace package exports；workspace-resolver.mjs:4-48","resolver 枚举 workspace 并只按精确 subpath 查 exports；SDK 同时声明通配 subpath","release 构建的本地包解析方式","通配导出当前必然导致失败","读取 resolver 并列举 manifests；未来专项构造定向 import","无"
"E-AU-001-007","动态注册","固定基线","ConsoleModuleRegistry.ts:1-109 与 15 个 feature manifest","15 个模块静态 import；校验重复 module/route/path 和每模块一个 entry","Console 模块目录和注册闸门","每个页面实现与权限正确","从 ConsoleRouter 反向重追 registry 与 manifest","无"
"E-AU-001-008","路由清单","固定基线","ConsoleModuleRoutes.tsx:18-112 与 ConsoleRouter.tsx","hidden/disabled/redirect/enabled 被转换为不同 route object；作用域根包含模块路由","Console 路由物化语义","lazy 页面运行成功或 API 正确","以 manifest 的 entry 路径重追到 materializer","无"
"E-AU-001-009","动态注册","固定基线","storefront-web/vite.config.ts；worker/index.ts:1-61；app 页面文件","Vite 指定 worker/index；fetch 先执行 host/env 门禁与 Compatibility public router，再进入 vinext；App Router 有 6 个页面入口","Storefront Node/Worker 共同入口和 Compatibility public router 的真实消费者","Cloudflare 当前已部署或全部 API 正确","从 Vite main 和 systemd vinext start 双向重追 fetch","无"
"E-AU-001-010","部署清单","固定基线","cloudflare/h5、mini、hbbtzn-alias 三个 wrangler.jsonc；全仓发布命令检索","h5/mini 指向 storefront dist/server/index.js 并声明域名；alias routes 为空；仓库内未发现 wrangler deploy/publish 调用者","仓库内缺少可见部署调用链","这些 Worker 未在线或无外部流程","读取 configs 并检索 GitHub、tools、scripts、release 路径","无"
