"故障编号","链路/步骤","故障模式","直接原因","首个可观察影响","后续影响","当前检测","严重度","发生可能性","可检测性","恢复/回滚","证据状态"
"FM-AU-004-001","Direct restart后","进程active但HTTP不可用","Direct不执行readiness/public acceptance","workflow仍success/direct-activated","用户收到404/5xx直到人工发现","只看restart异常；无后置health","P1候选","条件性；正式路径每次存在","低到中","人工重新发布/回切pointer；无自动健康回滚","F-0015/E-AU-004-006"
"FM-AU-004-002","fufu静态请求","Auth/Console 404","active Caddy读取未被release更新且无index的root","浏览器404","登录/运营入口不可用","公网只读检查","P1候选","已观察","高","独立修复批次统一root并保留原配置/pointer","F-0001/E-AU-004-010"
"FM-AU-004-003","HBBTZN Console激活","两个发布器交叉切pointer","OSS与agent无共享锁/concurrency","版本最后写入者获胜","receipt和previous基线互相覆盖","各路径只能看自身结果","P2","未观察；结构上可达","低","停止并发后按权威source重发；保留各release","F-0016/E-AU-004-008"
"FM-AU-004-004","control-plane变更发布","workflow成功但配置未变化","规则选择业务target或零target，artifact不含配置","新业务制品被重发或什么也不做","预期edge/unit修复未生效","无active blob对账门禁","P2","配置变更时确定","低","人工control-plane安装/恢复旧配置","F-0017/E-AU-004-007"
"FM-AU-004-005","deployment check","质量入口持续红或被绕过","检查期待缺失SmokeMain token且只扫描源码文本","check:deployment失败","团队可能忽略门禁或误判部署契约","命令自身","P2","固定基线必现","高","回退未来独立检查修订；本次不改","F-0018/E-AU-004-013"
"FM-AU-004-006","SSH首次连接","错误主机密钥成为本run信任锚","运行时未认证ssh-keyscan","SSH随后正常建立到错误端点","制品/命令可能发送给非预期主机","无独立fingerprint比较","P2","需网络/DNS/路由被劫持","低","中止run、轮换受影响secret/重建固定trust；未证实事件","F-0019/E-AU-004-015"
"FM-AU-004-007","affected发布","较早未部署变更未进入计划","base固定HEAD^而非current source SHA","target未被选择","线上继续旧制品而workflow成功","计划只展示最后提交diff","P2","跳过/失败提交后可达","中","显式target重发；未来独立修复规划base","F-0020/E-AU-004-016"
"FM-AU-004-008","service单独发布","migration未自动加入","after只排序已选集合，不是requires","服务artifact先后图无migration","若服务依赖新schema可启动失败","plan可见migration缺席","P2边界，未新增编号","依变更组合","高","显式选择migration或兼容设计；forward-only","E-AU-004-002; E-AU-004-003"
"FM-AU-004-009","AutoNode外部资源step","Cloudflare/DNS/systemd中途失败","外部API或主机冲突","step failed ledger","后续step不执行","step receipt + health","P2边界","外部依赖条件性","高","逆序ownership-aware compensation/retry","E-AU-004-012"
"FM-AU-004-010","release retention","误删回滚/运行制品","保护集或路径发现错误","服务/rollback找不到文件","运行或恢复失败","current/previous/runtime/CWD/pin/recent/grace保护","高风险边界；未发现问题","未知","中","pins/previous/current保留；需Bash4行为测试","E-AU-004-017"
