"文件编号","路径","所属模块","文件类型","基线 blob SHA","物理行数","审阅范围","审阅者","审阅日期","审计单元","检查点","风险等级","是否二次复核","详细记录","覆盖清单同步","1 存在理由","2 创建或加载者","3 加载条件","4 导出内容","5 导出消费者","6 输入","7 输出","8 状态读写","9 数据库读写","10 网络调用","11 事件","12 环境变量","13 用户权限依赖","14 运行环境依赖","15 初始化副作用","16 模块加载副作用","17 注册职责","18 测试生产差异","19 资源释放","20 失败恢复","21 对应测试","22 测试可信度","23 对应文档","24 文档准确性","25 兼容职责","26 等价重复实现","27 可否独立删除","28 删除首个失败点","29 最终结论与置信度"
"FILE-AU-007-001","01_core_hexin/packages/contract/definitions/capabilities.yml","契约定义目录","结构化YAML","4a4742ec1a819f7b43798b9ad49ded1d99455b66","951","全文件逐行/逐记录深入审阅","Codex主审","2026-09-14","AU-007","CP-07","P3","否（若后续升级则重排）","E-AU-007-005/006/007/008/009/010/011","是","提供契约、生成、检查或真实消费证据","Git tracked人工文件","package import、质量命令、运行入口或人工流程","见exports.csv或源码声明","见exports.csv与communications.csv","YAML/函数参数/上游契约","契约值、校验结果、运行调用或报告信号","目录对象/纯函数或生成过程局部状态","无直接数据库写或本AU不深审","无直接网络或本AU不深审","无事件或本AU不深审","无环境值读取；正式命令依赖本地node_modules","不替代业务授权；无则不适用","Node 22/npm workspace/TypeScript生成链；正式依赖本环境缺失","无未记录初始化写","见functions.csv；无或仅目录解析","无或不适用","见tests.csv；正式执行均环境阻塞","纯契约不持资源；generator/检查进程退出释放","校验失败抛错/进程退出；运行恢复留消费者专项","见tests.csv及对应*.test.ts/正式检查入口","源码分支已人工评估；正式执行因依赖缺失阻塞","summary/history及项目契约文档","文档只作线索，代码与生成结果优先","相关迁移/运行兼容留专项","未证明存在可安全替代","否；未满足G3十三项与独立复核","对应package、质量门禁或运行调用首先失败","[FACT] 人工文件已完成全文件深审；关联F-0041"
"FILE-AU-007-002","01_core_hexin/packages/contract/definitions/errors.yml","契约定义目录","结构化YAML","a1964f8ef199392441dfccb3f535b6b649ad3a19","2878","全文件逐行/逐记录深入审阅","Codex主审","2026-09-14","AU-007","CP-07","P2","否（若后续升级则重排）","E-AU-007-005/006/007/008/009/010/011","是","提供契约、生成、检查或真实消费证据","Git tracked人工文件","package import、质量命令、运行入口或人工流程","见exports.csv或源码声明","见exports.csv与communications.csv","YAML/函数参数/上游契约","契约值、校验结果、运行调用或报告信号","目录对象/纯函数或生成过程局部状态","无直接数据库写或本AU不深审","无直接网络或本AU不深审","无事件或本AU不深审","无环境值读取；正式命令依赖本地node_modules","不替代业务授权；无则不适用","Node 22/npm workspace/TypeScript生成链；正式依赖本环境缺失","无未记录初始化写","见functions.csv；无或仅目录解析","无或不适用","见tests.csv；正式执行均环境阻塞","纯契约不持资源；generator/检查进程退出释放","校验失败抛错/进程退出；运行恢复留消费者专项","见tests.csv及对应*.test.ts/正式检查入口","源码分支已人工评估；正式执行因依赖缺失阻塞","summary/history及项目契约文档","文档只作线索，代码与生成结果优先","相关迁移/运行兼容留专项","未证明存在可安全替代","否；未满足G3十三项与独立复核","对应package、质量门禁或运行调用首先失败","[FACT] 人工文件已完成全文件深审；关联F-0037"
"FILE-AU-007-003","01_core_hexin/packages/contract/definitions/events.yml","契约定义目录","结构化YAML","f7f905f25339869b2c84317e3c5f7bbf2ab1d0a5","471","全文件逐行/逐记录深入审阅","Codex主审","2026-09-14","AU-007","CP-07","P2","否（若后续升级则重排）","E-AU-007-005/006/007/008/009/010/011","是","提供契约、生成、检查或真实消费证据","Git tracked人工文件","package import、质量命令、运行入口或人工流程","见exports.csv或源码声明","见exports.csv与communications.csv","YAML/函数参数/上游契约","契约值、校验结果、运行调用或报告信号","目录对象/纯函数或生成过程局部状态","无直接数据库写或本AU不深审","无直接网络或本AU不深审","见events.csv/communications.csv","无环境值读取；正式命令依赖本地node_modules","不替代业务授权；无则不适用","Node 22/npm workspace/TypeScript生成链；正式依赖本环境缺失","无未记录初始化写","见functions.csv；无或仅目录解析","无或不适用","见tests.csv；正式执行均环境阻塞","纯契约不持资源；generator/检查进程退出释放","校验失败抛错/进程退出；运行恢复留消费者专项","见tests.csv及对应*.test.ts/正式检查入口","源码分支已人工评估；正式执行因依赖缺失阻塞","summary/history及项目契约文档","文档只作线索，代码与生成结果优先","相关迁移/运行兼容留专项","未证明存在可安全替代","否；未满足G3十三项与独立复核","对应package、质量门禁或运行调用首先失败","[FACT] 人工文件已完成全文件深审；关联F-0039"
"FILE-AU-007-004","01_core_hexin/packages/contract/definitions/operations.yml","契约定义目录","结构化YAML","29385f65ec886281a9fe03444440cf998013c3c1","5250","全文件逐行/逐记录深入审阅","Codex主审","2026-09-14","AU-007","CP-07","P1候选","是（RV-0008）","E-AU-007-004","是","提供契约、生成、检查或真实消费证据","Git tracked人工文件","package import、质量命令、运行入口或人工流程","见exports.csv或源码声明","见exports.csv与communications.csv","YAML/函数参数/上游契约","契约值、校验结果、运行调用或报告信号","目录对象/纯函数或生成过程局部状态","无直接数据库写或本AU不深审","无直接网络或本AU不深审","无事件或本AU不深审","无环境值读取；正式命令依赖本地node_modules","permission/audience/capability链见F-0036","Node 22/npm workspace/TypeScript生成链；正式依赖本环境缺失","无未记录初始化写","见functions.csv；无或仅目录解析","无或不适用","见tests.csv；正式执行均环境阻塞","纯契约不持资源；generator/检查进程退出释放","校验失败抛错/进程退出；运行恢复留消费者专项","见tests.csv及对应*.test.ts/正式检查入口","源码分支已人工评估；正式执行因依赖缺失阻塞","summary/history及项目契约文档","文档只作线索，代码与生成结果优先","相关迁移/运行兼容留专项","未证明存在可安全替代","否；未满足G3十三项与独立复核","对应package、质量门禁或运行调用首先失败","[FACT] 人工文件已完成全文件深审；关联F-0036/F-0038/F-0040"
"FILE-AU-007-005","01_core_hexin/packages/contract/package.json","contract package","JSON","5a601596a7c0a72fba3147aaa8208e35e1e9d567","31","全文件逐行/逐记录深入审阅","Codex主审","2026-09-14","AU-007","CP-07","未发现独立问题","否（若后续升级则重排）","E-AU-007-002/003","是","提供契约、生成、检查或真实消费证据","Git tracked人工文件","package import、质量命令、运行入口或人工流程","见exports.csv或源码声明","见exports.csv与communications.csv","YAML/函数参数/上游契约","契约值、校验结果、运行调用或报告信号","目录对象/纯函数或生成过程局部状态","无直接数据库写或本AU不深审","无直接网络或本AU不深审","无事件或本AU不深审","无环境值读取；正式命令依赖本地node_modules","不替代业务授权；无则不适用","Node 22/npm workspace/TypeScript生成链；正式依赖本环境缺失","无未记录初始化写","见functions.csv；无或仅目录解析","无或不适用","见tests.csv；正式执行均环境阻塞","纯契约不持资源；generator/检查进程退出释放","校验失败抛错/进程退出；运行恢复留消费者专项","见tests.csv及对应*.test.ts/正式检查入口","源码分支已人工评估；正式执行因依赖缺失阻塞","summary/history及项目契约文档","文档只作线索，代码与生成结果优先","相关迁移/运行兼容留专项","未证明存在可安全替代","否；未满足G3十三项与独立复核","对应package、质量门禁或运行调用首先失败","[FACT] 人工文件已完成全文件深审"
"FILE-AU-007-006","01_core_hexin/packages/contract/src/AdministratorSegmentContract.test.ts","contract package","TypeScript源码","8dbb2e2ff8b26a0ebcbdbf4f499512bf81af4029","21","全文件逐行/逐记录深入审阅","Codex主审","2026-09-14","AU-007","CP-07","P2","否（若后续升级则重排）","E-AU-007-005/006/007/008/009/010/011","是","提供契约、生成、检查或真实消费证据","Git tracked人工文件","package import、质量命令、运行入口或人工流程","见exports.csv或源码声明","见exports.csv与communications.csv","YAML/函数参数/上游契约","契约值、校验结果、运行调用或报告信号","目录对象/纯函数或生成过程局部状态","无直接数据库写或本AU不深审","无直接网络或本AU不深审","无事件或本AU不深审","无环境值读取；正式命令依赖本地node_modules","不替代业务授权；无则不适用","Node 22/npm workspace/TypeScript生成链；正式依赖本环境缺失","无未记录初始化写","见functions.csv；无或仅目录解析","无或不适用","见tests.csv；正式执行均环境阻塞","纯契约不持资源；generator/检查进程退出释放","校验失败抛错/进程退出；运行恢复留消费者专项","见tests.csv及对应*.test.ts/正式检查入口","源码分支已人工评估；正式执行因依赖缺失阻塞","summary/history及项目契约文档","文档只作线索，代码与生成结果优先","公共package/版本/frozen/生成兼容责任未排除","未证明存在可安全替代","否；未满足G3十三项与独立复核","对应package、质量门禁或运行调用首先失败","[FACT] 人工文件已完成全文件深审；关联F-0040"
"FILE-AU-007-007","01_core_hexin/packages/contract/src/ClientSchema.test.ts","contract package","TypeScript源码","2c46f5a9dcd39b0d2c6ea8e4485fd1aed2c09a3f","27","全文件逐行/逐记录深入审阅","Codex主审","2026-09-14","AU-007","CP-07","未发现独立问题","否（若后续升级则重排）","E-AU-007-002/003","是","提供契约、生成、检查或真实消费证据","Git tracked人工文件","package import、质量命令、运行入口或人工流程","见exports.csv或源码声明","见exports.csv与communications.csv","YAML/函数参数/上游契约","契约值、校验结果、运行调用或报告信号","目录对象/纯函数或生成过程局部状态","无直接数据库写或本AU不深审","无直接网络或本AU不深审","无事件或本AU不深审","无环境值读取；正式命令依赖本地node_modules","不替代业务授权；无则不适用","Node 22/npm workspace/TypeScript生成链；正式依赖本环境缺失","无未记录初始化写","见functions.csv；无或仅目录解析","无或不适用","见tests.csv；正式执行均环境阻塞","纯契约不持资源；generator/检查进程退出释放","校验失败抛错/进程退出；运行恢复留消费者专项","见tests.csv及对应*.test.ts/正式检查入口","源码分支已人工评估；正式执行因依赖缺失阻塞","summary/history及项目契约文档","文档只作线索，代码与生成结果优先","相关迁移/运行兼容留专项","未证明存在可安全替代","否；未满足G3十三项与独立复核","对应package、质量门禁或运行调用首先失败","[FACT] 人工文件已完成全文件深审"
"FILE-AU-007-008","01_core_hexin/packages/contract/src/ClientSchema.ts","contract package","TypeScript源码","c99acc776f6370eee13463b8123bcff0469d241f","19","全文件逐行/逐记录深入审阅","Codex主审","2026-09-14","AU-007","CP-07","未发现独立问题","否（若后续升级则重排）","E-AU-007-002/003","是","提供契约、生成、检查或真实消费证据","Git tracked人工文件","package import、质量命令、运行入口或人工流程","见exports.csv或源码声明","见exports.csv与communications.csv","YAML/函数参数/上游契约","契约值、校验结果、运行调用或报告信号","目录对象/纯函数或生成过程局部状态","无直接数据库写或本AU不深审","无直接网络或本AU不深审","无事件或本AU不深审","无环境值读取；正式命令依赖本地node_modules","不替代业务授权；无则不适用","Node 22/npm workspace/TypeScript生成链；正式依赖本环境缺失","无未记录初始化写","见functions.csv；无或仅目录解析","无或不适用","见tests.csv；正式执行均环境阻塞","纯契约不持资源；generator/检查进程退出释放","校验失败抛错/进程退出；运行恢复留消费者专项","见tests.csv及对应*.test.ts/正式检查入口","源码分支已人工评估；正式执行因依赖缺失阻塞","summary/history及项目契约文档","文档只作线索，代码与生成结果优先","相关迁移/运行兼容留专项","未证明存在可安全替代","否；未满足G3十三项与独立复核","对应package、质量门禁或运行调用首先失败","[FACT] 人工文件已完成全文件深审"
"FILE-AU-007-009","01_core_hexin/packages/contract/src/Contract.test.ts","contract package","TypeScript源码","e8a861a58354477054cfb5d86c8b4dff26ea760e","101","全文件逐行/逐记录深入审阅","Codex主审","2026-09-14","AU-007","CP-07","P2","否（若后续升级则重排）","E-AU-007-005/006/007/008/009/010/011","是","提供契约、生成、检查或真实消费证据","Git tracked人工文件","package import、质量命令、运行入口或人工流程","见exports.csv或源码声明","见exports.csv与communications.csv","YAML/函数参数/上游契约","契约值、校验结果、运行调用或报告信号","目录对象/纯函数或生成过程局部状态","无直接数据库写或本AU不深审","无直接网络或本AU不深审","无事件或本AU不深审","无环境值读取；正式命令依赖本地node_modules","不替代业务授权；无则不适用","Node 22/npm workspace/TypeScript生成链；正式依赖本环境缺失","无未记录初始化写","见functions.csv；无或仅目录解析","无或不适用","见tests.csv；正式执行均环境阻塞","纯契约不持资源；generator/检查进程退出释放","校验失败抛错/进程退出；运行恢复留消费者专项","见tests.csv及对应*.test.ts/正式检查入口","源码分支已人工评估；正式执行因依赖缺失阻塞","summary/history及项目契约文档","文档只作线索，代码与生成结果优先","公共package/版本/frozen/生成兼容责任未排除","未证明存在可安全替代","否；未满足G3十三项与独立复核","对应package、质量门禁或运行调用首先失败","[FACT] 人工文件已完成全文件深审；关联F-0040"
"FILE-AU-007-010","01_core_hexin/packages/contract/src/Contract.ts","contract package","TypeScript源码","2eeb79f7658c1c85c6d78bef51d4a1ad17930086","8","全文件逐行/逐记录深入审阅","Codex主审","2026-09-14","AU-007","CP-07","未发现独立问题","否（若后续升级则重排）","E-AU-007-002/003","是","提供契约、生成、检查或真实消费证据","Git tracked人工文件","package import、质量命令、运行入口或人工流程","见exports.csv或源码声明","见exports.csv与communications.csv","YAML/函数参数/上游契约","契约值、校验结果、运行调用或报告信号","目录对象/纯函数或生成过程局部状态","无直接数据库写或本AU不深审","无直接网络或本AU不深审","无事件或本AU不深审","无环境值读取；正式命令依赖本地node_modules","不替代业务授权；无则不适用","Node 22/npm workspace/TypeScript生成链；正式依赖本环境缺失","无未记录初始化写","见functions.csv；无或仅目录解析","无或不适用","见tests.csv；正式执行均环境阻塞","纯契约不持资源；generator/检查进程退出释放","校验失败抛错/进程退出；运行恢复留消费者专项","见tests.csv及对应*.test.ts/正式检查入口","源码分支已人工评估；正式执行因依赖缺失阻塞","summary/history及项目契约文档","文档只作线索，代码与生成结果优先","公共package/版本/frozen/生成兼容责任未排除","未证明存在可安全替代","否；未满足G3十三项与独立复核","对应package、质量门禁或运行调用首先失败","[FACT] 人工文件已完成全文件深审"
