"证据编号","证据类型","时间/基线","入口/位置","观察","可证明","不可证明","复现/复核","敏感性"
"E-AU-012-001","Git/范围","固定基线5a1ce71e","branch/rev-parse/status/ls-tree","11文件758行；CP-11A后clean；固定基线未变","审计边界和文件身份","仓外副本","核对blob/行数/merge-base","无"
"E-AU-012-002","逐文件人工审阅","固定基线5a1ce71e","api-contract全部11文件","11/11文件758/758行逐字段逐分支读完","包内部契约、测试与数据结构","线上使用量","files/functions/tests交叉","无"
"E-AU-012-003","静态消费者","固定基线5a1ce71e","全仓package/import/export检索","33个包引用文件；23个非测试、10个测试；权限/Authz/支付/会员码/分类分路消费","仓内静态使用边界","动态和仓外调用","排除定义后按import重搜","无"
"E-AU-012-004","分类集合复算","固定基线5a1ce71e","catalog-taxonomy.json","9 L1、25 L2、31 leaves，65个code全局唯一；一个dangling L2","分类集合闭包缺口","线上商品数量","JSON解析后集合对账","无"
"E-AU-012-005","交付矩阵证据解析","固定基线5a1ce71e","delivery-matrix.json七条evidence","四条wechat evidence路径不存在；三个web路径存在","固定仓库路径事实","外部系统是否有副本","逐条split ::并检查路径","无"
"E-AU-012-006","静态/导出入口","固定基线5a1ce71e","全仓delivery-matrix引用与package exports","矩阵无代码消费者且未从package导出","仓内无静态/包入口","仓外直接路径读取","rg+package字段","无"
"E-AU-012-007","正式交付闸门","固定基线5a1ce71e","根check:delivery→check-platform-delivery.mjs","脚本只读mvp.yml和aliyun/delivery.yml，不读本矩阵","正式命令与矩阵脱节","安装依赖后的其它运行错误","读完整脚本控制流","无"
"E-AU-012-008","数据库/前端接缝","固定基线5a1ce71e","taxonomy consumer与两条migration","DB定义/填充digital_mobile路径；Storefront从leaves直接接受该路径，categories树无父节点","真实接缝冲突","线上数据规模与页面视觉","核对迁移code和isStrictTaxonomyPath","无"
"E-AU-012-009","实际源码反事实","固定基线5a1ce71e","permissions.ts/platform.ts Node strip-types隔离进程","PERMISSIONS code、catalog risk、CLIENT_PLATFORM和required数组均成功改写","F-0032在本包成立","生产mutation caller","隔离进程前后值比较","无"
"E-AU-012-010","正式质量命令","固定基线5a1ce71e","npm workspace test/typecheck","两命令均Missing script；Storefront Vitest静态include两个测试文件","独立质量入口缺口","4测试实际结果","不安装依赖各执行一次并追根入口","无"
"E-AU-012-011","状态转换探针","固定基线5a1ce71e","toPaymentStatus 11x8输入矩阵","refunded优先；paid履约态优先；其余按attempt映射；未知回not_started","纯函数现行分支","产品期望和线上输入分布","Node strip-types逐组合打印","无"
"E-AU-012-012","同一主审逆向复核","固定基线5a1ce71e","delivery/taxonomy/permissions/commerce/index/platform从消费者重追","6/11高风险文件第二遍与首轮一致","同一主审54.5%抽检","独立审阅者结论","review-sample","无"
