文件编号,路径,所属模块,文件类型,基线 blob SHA,物理行数,审阅范围,审阅者,审阅日期,审计单元,检查点,风险等级,是否二次复核,详细记录,覆盖清单同步,1 存在理由,2 创建或加载者,3 加载条件,4 导出内容,5 导出消费者,6 输入,7 输出,8 状态读写,9 数据库读写,10 网络调用,11 事件,12 环境变量,13 用户权限依赖,14 运行环境依赖,15 初始化副作用,16 模块加载副作用,17 注册职责,18 测试生产差异,19 资源释放,20 失败恢复,21 对应测试,22 测试可信度,23 对应文档,24 文档准确性,25 兼容职责,26 等价重复实现,27 可否独立删除,28 删除首个失败点,29 最终结论与置信度
FILE-AU-008-001,01_core_hexin/packages/sdk/package.json,@shop/sdk,JSON,8ded7c838cfbe36db39a3948fe2053a4bbfa1c54,35,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-008,CP-08,未发现独立问题,否（若后续升级则重排）,E-AU-008-002/003/004/015,是,实现SDK公共调用、传输、上下文、错误、节点或正式检查/候选制品职责,workspace package/export、应用入口或正式npm/release脚本,对应App、Commerce workload、npm检查或release阶段,人工导出详见exports.csv；CLI/SQL模板无导出时按入口执行,Console/Storefront与SDK tests,Operation/Event定义、RequestContext、HTTP/微信响应、文件或上游配置，按文件适用,请求/响应、冻结对象、生成投影、路由/事件注册、检查或制品身份，按文件适用,主要为局部状态/冻结目录；共享状态见functions.csv,无直接数据库写；业务handler语义不在本AU,无直接网络，或仅在被调用的应用/发布流程中产生,无直接事件或本AU不适用,SDK通过App解析后的base URL/context；正式命令依赖本地node_modules；不记录敏感值,SDK只传上下文，不替代服务端授权；无则不适用,Node 22/浏览器/Web Crypto/wx requester/PostgreSQL/构建制品，按文件适用,无外部初始化写；CLI脚本仅在显式执行时运行,见functions.csv；多数仅声明,无或不适用,正式测试因依赖缺失未加载；已人工评估oracle,无持久资源或由调用者/进程管理,前置拒绝、Abort、事务rollback、脚本退出或旧制品回退；具体FMEA见fmea.csv,SDK 27用例及对应HTTP/Event/Console测试；正式执行环境阻塞,按用例记录；frozen/cancel局部可信，CORS/Wechat/retry存在缺口，正式执行环境阻塞,AU-008 summary、artifact/runtime/communications矩阵及全局01-09报告,以固定基线注册/加载代码为准；runtimegraph旧契约为STALE/CONFLICT,公开SDK/冻结Operation/生成格式或外部消费者兼容未排除,未证明有可安全等价替代；测试mock与生产差异不算替代,否；未满足G3十三项、可观察行为不变和第二次复核,package import、App构建、HTTP注册、事件发布、生成检查、候选制品或契约测试首先失败,[FACT] 人工文件完成本AU范围的全文件深审；问题/UNKNOWN见summary与finding
FILE-AU-008-002,01_core_hexin/packages/sdk/src/ApiClient.test.ts,@shop/sdk,TypeScript测试,18b3f6b9d7616c5adccc68af50e3569e42d92065,98,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-008,CP-08,未发现独立问题,否（若后续升级则重排）,E-AU-008-002/003/004/015,是,实现SDK公共调用、传输、上下文、错误、节点或正式检查/候选制品职责,workspace package/export、应用入口或正式npm/release脚本,对应App、Commerce workload、npm检查或release阶段,人工导出详见exports.csv；CLI/SQL模板无导出时按入口执行,Console/Storefront与SDK tests,Operation/Event定义、RequestContext、HTTP/微信响应、文件或上游配置，按文件适用,请求/响应、冻结对象、生成投影、路由/事件注册、检查或制品身份，按文件适用,主要为局部状态/冻结目录；共享状态见functions.csv,无直接数据库写；业务handler语义不在本AU,测试/mock或下游调用；本文件不直接建立线上连接,无直接事件或本AU不适用,SDK通过App解析后的base URL/context；正式命令依赖本地node_modules；不记录敏感值,SDK只传上下文，不替代服务端授权；无则不适用,Node 22/浏览器/Web Crypto/wx requester/PostgreSQL/构建制品，按文件适用,无外部初始化写；CLI脚本仅在显式执行时运行,见functions.csv；多数仅声明,无或不适用,正式测试因依赖缺失未加载；已人工评估oracle,deadline finally dispose,前置拒绝、Abort、事务rollback、脚本退出或旧制品回退；具体FMEA见fmea.csv,本文件自身为测试；用例见tests.csv,按用例记录；frozen/cancel局部可信，CORS/Wechat/retry存在缺口，正式执行环境阻塞,AU-008 summary、artifact/runtime/communications矩阵及全局01-09报告,以固定基线注册/加载代码为准；runtimegraph旧契约为STALE/CONFLICT,公开SDK/冻结Operation/生成格式或外部消费者兼容未排除,未证明有可安全等价替代；测试mock与生产差异不算替代,否；未满足G3十三项、可观察行为不变和第二次复核,package import、App构建、HTTP注册、事件发布、生成检查、候选制品或契约测试首先失败,[FACT] 人工文件完成本AU范围的全文件深审；问题/UNKNOWN见summary与finding
FILE-AU-008-003,01_core_hexin/packages/sdk/src/ApiClient.ts,@shop/sdk,TypeScript源码,6f6875adf5e4e972573cfbd09ff490965bd57bfb,140,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-008,CP-08,未发现独立问题,否（若后续升级则重排）,E-AU-008-002/003/004/015,是,实现SDK公共调用、传输、上下文、错误、节点或正式检查/候选制品职责,workspace package/export、应用入口或正式npm/release脚本,对应App、Commerce workload、npm检查或release阶段,人工导出详见exports.csv；CLI/SQL模板无导出时按入口执行,Console/Storefront与SDK tests,Operation/Event定义、RequestContext、HTTP/微信响应、文件或上游配置，按文件适用,请求/响应、冻结对象、生成投影、路由/事件注册、检查或制品身份，按文件适用,主要为局部状态/冻结目录；共享状态见functions.csv,无直接数据库写；业务handler语义不在本AU,browser fetch,无直接事件或本AU不适用,SDK通过App解析后的base URL/context；正式命令依赖本地node_modules；不记录敏感值,SDK只传上下文，不替代服务端授权；无则不适用,Node 22/浏览器/Web Crypto/wx requester/PostgreSQL/构建制品，按文件适用,无外部初始化写；CLI脚本仅在显式执行时运行,见functions.csv；多数仅声明,无或不适用,正式测试因依赖缺失未加载；已人工评估oracle,deadline finally dispose,前置拒绝、Abort、事务rollback、脚本退出或旧制品回退；具体FMEA见fmea.csv,SDK 27用例及对应HTTP/Event/Console测试；正式执行环境阻塞,按用例记录；frozen/cancel局部可信，CORS/Wechat/retry存在缺口，正式执行环境阻塞,AU-008 summary、artifact/runtime/communications矩阵及全局01-09报告,以固定基线注册/加载代码为准；runtimegraph旧契约为STALE/CONFLICT,公开SDK/冻结Operation/生成格式或外部消费者兼容未排除,未证明有可安全等价替代；测试mock与生产差异不算替代,否；未满足G3十三项、可观察行为不变和第二次复核,package import、App构建、HTTP注册、事件发布、生成检查、候选制品或契约测试首先失败,[FACT] 人工文件完成本AU范围的全文件深审；问题/UNKNOWN见summary与finding
FILE-AU-008-004,01_core_hexin/packages/sdk/src/BrowserAuthorization.test.ts,@shop/sdk,TypeScript测试,dbc75186c3f862ed9bc26cc408bdfa8a05aa6341,15,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-008,CP-08,未发现独立问题,否（若后续升级则重排）,E-AU-008-002/003/004/015,是,实现SDK公共调用、传输、上下文、错误、节点或正式检查/候选制品职责,workspace package/export、应用入口或正式npm/release脚本,对应App、Commerce workload、npm检查或release阶段,人工导出详见exports.csv；CLI/SQL模板无导出时按入口执行,Console/Storefront与SDK tests,Operation/Event定义、RequestContext、HTTP/微信响应、文件或上游配置，按文件适用,请求/响应、冻结对象、生成投影、路由/事件注册、检查或制品身份，按文件适用,主要为局部状态/冻结目录；共享状态见functions.csv,无直接数据库写；业务handler语义不在本AU,测试/mock或下游调用；本文件不直接建立线上连接,无直接事件或本AU不适用,SDK通过App解析后的base URL/context；正式命令依赖本地node_modules；不记录敏感值,SDK只传上下文，不替代服务端授权；无则不适用,Node 22/浏览器/Web Crypto/wx requester/PostgreSQL/构建制品，按文件适用,无外部初始化写；CLI脚本仅在显式执行时运行,见functions.csv；多数仅声明,无或不适用,正式测试因依赖缺失未加载；已人工评估oracle,无持久资源或由调用者/进程管理,前置拒绝、Abort、事务rollback、脚本退出或旧制品回退；具体FMEA见fmea.csv,本文件自身为测试；用例见tests.csv,按用例记录；frozen/cancel局部可信，CORS/Wechat/retry存在缺口，正式执行环境阻塞,AU-008 summary、artifact/runtime/communications矩阵及全局01-09报告,以固定基线注册/加载代码为准；runtimegraph旧契约为STALE/CONFLICT,公开SDK/冻结Operation/生成格式或外部消费者兼容未排除,未证明有可安全等价替代；测试mock与生产差异不算替代,否；未满足G3十三项、可观察行为不变和第二次复核,package import、App构建、HTTP注册、事件发布、生成检查、候选制品或契约测试首先失败,[FACT] 人工文件完成本AU范围的全文件深审；问题/UNKNOWN见summary与finding
FILE-AU-008-005,01_core_hexin/packages/sdk/src/BrowserAuthorization.ts,@shop/sdk,TypeScript源码,c192fb1be532a45b0447afefc099aaf0905d093f,108,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-008,CP-08,未发现独立问题,否（若后续升级则重排）,E-AU-008-002/003/004/015,是,实现SDK公共调用、传输、上下文、错误、节点或正式检查/候选制品职责,workspace package/export、应用入口或正式npm/release脚本,对应App、Commerce workload、npm检查或release阶段,人工导出详见exports.csv；CLI/SQL模板无导出时按入口执行,Console/Storefront与SDK tests,Operation/Event定义、RequestContext、HTTP/微信响应、文件或上游配置，按文件适用,请求/响应、冻结对象、生成投影、路由/事件注册、检查或制品身份，按文件适用,主要为局部状态/冻结目录；共享状态见functions.csv,无直接数据库写；业务handler语义不在本AU,无直接网络，或仅在被调用的应用/发布流程中产生,无直接事件或本AU不适用,SDK通过App解析后的base URL/context；正式命令依赖本地node_modules；不记录敏感值,SDK只传上下文，不替代服务端授权；无则不适用,Node 22/浏览器/Web Crypto/wx requester/PostgreSQL/构建制品，按文件适用,无外部初始化写；CLI脚本仅在显式执行时运行,见functions.csv；多数仅声明,无或不适用,正式测试因依赖缺失未加载；已人工评估oracle,无持久资源或由调用者/进程管理,前置拒绝、Abort、事务rollback、脚本退出或旧制品回退；具体FMEA见fmea.csv,SDK 27用例及对应HTTP/Event/Console测试；正式执行环境阻塞,按用例记录；frozen/cancel局部可信，CORS/Wechat/retry存在缺口，正式执行环境阻塞,AU-008 summary、artifact/runtime/communications矩阵及全局01-09报告,以固定基线注册/加载代码为准；runtimegraph旧契约为STALE/CONFLICT,公开SDK/冻结Operation/生成格式或外部消费者兼容未排除,未证明有可安全等价替代；测试mock与生产差异不算替代,否；未满足G3十三项、可观察行为不变和第二次复核,package import、App构建、HTTP注册、事件发布、生成检查、候选制品或契约测试首先失败,[FACT] 人工文件完成本AU范围的全文件深审；问题/UNKNOWN见summary与finding
FILE-AU-008-006,01_core_hexin/packages/sdk/src/ClientFactory.ts,@shop/sdk,TypeScript源码,e55d16bb1b4704a42cc0fbeee8061b381b71be5a,17,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-008,CP-08,未发现独立问题,否（若后续升级则重排）,E-AU-008-002/003/004/015,是,实现SDK公共调用、传输、上下文、错误、节点或正式检查/候选制品职责,workspace package/export、应用入口或正式npm/release脚本,对应App、Commerce workload、npm检查或release阶段,人工导出详见exports.csv；CLI/SQL模板无导出时按入口执行,Console/Storefront与SDK tests,Operation/Event定义、RequestContext、HTTP/微信响应、文件或上游配置，按文件适用,请求/响应、冻结对象、生成投影、路由/事件注册、检查或制品身份，按文件适用,主要为局部状态/冻结目录；共享状态见functions.csv,无直接数据库写；业务handler语义不在本AU,无直接网络，或仅在被调用的应用/发布流程中产生,无直接事件或本AU不适用,SDK通过App解析后的base URL/context；正式命令依赖本地node_modules；不记录敏感值,SDK只传上下文，不替代服务端授权；无则不适用,Node 22/浏览器/Web Crypto/wx requester/PostgreSQL/构建制品，按文件适用,无外部初始化写；CLI脚本仅在显式执行时运行,见functions.csv；多数仅声明,无或不适用,正式测试因依赖缺失未加载；已人工评估oracle,无持久资源或由调用者/进程管理,前置拒绝、Abort、事务rollback、脚本退出或旧制品回退；具体FMEA见fmea.csv,SDK 27用例及对应HTTP/Event/Console测试；正式执行环境阻塞,按用例记录；frozen/cancel局部可信，CORS/Wechat/retry存在缺口，正式执行环境阻塞,AU-008 summary、artifact/runtime/communications矩阵及全局01-09报告,以固定基线注册/加载代码为准；runtimegraph旧契约为STALE/CONFLICT,公开SDK/冻结Operation/生成格式或外部消费者兼容未排除,未证明有可安全等价替代；测试mock与生产差异不算替代,否；未满足G3十三项、可观察行为不变和第二次复核,package import、App构建、HTTP注册、事件发布、生成检查、候选制品或契约测试首先失败,[FACT] 人工文件完成本AU范围的全文件深审；问题/UNKNOWN见summary与finding
FILE-AU-008-007,01_core_hexin/packages/sdk/src/CommerceClient.test.ts,@shop/sdk,TypeScript测试,b2e39134f3bfc3306dbcf65d5b6aca173bf10efe,24,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-008,CP-08,未发现独立问题,否（若后续升级则重排）,E-AU-008-002/003/004/015,是,实现SDK公共调用、传输、上下文、错误、节点或正式检查/候选制品职责,workspace package/export、应用入口或正式npm/release脚本,对应App、Commerce workload、npm检查或release阶段,人工导出详见exports.csv；CLI/SQL模板无导出时按入口执行,Console/Storefront与SDK tests,Operation/Event定义、RequestContext、HTTP/微信响应、文件或上游配置，按文件适用,请求/响应、冻结对象、生成投影、路由/事件注册、检查或制品身份，按文件适用,主要为局部状态/冻结目录；共享状态见functions.csv,无直接数据库写；业务handler语义不在本AU,测试/mock或下游调用；本文件不直接建立线上连接,无直接事件或本AU不适用,SDK通过App解析后的base URL/context；正式命令依赖本地node_modules；不记录敏感值,SDK只传上下文，不替代服务端授权；无则不适用,Node 22/浏览器/Web Crypto/wx requester/PostgreSQL/构建制品，按文件适用,无外部初始化写；CLI脚本仅在显式执行时运行,见functions.csv；多数仅声明,无或不适用,正式测试因依赖缺失未加载；已人工评估oracle,无持久资源或由调用者/进程管理,前置拒绝、Abort、事务rollback、脚本退出或旧制品回退；具体FMEA见fmea.csv,本文件自身为测试；用例见tests.csv,按用例记录；frozen/cancel局部可信，CORS/Wechat/retry存在缺口，正式执行环境阻塞,AU-008 summary、artifact/runtime/communications矩阵及全局01-09报告,以固定基线注册/加载代码为准；runtimegraph旧契约为STALE/CONFLICT,公开SDK/冻结Operation/生成格式或外部消费者兼容未排除,未证明有可安全等价替代；测试mock与生产差异不算替代,否；未满足G3十三项、可观察行为不变和第二次复核,package import、App构建、HTTP注册、事件发布、生成检查、候选制品或契约测试首先失败,[FACT] 人工文件完成本AU范围的全文件深审；问题/UNKNOWN见summary与finding
FILE-AU-008-008,01_core_hexin/packages/sdk/src/DomainFactory.test.ts,@shop/sdk,TypeScript测试,9af5c2b4e3cda523cdca8e81ec5c5e314ae413d9,22,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-008,CP-08,未发现独立问题,否（若后续升级则重排）,E-AU-008-002/003/004/015,是,实现SDK公共调用、传输、上下文、错误、节点或正式检查/候选制品职责,workspace package/export、应用入口或正式npm/release脚本,对应App、Commerce workload、npm检查或release阶段,人工导出详见exports.csv；CLI/SQL模板无导出时按入口执行,Console/Storefront与SDK tests,Operation/Event定义、RequestContext、HTTP/微信响应、文件或上游配置，按文件适用,请求/响应、冻结对象、生成投影、路由/事件注册、检查或制品身份，按文件适用,主要为局部状态/冻结目录；共享状态见functions.csv,无直接数据库写；业务handler语义不在本AU,测试/mock或下游调用；本文件不直接建立线上连接,无直接事件或本AU不适用,SDK通过App解析后的base URL/context；正式命令依赖本地node_modules；不记录敏感值,SDK只传上下文，不替代服务端授权；无则不适用,Node 22/浏览器/Web Crypto/wx requester/PostgreSQL/构建制品，按文件适用,无外部初始化写；CLI脚本仅在显式执行时运行,见functions.csv；多数仅声明,无或不适用,正式测试因依赖缺失未加载；已人工评估oracle,无持久资源或由调用者/进程管理,前置拒绝、Abort、事务rollback、脚本退出或旧制品回退；具体FMEA见fmea.csv,本文件自身为测试；用例见tests.csv,按用例记录；frozen/cancel局部可信，CORS/Wechat/retry存在缺口，正式执行环境阻塞,AU-008 summary、artifact/runtime/communications矩阵及全局01-09报告,以固定基线注册/加载代码为准；runtimegraph旧契约为STALE/CONFLICT,公开SDK/冻结Operation/生成格式或外部消费者兼容未排除,未证明有可安全等价替代；测试mock与生产差异不算替代,否；未满足G3十三项、可观察行为不变和第二次复核,package import、App构建、HTTP注册、事件发布、生成检查、候选制品或契约测试首先失败,[FACT] 人工文件完成本AU范围的全文件深审；问题/UNKNOWN见summary与finding
FILE-AU-008-009,01_core_hexin/packages/sdk/src/ErrorCause.ts,@shop/sdk,TypeScript源码,d7838d2fbf3322315b07a7f2aa34b130796e331b,3,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-008,CP-08,未发现独立问题,否（若后续升级则重排）,E-AU-008-002/003/004/015,是,实现SDK公共调用、传输、上下文、错误、节点或正式检查/候选制品职责,workspace package/export、应用入口或正式npm/release脚本,对应App、Commerce workload、npm检查或release阶段,人工导出详见exports.csv；CLI/SQL模板无导出时按入口执行,Console/Storefront与SDK tests,Operation/Event定义、RequestContext、HTTP/微信响应、文件或上游配置，按文件适用,请求/响应、冻结对象、生成投影、路由/事件注册、检查或制品身份，按文件适用,主要为局部状态/冻结目录；共享状态见functions.csv,无直接数据库写；业务handler语义不在本AU,无直接网络，或仅在被调用的应用/发布流程中产生,无直接事件或本AU不适用,SDK通过App解析后的base URL/context；正式命令依赖本地node_modules；不记录敏感值,SDK只传上下文，不替代服务端授权；无则不适用,Node 22/浏览器/Web Crypto/wx requester/PostgreSQL/构建制品，按文件适用,无外部初始化写；CLI脚本仅在显式执行时运行,见functions.csv；多数仅声明,无或不适用,正式测试因依赖缺失未加载；已人工评估oracle,无持久资源或由调用者/进程管理,前置拒绝、Abort、事务rollback、脚本退出或旧制品回退；具体FMEA见fmea.csv,SDK 27用例及对应HTTP/Event/Console测试；正式执行环境阻塞,按用例记录；frozen/cancel局部可信，CORS/Wechat/retry存在缺口，正式执行环境阻塞,AU-008 summary、artifact/runtime/communications矩阵及全局01-09报告,以固定基线注册/加载代码为准；runtimegraph旧契约为STALE/CONFLICT,公开SDK/冻结Operation/生成格式或外部消费者兼容未排除,未证明有可安全等价替代；测试mock与生产差异不算替代,否；未满足G3十三项、可观察行为不变和第二次复核,package import、App构建、HTTP注册、事件发布、生成检查、候选制品或契约测试首先失败,[FACT] 人工文件完成本AU范围的全文件深审；问题/UNKNOWN见summary与finding
FILE-AU-008-010,01_core_hexin/packages/sdk/src/FetchTransport.test.ts,@shop/sdk,TypeScript测试,b248eaf0ef30c28210621e3a83a0968bfa32a099,43,全文件逐行/逐关键分支深入审阅,Codex主审,2026-09-14,AU-008,CP-08,未发现独立问题,否（若后续升级则重排）,E-AU-008-002/003/004/015,是,实现SDK公共调用、传输、上下文、错误、节点或正式检查/候选制品职责,workspace package/export、应用入口或正式npm/release脚本,对应App、Commerce workload、npm检查或release阶段,人工导出详见exports.csv；CLI/SQL模板无导出时按入口执行,Console/Storefront与SDK tests,Operation/Event定义、RequestContext、HTTP/微信响应、文件或上游配置，按文件适用,请求/响应、冻结对象、生成投影、路由/事件注册、检查或制品身份，按文件适用,主要为局部状态/冻结目录；共享状态见functions.csv,无直接数据库写；业务handler语义不在本AU,测试/mock或下游调用；本文件不直接建立线上连接,无直接事件或本AU不适用,SDK通过App解析后的base URL/context；正式命令依赖本地node_modules；不记录敏感值,SDK只传上下文，不替代服务端授权；无则不适用,Node 22/浏览器/Web Crypto/wx requester/PostgreSQL/构建制品，按文件适用,无外部初始化写；CLI脚本仅在显式执行时运行,见functions.csv；多数仅声明,无或不适用,正式测试因依赖缺失未加载；已人工评估oracle,无持久资源或由调用者/进程管理,前置拒绝、Abort、事务rollback、脚本退出或旧制品回退；具体FMEA见fmea.csv,本文件自身为测试；用例见tests.csv,按用例记录；frozen/cancel局部可信，CORS/Wechat/retry存在缺口，正式执行环境阻塞,AU-008 summary、artifact/runtime/communications矩阵及全局01-09报告,以固定基线注册/加载代码为准；runtimegraph旧契约为STALE/CONFLICT,公开SDK/冻结Operation/生成格式或外部消费者兼容未排除,未证明有可安全等价替代；测试mock与生产差异不算替代,否；未满足G3十三项、可观察行为不变和第二次复核,package import、App构建、HTTP注册、事件发布、生成检查、候选制品或契约测试首先失败,[FACT] 人工文件完成本AU范围的全文件深审；问题/UNKNOWN见summary与finding
