"证据编号","证据类型","时间/基线","入口/位置","观察","可证明","不可证明","复现/复核","敏感性"
"E-AU-009-001","Git/范围","固定基线 5a1ce71e","branch/rev-parse/merge-base/status/fetch/reflog","开工位于审计分支CP-08且clean；基线仍为祖先；origin只读观察从6648ddd1经68068c77前进到提交闸门前0c641866；收口远程分支36条","固定基线、主线漂移记录和报告-only边界","线上版本与后续主线内容","核对分支、HEAD、merge-base、remote-tracking reflog、status和staged paths","无"
"E-AU-009-002","逐文件人工审阅","固定基线 5a1ce71e","01_core_hexin/packages/kernel 40文件/983行","40/40文件从入口、实现、分支、错误、资源和测试逐项读完并建立FILE/SYM/FN记录","Kernel固定基线内部行为和公开面","仓外调用者、正式测试结果","按files.csv逐blob核对并从exports/functions交叉","无"
"E-AU-009-003","静态引用+包导出","固定基线 5a1ce71e","package.json、src/index.ts、72源码消费者、5个相关package manifest","54个声明导出；根入口加deadline subpath；66 Commerce、3 Vendor、1 SDK、2 testing源码消费者；package命中含Kernel自身和4个消费者依赖","仓内静态消费和编译制品边界","动态/仓外消费者与线上制品","重跑consumer-matrix生成并核对package exports","无"
"E-AU-009-004","实际源码只读反事实","固定基线 5a1ce71e","CircuitBreaker.ts:15-50；Node 22 transform-types","并发输出afterFailure=open、afterLateSuccess=closed；classifier抛错后state=halfopen且next=CIRCUIT_OPEN","两个状态机缺陷可由实际源码确定复现","生产发生率、当前classifier抛错率","按validation-results中的两个确定性Promise顺序复现","无"
"E-AU-009-005","跨模块调用链","固定基线 5a1ce71e","Executor.ts:23-38；HttpClient.ts:18-20,54-56；WechatChannel.ts:27-39","Executor没有idempotency字段；HttpClient对businesskeywrite transport error可重试；Wechat请求不发送已有request.idempotency","重复外部POST在代码上可达","第一次请求是否已由微信执行、供应商隐式去重","用首调抛transport error/次调成功的fetch fixture复核；不得访问真实供应商","配置字段仅记录名称不记录值"
"E-AU-009-006","结构复算","固定基线 5a1ce71e","35 module.manifest.ts + capability常量","35 manifests、51 unique provides、92 requires、37 requires无provider","当前manifest集合与ModuleCatalog capability协议不闭合","是否计划接入startup","重跑module-manifest-resolution.csv生成并任选manifest人工复查","无"
"E-AU-009-007","实际源码只读反事实","固定基线 5a1ce71e","ModuleCatalog.ts:23-41,44-56,58-126；ModuleManifest.ts:32-34","构造后修改manifest.provides使get看到b而providersFor(b)=0；单manifest重复x会报同一provider两次ambiguity","immutable声明与运行对象/索引不一致","生产影响；当前无生产构造者","Node transform-types执行相同对象mutation和consumer resolve","无"
"E-AU-009-008","实际源码只读反事实","固定基线 5a1ce71e","ValueObject.ts:4-17","不同Date判相等；NaN与Infinity判相等；BigInt/cycle由控制流可见会失败","canonical接受集合与等价关系缺陷","当前字符串PaymentReference受影响","Node transform-types构造最小子类复核","无"
"E-AU-009-009","控制流审阅","固定基线 5a1ce71e","deadline/index.ts:3,12-25,30-64","合法长deadline只排一次MAX_TIMER timer；operation同步抛错发生在finally安装前","提前abort与listener清理缺口","仓外长deadline使用率和实际内存影响","fake timer/同步throw fixture；本AU未因vitest缺失执行","无"
"E-AU-009-010","实际源码接缝反事实","固定基线 5a1ce71e","testing/TestIdGenerator.ts:6-9；kernel/Id.ts:1-10","sequence 18普通base32产生尾字符I，实际Id.parse返回ID_INVALID","testing生成器与Kernel ID字母表冲突","仓外测试是否调用超过17次","按相同算法生成第18项并传实际Id.parse","无"
"E-AU-009-011","测试人工审阅","固定基线 5a1ce71e","3 test files/9 cases及HttpClient/DeliveryChannel接缝测试","现有测试不含Circuit并发/classifier throw、business key存在性、ValueObject、长Deadline、TestId第18项、真实manifest集合","测试覆盖和明确缺口","正式执行结果","逐TC记录核对oracle和生产入口","无"
"E-AU-009-012","确定性抽检","固定基线 5a1ce71e","SHA-256 AU-009-sample + path，前5项","ValueObject、Entity、Aggregate、gate index、GateDeclaration从消费者反向重追后结论一致","同一主审的漏项自检结果","第二位独立复核","重算hash并按review-sample.csv重追","无"
"E-AU-009-013","Git历史","固定基线以前","dd3eda9c/fe3269c8/6931a130/6b6af023/bae17625","Gate明确以空壳引入；manifests后续扩展但无ModuleCatalog startup；notification引入businesskeywrite消费","设计演变线索","当前行为与产品意图","git show/log并以当前源码最终裁决","无"
"E-AU-009-014","静态引用+公共契约+测试","固定基线 5a1ce71e","dead-code-symbols.csv、package exports、历史","ModuleCatalog及一组公共原语无仓内生产caller，但仍经private workspace包公开，部分有测试/唯一语义","只能列G1，不能列G3","仓外消费者和正式下线决定","静态引用、package出口、历史三向重查；升级前需第二审","无"
"E-AU-009-015","真实消费/权限边界","固定基线 5a1ce71e","gate types；Commerce GateEngine/GateRegistry/WebBusiness runtime","GateMode只有disabled/observe，Engine按该契约观察并吞观察器错误；授权另由AccessPipeline处理","Gate不是授权器，observe-only是当前明确边界","未来是否扩展mode","从Operation declaration到HttpApp/GateEngine重追","无"
"E-AU-009-016","错误目录对账","固定基线 5a1ce71e","Retry.ts:24；contract definitions/errors.yml","fallback RETRY_FAILED在源码出现但目录无条目；RETRY_EXHAUSTED存在","F-0037另一个当前源码漏扫实例","该分支能否到达ErrorMapper/线上频率","精确查字面量与errors.yml；随错误专项复核","无"
"E-AU-009-017","正式定向命令","2026-09-14","@shop/kernel package scripts","test退出127缺vitest；typecheck退出127缺tsc；两者都未加载业务代码","本地验证环境阻塞","实现通过或失败","在依赖完整且锁文件一致环境重跑；本AU不安装","无"
