"evidence_id","kind","location","fact","supports"
"E-AU-031-001","覆盖","jdproduct目录","9文件79行逐文件阅读","覆盖"
"E-AU-031-002","生产入口","ProviderFactories.ts:15","`JdproductProvider`已纳入Commerce正式provider factory链","架构"
"E-AU-031-003","caller固定","ChannelSyncJob.ts:113-126","Channel库存/价格/对账通过`Inventory/Price/Statement`请求到`stock/prices/statement`","F-0126"
"E-AU-031-004","caller固定","FulfillmentJobs.ts:39-67","Fulfillment履约与tracking使用`Order/order`和`Logistics/tracking`","F-0126"
"E-AU-031-005","Provider能力","manifest.ts:12","capabilities列包含Catalog/Price/Inventory/Order/Cancel/Return/Logistics/Refund/Statement/Webhook","F-0125"
"E-AU-031-006","Provider实现","Provider.ts:6","operations列不含`return`port，`Return`能力无对应映射","F-0125"
"E-AU-031-007","注册语义","ExtensionRegistry.ts:76-82","capability与port各自独立检查，未做权威能力映射","F-0125"
"E-AU-031-008","测试","tests/Provider.test.ts","只核required ID与签名；无factory/ports/调用矩阵","F-0126"
"E-AU-031-009","死码检索","全仓rg","`mapJdproductError`仅在本文件声明未见调用","DC-0039"
"E-AU-031-010","验证","npm test/typecheck脚本","多工作区报`vitest/tsc`未安装，命令退出127","限制"
