"对象编号","对象","仓内生产静态消费者","动态/注册/构建检查","公共/测试/兼容责任","分类","不能升级G3的原因","再次复核入口"
"DC-0010","ModuleCatalog/ModuleSelection/ResolvedModulePlan","0；只有ModuleCatalog.test","无dynamic import、startup registration或release直接加载；需求文档仍提旧Commerce ModuleCatalog.test路径","经@shop/kernel root公开；保存唯一capability resolver及4个测试规格","G1","公共导出、测试规格、未来composition意图和第二次复核未排除；当前协议失配是F-0049而非删除依据","authz/composition审计后查仓外消费者与架构定稿"
"DC-0011-A","Email","0","无框架发现/注册/脚本调用","经root公开；值校验语义唯一但无测试","G1","外部消费者、兼容周期、等价替代、可观察行为和第二审均未知","SDK/外部包消费者清单"
"DC-0011-B","Hash","0","无框架发现/注册/脚本调用","经root公开；摘要格式语义唯一","G1","同上","对象存储/发布hash专项"
"DC-0011-C","Mobile","0（同词页面命中不是该class）","无框架发现/注册/脚本调用","经root公开；手机号值校验语义唯一","G1","同上","identity/member业务链"
"DC-0011-D","Page/page","0（普通page变量命中已排除）","无框架发现/注册/脚本调用","经root公开；分页结果类型可能为外部契约","G1","同上","API分页专项"
"DC-0011-E","Result/success/failure","0（其它包同名符号已排除）","无框架发现/注册/脚本调用","经root公开；discriminated union兼容面","G1","同上","应用错误模型专项"
"DC-0011-F","Version","0（普通Version类型命中已排除）","无框架发现/注册/脚本调用","经root公开；版本值语义唯一","G1","同上","contract/version专项"
"DC-0011-G","Specification/AndSpecification/OrSpecification","只有Commerce foundation兼容re-export，后续生产caller为0","无动态注册；compat barrel存在","经root与Commerce foundation两层公开","G1","兼容转发本身是静态消费者；外部调用、正式下线和替代未确认","各领域Policy/Specification专项"
"BOUNDARY-001","Aggregate pending event API","Reservation继承但未record event","无框架注册","root + Commerce foundation公开；保存聚合事件契约","非候选","真实子类与公共契约仍存在；零record不能推出无职责","inventory/domain event专项"
"BOUNDARY-002","Gate types","GateEngine/GateRegistry/HttpApp真实消费","Operation动态注册链存在","统一observe契约","G0/非候选","明确运行职责","authz与gate专项"
