permission编号,code,category,risk,stepup,scopes,定义行,Operation数量,Operations,methods,audiences,owners,目录唯一,Operation引用状态,审计结论
PERM-AU-010-001,runtime.health.read,runtime,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,12,1,runtime.health.dependency,GET,operator,runtime,是,已使用,目录与Operation引用闭合
PERM-AU-010-002,identity.session.read,identity,low,false,self,13,3,identity.loginintents.create|identity.session.read|identity.sessions.read,POST|GET,member,identity,是,已使用,非GET绑定.read；业务意图留待对应模块
PERM-AU-010-003,identity.session.manage,identity,elevated,false,self,14,2,identity.session.delete|identity.sessions.revoke,DELETE,member,identity,是,已使用,目录与Operation引用闭合
PERM-AU-010-004,identity.credential.manage,identity,critical,true,self,15,2,identity.password.change|identity.wechat.bind,PUT|POST,member,identity,是,已使用,目录与Operation引用闭合
PERM-AU-010-005,identity.mobile.manage,identity,high,false,self,16,2,identity.mobile.manage|identity.mobile.challenge,PUT|POST,member,identity,是,已使用,目录与Operation引用闭合
PERM-AU-010-006,identity.assurance.manage,identity,elevated,false,self,17,3,identity.password.verify|identity.stepup.start|identity.stepup.complete,POST,member,identity,是,已使用,目录与Operation引用闭合
PERM-AU-010-007,identity.invitation.manage,identity,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,18,3,identity.invitations.create|identity.invitations.revoke|member.invitations.read,POST|DELETE|GET,operator,identity|member,是,已使用,目录与Operation引用闭合
PERM-AU-010-008,identity.registration.reset,identity,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,19,1,identity.members.reset,PUT,operator,identity,是,已使用,目录与Operation引用闭合
PERM-AU-010-009,organization.layer.read,organization,low,false,platform|distributor|tenant|enterprise|mall|department,20,2,organization.layers.read|provisioning.malls.read,GET,operator,organization|provisioning,是,已使用,目录与Operation引用闭合
PERM-AU-010-010,organization.layer.manage,organization,critical,true,platform,21,1,provisioning.malls.create,POST,operator,provisioning,是,已使用,目录与Operation引用闭合
PERM-AU-010-011,access.center.read,access,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,22,1,access.center.read,GET,operator,access,是,已使用,目录与Operation引用闭合
PERM-AU-010-012,access.role.manage,access,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,23,1,access.roles.manage,PUT,operator,access,是,已使用,目录与Operation引用闭合
PERM-AU-010-013,access.scope.manage,access,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,24,2,access.scopes.manage|access.administrators.scopes.manage,PUT,operator,access,是,已使用,目录与Operation引用闭合
PERM-AU-010-014,access.ownership.read,access,high,false,self,25,1,access.ownership.read,GET,operator,access,是,已使用,目录与Operation引用闭合
PERM-AU-010-015,access.ownership.transfer,access,critical,true,self,26,4,access.ownership.transfers.preview|access.ownership.transfers.create|access.ownership.transfers.cancel|access.ownership.transfers.cancel.preview,POST,operator,access,是,已使用,目录与Operation引用闭合
PERM-AU-010-016,access.ownership.accept,access,critical,true,self,27,2,access.ownership.transfers.accept.preview|access.ownership.transfers.accept,POST,operator,access,是,已使用,目录与Operation引用闭合
PERM-AU-010-017,capability.assignment.read,capability,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,28,1,capability.assignments.read,GET,operator,capability,是,已使用,目录与Operation引用闭合
PERM-AU-010-018,capability.assignment.manage,capability,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,29,1,capability.assignments.manage,PUT,operator,capability,是,已使用,目录与Operation引用闭合
PERM-AU-010-019,approval.read,approval,low,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,30,4,approval.templates.get|approval.templates.list|approval.tasks.list|approval.instances.get,GET,operator,approval,是,已使用,目录与Operation引用闭合
PERM-AU-010-020,approval.template.manage,approval,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,31,4,approval.templates.create|approval.templates.revise|approval.templates.enable|approval.templates.disable,POST,operator,approval,是,已使用,目录与Operation引用闭合
PERM-AU-010-021,approval.task.decide,approval,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,32,2,approval.tasks.approve|approval.tasks.reject,POST,operator,approval,是,已使用,目录与Operation引用闭合
PERM-AU-010-022,partner.read,partner,low,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,33,5,partner.partners.read|organization.stores.read|partner.customers.get|partner.customers.list|partner.customeroptions.list,GET,operator,partner,是,已使用,目录与Operation引用闭合
PERM-AU-010-023,partner.manage,partner,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,34,6,partner.partners.manage|organization.stores.manage|partner.customers.create|partner.customers.update|partner.customers.enable|partner.customers.disable,PUT|POST|PATCH,operator,partner,是,已使用,目录与Operation引用闭合
PERM-AU-010-024,member.read,member,elevated,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,35,11,access.administrators.members.read|access.administrators.member.read|member.members.read|member.storefront.members.read|member.storefront.detail.read|member.storefront.invitees.read|member.storefront.orders.read|member.storefront.config.read|member.storefront.config.manage|member.storefront.custom.read|member.storefront.custom.manage,GET|PUT,operator,access|member,是,已使用,关联F-0036：写Operation绑定member.read
PERM-AU-010-025,member.manage,member,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,36,2,identity.members.manage|access.administrators.members.note,PUT|POST,operator,identity|access,是,已使用,目录与Operation引用闭合
PERM-AU-010-026,member.import,member,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,37,2,member.imports.create|member.imports.read,POST|GET,operator,member,是,已使用,目录与Operation引用闭合
PERM-AU-010-027,member.profile.read,member,low,false,owner,38,3,member.profile.read|member.malls.open|member.sovereignty.upgrade,GET|POST,member,member,是,已使用,非GET绑定.read；业务意图留待对应模块
PERM-AU-010-028,member.address.read,member,low,false,owner,39,1,member.addresses.read,GET,member,member,是,已使用,目录与Operation引用闭合
PERM-AU-010-029,member.address.manage,member,high,false,owner,40,1,member.addresses.manage,PUT,member,member,是,已使用,目录与Operation引用闭合
PERM-AU-010-030,qualification.read,qualification,low,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,41,1,qualification.center.read,GET,operator,qualification,是,已使用,目录与Operation引用闭合
PERM-AU-010-031,qualification.preview,qualification,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,42,1,qualification.decisions.preview,POST,operator,qualification,是,已使用,目录与Operation引用闭合
PERM-AU-010-032,qualification.manage,qualification,critical,true,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,43,1,qualification.policies.manage,PUT,operator,qualification,是,已使用,目录与Operation引用闭合
PERM-AU-010-033,channel.distributor.read,channel,low,false,platform|distributor|tenant|enterprise|mall|department,44,1,channel.distributors.read,GET,operator,channel,是,已使用,目录与Operation引用闭合
PERM-AU-010-034,channel.distributor.manage,channel,critical,true,platform,45,3,channel.distributors.create|channel.distributors.update|channel.distributors.disable,POST|PATCH|DELETE,operator,channel,是,已使用,目录与Operation引用闭合
PERM-AU-010-035,channel.binding.manage,channel,critical,true,platform|distributor|tenant|enterprise|mall|department,46,1,channel.bindings.manage,PUT,operator,channel,是,已使用,目录与Operation引用闭合
PERM-AU-010-036,channel.quota.manage,channel,critical,true,platform|distributor|tenant|enterprise|mall|department,47,1,channel.quotas.manage,PUT,operator,channel,是,已使用,目录与Operation引用闭合
PERM-AU-010-037,channel.connection.manage,channel,critical,true,platform|distributor|tenant|enterprise|mall|department,48,5,channel.connections.create|channel.connections.update|channel.connections.test|channel.connections.enable|channel.connections.disable,POST|PATCH|PUT|DELETE,operator,channel,是,已使用,目录与Operation引用闭合
PERM-AU-010-038,channel.connection.read,channel,high,false,platform|distributor|tenant|enterprise|mall|department,49,1,channel.connections.read,GET,operator,channel,是,已使用,目录与Operation引用闭合
PERM-AU-010-039,channel.sync.read,channel,low,false,platform|distributor|tenant|enterprise|mall|department,50,1,channel.syncruns.read,GET,operator,channel,是,已使用,目录与Operation引用闭合
PERM-AU-010-040,channel.sync.manage,channel,high,false,platform|distributor|tenant|enterprise|mall|department,51,2,channel.syncruns.start|channel.syncruns.cancel,POST|DELETE,operator,channel,是,已使用,目录与Operation引用闭合
PERM-AU-010-041,channel.operation.read,channel,high,false,platform|distributor|tenant|enterprise|mall|department,52,1,channel.operations.read,GET,operator,channel,是,已使用,目录与Operation引用闭合
PERM-AU-010-042,channel.operation.replay,channel,critical,true,platform|distributor|tenant|enterprise|mall|department,53,1,channel.operations.replay,POST,operator,channel,是,已使用,目录与Operation引用闭合
PERM-AU-010-043,catalog.pool.read,catalog,low,false,platform|distributor|tenant|enterprise|mall|department,54,1,catalog.pools.read,GET,operator,catalog,是,已使用,目录与Operation引用闭合
PERM-AU-010-044,catalog.pool.manage,catalog,high,false,platform|distributor|tenant|enterprise|mall|department,55,2,catalog.pools.attach|catalog.pools.detach,PUT|DELETE,operator,catalog,是,已使用,目录与Operation引用闭合
PERM-AU-010-045,catalog.pool.allocate,catalog,critical,true,platform|distributor|tenant|enterprise|mall|department,56,1,catalog.pools.allocate,POST,operator,catalog,是,已使用,目录与Operation引用闭合
PERM-AU-010-046,catalog.product.manage,catalog,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,57,3,catalog.products.create|catalog.products.update|catalog.products.archive,POST|PATCH|DELETE,operator,catalog,是,已使用,目录与Operation引用闭合
PERM-AU-010-047,catalog.listing.read,catalog,low,false,platform|distributor|tenant|enterprise|mall|department|supplier|brand|store|owner|self,58,1,catalog.listings.read,GET,member,catalog,是,已使用,目录与Operation引用闭合
PERM-AU-010-048,catalog.listing.manage,catalog,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,59,3,catalog.listings.publish|catalog.listings.unpublish|catalog.listings.batch,PUT|DELETE|POST,operator,catalog,是,已使用,目录与Operation引用闭合
PERM-AU-010-049,catalog.import.manage,catalog,high,false,platform|distributor|tenant|enterprise|mall|department|store|supplier|brand,60,1,catalog.imports.create,POST,operator,catalog,是,已使用,目录与Operation引用闭合
