"file_id","path","lines","status","finding"
"FILE-AU-026-001","01_core_hexin/extensions/providers/flower/ErrorMap.ts","6","深入","DC-0033"
"FILE-AU-026-002","01_core_hexin/extensions/providers/flower/FlowerClient.ts","171","深入","F-0108/F-0109"
"FILE-AU-026-003","01_core_hexin/extensions/providers/flower/Mapper.ts","284","深入","F-0110"
"FILE-AU-026-004","01_core_hexin/extensions/providers/flower/Provider.ts","32","深入","三只读port"
"FILE-AU-026-005","01_core_hexin/extensions/providers/flower/Webhook.ts","1","深入","DC-0026既有"
"FILE-AU-026-006","01_core_hexin/extensions/providers/flower/index.ts","6","深入","公共导出边界"
"FILE-AU-026-007","01_core_hexin/extensions/providers/flower/manifest.ts","23","深入","Catalog/Price/Inventory"
"FILE-AU-026-008","01_core_hexin/extensions/providers/flower/package.json","11","深入","正式脚本"
"FILE-AU-026-009","01_core_hexin/extensions/providers/flower/tests/Provider.test.ts","13","深入","F-0111"
"FILE-AU-026-010","01_core_hexin/extensions/providers/flower/tsconfig.json","1","深入","根配置"
