"通信编号","上游","下游","方式","契约/载荷","同步/异步","超时","重试/幂等","失败传播","证据","状态"
"COM-AU-008-001","operations.yml","35 SDK operation files","构建时静态生成","OperationDescriptor + typed input/output","同步CLI","无内部deadline","--check逐字比较","漂移使生成检查失败","E-AU-008-003","[FACT]"
"COM-AU-008-002","Console/Storefront named factory","ApiClient","进程内函数绑定","OperationDescriptor/input/RequestContext","同步调用返回Promise","ApiClient总deadline","idempotent或带幂等键最多由RetryPolicy控制","前置拒绝或Transport/API错误上抛","E-AU-008-002/004","[FACT]"
"COM-AU-008-003","ApiClient","browser fetch","HTTPS fetch","JSON body + scope/access/idempotency/version/proof/csrf headers","异步","统一total deadline + AbortSignal","同一request按策略重试","network/HTTP/JSON错误上抛","E-AU-008-002/005","[FACT]"
"COM-AU-008-004","Console proof-bearing command","HttpApp preflight","浏览器CORS OPTIONS","Access-Control-Request-Headers: x-action-proof","同步预检","浏览器管理","真实请求未发出，无业务幂等执行","生产allowlist缺头导致浏览器阻断","E-AU-008-005/006","[FACT] F-0044"
"COM-AU-008-005","OperationCatalog runtime definitions","Controller→RouteRegistry→Handler","进程内注册/HTTP dispatch","271 runtime Operation","同步请求/异步handler","HttpApp deadline传signal","写请求进入下游幂等/事务","缺handler、重复route、缺required header均拒绝","E-AU-008-010","[FACT]"
"COM-AU-008-006","events.yml/generated registry","RuntimeEventPublisher","进程内Map lookup","event_type/version→handler kinds","异步","无本函数显式deadline","inbox去重；单事务排队","unknown/version错误在连接前抛；DB失败rollback","E-AU-008-011","[FACT]"
"COM-AU-008-007","RuntimeEventPublisher","PostgreSQL runtime.inbox/job","SQL transaction","event envelope + handler kind","异步","依赖DB层","accept_inbox去重","rollback并release；上游relay恢复留AU-005","E-AU-008-011","[FACT]"
"COM-AU-008-008","openapi.json + events.json","release candidate/release","文件读取与哈希传播","contractHash","构建时","无","candidate整体再由stage hash绑定","文件缺失/身份不符使脚本退出","E-AU-008-013","[FACT]"
"COM-AU-008-009","SDK/Web、Controller/Commerce、Miniapp目录","release candidate","构建产物复制/目录或文件hash","client sha256、Commerce OCI sha256","构建时","无","输出目录必须不存在，写入无覆盖","缺制品使candidate退出","E-AU-008-013","[FACT]"
"COM-AU-008-010","ContractGenerator","database current.sql","构建时文件生成","runtime目录/SQL functions/checksum","同步CLI","无","--check比较","当前无后续migration/release加载者","E-AU-008-012","[FACT] snapshot only"
"COM-AU-008-011","build-miniapp-contract","Miniapp domain JS","构建/检查","DeepLink/Experience constants+parser","同步CLI","无","--check逐字比较","依赖缺失或漂移抛错","E-AU-008-014","[FACT] 当前运行caller为0"
"COM-AU-008-012","runtimegraph","audit:architecture/quality script","CLI静态读取","required file/token assertions","同步CLI","无","无","旧token缺失或Miniapp文件缺失使门禁红；缺文件在report前抛","E-AU-008-007/008","[CONFLICT] F-0045"
"COM-AU-008-013","WechatTransport","微信requester callback","adapter callback→Promise","status/header/data unknown→TransportResponse","异步","上游ApiClient deadline signal","上游可能重试","undefined破坏body契约；序列化抛错可悬空","E-AU-008-009","[FACT/UNKNOWN] F-0046；生产caller未知"
