"路径","所属模块","文件类型","审阅状态","审阅日期","审计检查点","主要入口或调用者","风险等级","结论","是否需要二次复核"
"02_platform_pingtai/database/supabase/tests/sfl_administrator_segment_scope_bootstrap.sql","数据/SFL 节点生命周期","数据库测试夹具","已结构性审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL administrator scope contract runner","高","G0：管理员分段权限固定夹具；保留为业务规格输入","否"
"02_platform_pingtai/database/supabase/tests/sfl_administrator_segment_scope_contract.sql","数据/SFL 节点生命周期","数据库合同测试","已深入审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL administrator scope contract runner","高","G0：operator/realm/organization 隔离、授权/替换/幂等与无半完成状态断言","否"
"02_platform_pingtai/database/supabase/tests/sfl_company_template_clone_bootstrap.sql","数据/SFL 节点生命周期","数据库测试夹具","已结构性审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL company clone contract runner","高","G0：公司克隆固定夹具；保留为业务规格输入","否"
"02_platform_pingtai/database/supabase/tests/sfl_company_template_clone_contract.sql","数据/SFL 节点生命周期","数据库合同测试","已深入审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL company clone contract runner","高","G0：clone/replay/源数据不变/运行 outbox 断言","否"
"02_platform_pingtai/database/supabase/tests/sfl_execution_contract_kernel_bootstrap.sql","数据/SFL 节点生命周期","数据库测试夹具","已结构性审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL execution kernel contract runner","高","G0：运行内核固定夹具；保留为业务规格输入","否"
"02_platform_pingtai/database/supabase/tests/sfl_execution_contract_kernel_contract.sql","数据/SFL 节点生命周期","数据库合同测试","已深入审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL execution kernel contract runner","高","G0：idempotency/outbox 字段、约束、角色授权与故障回滚断言","否"
"02_platform_pingtai/database/supabase/tests/sfl_hosted_mall_opening_bootstrap.sql","数据/SFL 节点生命周期","数据库测试夹具","已结构性审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL hosted mall opening contract runner","高","G0：托管商城开通固定夹具；保留为业务规格输入","否"
"02_platform_pingtai/database/supabase/tests/sfl_hosted_mall_opening_contract.sql","数据/SFL 节点生命周期","数据库合同测试","已结构性审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL hosted mall opening contract runner","高","G0：开通成功/失败状态与回退契约断言","否"
"02_platform_pingtai/database/supabase/tests/sfl_hosted_node_provisioning_bootstrap.sql","数据/SFL 节点生命周期","数据库测试夹具","已结构性审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL hosted node provisioning contract runner","高","G0：托管节点固定夹具；保留为业务规格输入","否"
"02_platform_pingtai/database/supabase/tests/sfl_hosted_node_provisioning_contract.sql","数据/SFL 节点生命周期","数据库合同测试","已深入审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL hosted node provisioning contract runner","高","G0：L1/L5-L11 profile、relation、幂等与根节点不变断言；rollback","否"
"02_platform_pingtai/database/supabase/tests/sfl_member_registration_progression_bootstrap.sql","数据/SFL 节点生命周期","数据库测试夹具","已结构性审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL member registration contract runner","高","G0：成员注册固定夹具；保留为业务规格输入","否"
"02_platform_pingtai/database/supabase/tests/sfl_member_registration_progression_contract.sql","数据/SFL 节点生命周期","数据库合同测试","已结构性审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL member registration contract runner","高","G0：注册阶段推进、非法状态与事务隔离断言；rollback","否"
"02_platform_pingtai/database/supabase/tests/sfl_multi_realm_membership_bootstrap.sql","数据/SFL 节点生命周期","数据库测试夹具","已结构性审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL multi-realm membership contract runner","高","G0：multi-realm 固定夹具；保留为业务规格输入","否"
"02_platform_pingtai/database/supabase/tests/sfl_multi_realm_membership_contract.sql","数据/SFL 节点生命周期","数据库合同测试","已结构性审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL multi-realm membership contract runner","高","G0：realm membership 隔离、失败重试与事务隔离断言；rollback","否"
"02_platform_pingtai/database/supabase/tests/sfl_node_context_scope_contract.sql","数据/SFL 节点生命周期","数据库合同测试","已结构性审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL node context scope contract runner","高","G0：node context scope 与关系历史断言；rollback","否"
"02_platform_pingtai/database/supabase/tests/sfl_node_sovereignty_contract.sql","数据/SFL 节点生命周期","数据库合同测试","已深入审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL node sovereignty contract runner","高","G0：主权层级、L0/L5-L12 边界与关系版本断言；rollback","否"
"02_platform_pingtai/database/supabase/tests/sfl_sovereign_upgrade_contract.sql","数据/SFL 节点生命周期","数据库合同测试","已深入审阅","2026-09-15","AU-725 SFL node lifecycle contract tests","SFL sovereign upgrade contract runner","高","G0：开通、升级、故障注入、并发、rollback 与恢复契约断言","否"
"02_platform_pingtai/database/supabase/tests/atomic_checkout_inventory_contract.sql","数据/inventory","数据库合同测试","已深入审阅","2026-09-15","AU-724 inventory contract test suite","checkout/inventory contract runner","高","G0：checkout authorization/phone/evidence/atomic inventory assertions；rollback","否"
