"file_id","path","lines","status","finding"
"FILE-AU-027-001","01_core_hexin/extensions/providers/meal/BrandCatalog.ts","35","深入","F-0112/F-0114/DC-0035"
"FILE-AU-027-002","01_core_hexin/extensions/providers/meal/ErrorMap.ts","6","深入","DC-0035"
"FILE-AU-027-003","01_core_hexin/extensions/providers/meal/Mapper.ts","183","深入","F-0115；严格映射"
"FILE-AU-027-004","01_core_hexin/extensions/providers/meal/OrderDraft.ts","61","深入","DC-0034/GX"
"FILE-AU-027-005","01_core_hexin/extensions/providers/meal/Provider.ts","104","深入","F-0112/F-0113/F-0114"
"FILE-AU-027-006","01_core_hexin/extensions/providers/meal/Webhook.ts","5","深入","DC-0026既有"
"FILE-AU-027-007","01_core_hexin/extensions/providers/meal/index.ts","5","深入","禁用Order/Webhook"
"FILE-AU-027-008","01_core_hexin/extensions/providers/meal/manifest.ts","23","深入","Catalog/Price"
"FILE-AU-027-009","01_core_hexin/extensions/providers/meal/package.json","11","深入","F-0114"
"FILE-AU-027-010","01_core_hexin/extensions/providers/meal/tests/Ports.test.ts","58","深入","F-0115/DC-0034规格"
"FILE-AU-027-011","01_core_hexin/extensions/providers/meal/tests/Provider.test.ts","15","深入","F-0115"
"FILE-AU-027-012","01_core_hexin/extensions/providers/meal/tsconfig.json","1","深入","根配置"
