"符号编号","文件编号","1 符号名称","2 声明位置","3 直接消费者","4 间接消费者","5 重新导出","6 动态访问","7 仅测试使用","8 公共契约","9 运行时副作用","10 可见范围","11 兼容导出","12 删除或改名影响"
"SYM-00419-001","FILE-00419","ConsoleModuleRegistryIssueCode","ConsoleModuleRegistry.ts:18","ConsoleModuleRegistryIssue","registry tests","未发现","无","否","Console route catalog 内部类型契约","无","Console workspace","当前","类型检查首先失败；恢复文件/导出并重建"
"SYM-00419-002","FILE-00419","ConsoleModuleRegistryIssue","ConsoleModuleRegistry.ts:24","consoleModuleRegistryIssues 与 tests","defineConsoleModuleRegistry","未发现","无","否","校验结果结构","无","Console workspace","当前","registry tests/实现编译失败"
"SYM-00419-003","FILE-00419","ConsoleModuleRegistry","ConsoleModuleRegistry.ts:30","defineConsoleModuleRegistry","consoleModuleRegistry/consumers","未发现","无","否","模块数组与 ID map 结构","无","Console workspace","当前","Console registry 类型链失败"
"SYM-00419-004","FILE-00419","consoleModuleRegistryIssues","ConsoleModuleRegistry.ts:35","defineConsoleModuleRegistry；direct tests","Console 启动 registry","未发现","无","否","模块目录不变量检查","无","Console workspace","当前","重复/entry校验消失；验证 tests后恢复"
"SYM-00419-005","FILE-00419","defineConsoleModuleRegistry","ConsoleModuleRegistry.ts:70","顶层 consoleModuleRegistry；tests","所有 Console module consumers","未发现","无","否","注册表构造函数","构造 Map；错误时抛错","Console workspace","当前","模块加载和 tests 失败"
"SYM-00419-006","FILE-00419","consoleModuleRegistry","ConsoleModuleRegistry.ts:84","同文件 consoleModules/moduleById","Router/Shell/navigation","未发现","模块加载即构造","否","生产 Console 模块总目录","加载时校验 15 manifests","Console workspace","当前","Console app 路由初始化失败"
"SYM-00419-007","FILE-00419","consoleModules","ConsoleModuleRegistry.ts:101","ConsoleRouter、SessionLoader、preload、profile、tests","所有页面导航","未发现","无","否","生产模块顺序与 route catalog","无","Console workspace","当前","路由/导航/预载入首先编译失败"
"SYM-00419-008","FILE-00419","consoleModuleById","ConsoleModuleRegistry.ts:102","ScopeShell、route tests","route handle 解析","未发现","无","否","按模块 ID 查 manifest","无","Console workspace","当前","ScopeShell 与 route tests 失败"
"SYM-00419-009","FILE-00419","selectConsoleModuleByEntryPath","ConsoleModuleRegistry.ts:104","ScopeShell","入口 path 到模块选择","未发现","无","否","深链/导航选择辅助契约","无","Console workspace","当前","ScopeShell entry 选择失败"
"SYM-00421-001","FILE-00421","ResolvedConsoleRoutePresentation","ConsoleModuleRoutes.tsx:13","resolveConsoleRoutePresentation、ScopeShell","页面标题/摘要","未发现","无","否","路由呈现结构","无","Console workspace","当前","ScopeShell 类型链失败"
