"状态编号","对象","当前状态","允许操作/条件","下一状态","拒绝条件","数据写入","事件","失败结果","重试结果","并发冲突结果","回滚/恢复","证据"
"STATE-AU-010-001","完整decision","start","membership active","version","inactive","无","无","MEMBERSHIP_INACTIVE","重新解析membership","纯函数无共享写","下一请求","Policy.ts:25-27；INV-AU-010-001"
"STATE-AU-010-002","完整decision","version","accessVersion严格相等","deny","不同","无","无","ACCESS_VERSION_STALE","重新登录/刷新session","三次DB读取间有竞态窗口","access version刷新","Policy.ts:28-30；AccessPipeline.ts:64-72"
"STATE-AU-010-003","完整decision","deny","permission不在denies","permission","在denies","无","无","EXPLICIT_DENY","配置改变后下一请求","snapshot内确定","撤销deny并递增version","Policy.ts:31-35；INV-AU-010-002"
"STATE-AU-010-004","完整decision","permission","known且有有效grant","scope","unknown/无grant","无","无","throw PERMISSION_UNKNOWN或PERMISSION_MISSING","修正目录/角色后重试","目录scopes可变但Map私有","进程重启/角色更新","Policy.ts:32-39；PermissionCatalog.ts:198-205"
"STATE-AU-010-005","完整decision","scope","kind允许且contains","assurance","kind/contains失败","无","无","SCOPE_KIND_DENIED/SCOPE_DENIED","更换合法scope","异常输入可能错误allow","修正scope数据/代码","Policy.ts:42-44,59-65；E-AU-010-010"
"STATE-AU-010-006","完整decision","assurance","非critical或fresh stepup","allowed","critical缺/旧/未来","无","无","STEPUP_REQUIRED","完成step-up后重试","同一now确定","新assurance session","Policy.ts:46-50,67-71；INV-AU-010-008"
"STATE-AU-010-007","AccessPipeline","authz allowed","capability+resource ready+stepup level+risk/proof通过","audit allow","任一失败","decision audit独立写","无领域事件","DomainError/原Error","请求层决定","version/risk外部竞态","下一请求重新判定","AccessPipeline.ts:52-116；E-AU-010-006"
"STATE-AU-010-008","AccessPipeline","audit allow","decision sink成功","handler","sink失败","decisionaudit事务回滚","无","handler不进入；原错误可能被遮蔽","无内建重试","无共享内存写","DB恢复后重试","AccessPipeline.ts:118-126；COM-AU-010-009"
"STATE-AU-010-009","custom role","draft permissions","任意string[]","rolepermission rows","非数组拒绝；未知code静默不插入","role/rolepermission","无","部分code可被忽略","幂等事务由ModuleOperations","角色版本锁","回退事务/角色版本","AccessOperations.ts:22-64；F-0053"
"STATE-AU-010-010","role assignment","role resolved","scope relation+二级checkScope","membershiprole/scopegrant","Owner built-in或scope失败","membershiprole/scopegrant/access_version","无","错误抛出事务回滚","idempotency replay","行锁+expected version","事务回滚","AccessOperations.ts:185-305；F-0053/F-0054"
