"target","类型","制品/构建职责","迁移顺序","L0 激活终点/服务","L1 激活终点/服务","失败传播","证据"
"catalog-media","content","Catalog public media 内容层","无","/opt/ai-delivery/content/zdt-next/zhudatuan-l0/catalog-media；无重启","/opt/ai-delivery/content/zdt-next/hbbtzn-l1/catalog-media；无重启","指针/校验错误终止该 target","E-AU-004-002"
"storefront","frontend","vinext dist + app/dist + content-addressed node_modules layer","无","/opt/sfl/nodes/zhudatuan-l0/targets/storefront；sfl-storefront@zhudatuan-l0","/opt/sfl/nodes/hbbtzn-l1/targets/storefront；sfl-storefront@hbbtzn-l1","Direct 只传播 restart 错误，不执行 remote health","E-AU-004-002; E-AU-004-006"
"auth-web","frontend","Auth dist → static","无","/opt/zhudatuan/targets/auth-web；无重启","/opt/sfl/nodes/hbbtzn-l1/targets/auth-web；无重启","依赖 Caddy 读取正确 pointer；L0 当前分裂","E-AU-004-002; E-AU-004-010"
"console","frontend","Console dist → static","无","/opt/zhudatuan/targets/console；无重启","/opt/sfl/nodes/hbbtzn-l1/targets/console；无重启","L0 pointer 分裂；L1 另有 OSS writer","E-AU-004-002; E-AU-004-008; E-AU-004-010"
"identity-api","service","Identity Main + Ready","after database-migration","L0 target；sfl-identity-api@zhudatuan-l0","L1 target；sfl-identity-api@hbbtzn-l1","Direct 只以 restart 成功收口","E-AU-004-002; E-AU-004-006"
"identity-notification-jobs","service","Identity Jobs Main + Ready","after database-migration","L0 target；sfl-identity-notification-jobs@zhudatuan-l0","L1 target；sfl-identity-notification-jobs@hbbtzn-l1","ExecStartPre 失败阻断 Main；Direct 传播 restart 错误","E-AU-004-002; E-AU-004-011"
"mall-provisioning-api","service","Mall Main + Ready","after database-migration","L0 target；sfl-mall-provisioning-api@zhudatuan-l0","L1 target；无 service","L1 只激活制品，不启动独立进程","E-AU-004-002"
"support-api","service","Console Support Main","after database-migration","/opt/zhudatuan/targets/support-api；zhudatuan-console-support","同一 L0 pointer/unit；hostedBy L0","两个逻辑节点共享物理运行单元","E-AU-004-002"
"purchase-api","service","Purchase Main + Ready","after database-migration","L0 target/unit","L0 target/unit；hostedBy L0","HBBTZN gateway 跨逻辑节点复用 L0 服务","E-AU-004-002; E-AU-004-009"
"web-api","service","Web Main + Ready","after database-migration","L0 target/unit","L0 target/unit；hostedBy L0","同上","E-AU-004-002; E-AU-004-009"
"catalog-api","service","Catalog Main + Ready","after database-migration","L0 target/unit","L0 target/unit；hostedBy L0","Ready 对象分裂见 F-0014","E-AU-004-002"
"catalog-jobs","service","Catalog Jobs Main + Ready","after database-migration","L0 target/unit","L0 target/unit；hostedBy L0","共享数据库队列；restart 失败传播","E-AU-004-002"
"payment-webhook-api","service","Payment Webhook Main + Ready","after database-migration","L0 target/unit","L0 target/unit；hostedBy L0","缺签名负向 Ready；合法业务路径不在此验证","E-AU-004-002"
"payment-jobs","service","Payment Jobs Main + Ready","after database-migration","L0 target/unit","L0 target/unit；hostedBy L0","共享数据库队列；restart 失败传播","E-AU-004-002"
"database-migration","migration","executor + 300 SQL + history","自身","/opt/ai-delivery/database-migrations/zdt-next；一次性","同一执行根；hostedBy L0","forward-only；服务的 after 不会自动 requires 它","E-AU-004-002; E-AU-004-003"
