"抽检编号","入口","首次结论","第二次重追路径","结果","独立性","后续"
"RS-AU-005-001","systemd→LocalSecretsMain","生产Main不鉴权","unit→build map→Main→Handler/policy负向引用→clientBearer","确认；staging policy credential也被忽略","同一主审逆向自检","RV-0003独立重追"
"RS-AU-005-002","systemd→LocalKmsMain","生产Main不鉴权","unit→Run→build→Main→LocalKms→KmsClient/Handler","确认；加密原语与HTTP授权分开","同一主审逆向自检","RV-0003独立重追"
"RS-AU-005-003","一个outbox producer","事件需relay转job","业务事务→runtime.outbox→OutboxStore→publisher→generated handlers→job","确认实现链；在正式target处断开","同一主审逆向自检","RV-0004按多个正式API抽样"
"RS-AU-005-004","release target列表","无aggregate jobs","release manifest→remote policy→systemd名字→entry构造点全仓搜索","确认只有dedicated jobs正式部署","同一主审逆向自检","RV-0004"
"RS-AU-005-005","Catalog export job","崩溃后generic claim不回收","CatalogJobsMain→createCatalogJobs→exportConfiguration无scope→JobRunner generic→SQL claim candidate","确认；cleanup实现存在但无正式scheduler/consumer","同一主审逆向自检","F-0024无需强制独立复核"
"RS-AU-005-006","registration database systemd","fresh PG17会失败","systemd→compose image/volume/init mount→script version/address/role guards→check fixture","确认配置互斥；未执行重放","同一主审逆向自检","RV-0005隔离重放"
"RS-AU-005-007","Console download click","签名URL不可达","UI anchor→GetExport→ObjectStore.authorize→LocalObjects Main publicEndpoint→Caddy负向搜索","确认固定仓库无rewrite补偿","同一主审逆向自检","可在对象专项做浏览器只读验证"
"RS-AU-005-008","对象scan gate","clean无真实来源","Export/Import consumer→ObjectStore contract→LocalObjects.complete→scanner负向搜索","确认clean为直接常量","同一主审逆向自检","由Ethan决定后续语义"
"RS-AU-005-009","object reference","相同bytes可覆盖metadata","find(path)→reference digest→inspect metadataFile(digest)→第二次complete writeFile","确认bytes不可变但path/contentType可变","同一主审逆向自检","隔离collision test"
"RS-AU-005-010","Redis degraded","不会同进程恢复","CommerceRuntime.start→RedisCache start/error→degrade/destroy→全部公开方法/close","确认无start重试或reconnect边","同一主审逆向自检","cache caller专项"
