"符号编号","文件编号","1 符号名称","2 声明位置","3 直接消费者","4 间接消费者","5 重新导出","6 动态访问","7 仅测试使用","8 公共契约","9 运行时副作用","10 可见范围","11 兼容导出","12 删除或改名影响"
"SYM-00422-001","FILE-00422","consoleScopeChildren","ConsoleRouter.tsx:16","同文件 consoleRouter；ConsoleModuleRoutes.test","Console 所有 scope 页面","无","React Router 读取","否","scope 子路由目录","构造时 materialize 15 modules","Console workspace","当前","scope children 消失或测试/路由初始化失败"
"SYM-00422-002","FILE-00422","consoleRouter","ConsoleRouter.tsx:25","ConsoleApp/RouterProvider","整个 Console 浏览器应用","无","RouterProvider","否","Browser Router 根","模块求值时绑定 history/basename","Console workspace","当前","ConsoleApp 无 router 实例"
"SYM-00433-001","FILE-00433","scopeShouldRevalidate","SessionLoader.ts:69","ConsoleRouter","scope 内导航","无","React Router callback","否","scope loader 缓存/revalidation 契约","无","Console workspace","当前","每次导航重载或跨 scope 不重载的行为改变"
"SYM-00433-002","FILE-00433","landingLoader","SessionLoader.ts:83","ConsoleRouter /","首次 Console 入口","无","React Router loader","否","landing→scope URL 契约","读 session并写短期 handoff","Console workspace","当前","根路由无法选择工作区"
"SYM-00433-003","FILE-00433","scopeLoader","SessionLoader.ts:94","ConsoleRouter scope route","ScopeShell/所有页面","无","React Router loader","否","ConsoleContext 建立契约","网络请求、prefetch handoff、context freeze","Console workspace","当前","所有 scope 深链无 session/context"
"SYM-00467-001","FILE-00467","ScopeShell","ScopeShell.tsx:30","ConsoleRouter Component","所有 scope 页面","无","React Router component","否","作用域壳/导航/outlet","hooks、preload、logout、focus effects","Console workspace","当前","scope route 可匹配但无 UI 壳"
"SYM-00467-002","FILE-00467","WorkspaceRouteLoading","ScopeShell.tsx:267","ScopeShell Suspense fallback；tests","lazy module navigation","无","React component","否","可见加载状态","读取 module label","Console workspace","当前","lazy 页面退化为无明确状态或导入失败"
"SYM-00028-001","FILE-00028","default App","App.tsx:12","auth main.tsx","Auth HTML root","默认导出","React render","否","accounts 页面根","state/effect/history 与子页面挂载","Auth workspace","当前；owner-approved 关系冲突","Auth 页面不渲染；F-0005 证据链断裂"
"SYM-00059-001","FILE-00059","loadIdentityNodeRuntime","identityNodeEnvironment.ts:19","auth main；tests","Auth 启动","无","同源 fetch","否","runtime registry 加载接口","fetch/install runtimeRegistry","Auth workspace","当前","runtime-only 节点无法加载，main 错误页"
"SYM-00059-002","FILE-00059","installIdentityNodeRuntime","identityNodeEnvironment.ts:31","loadIdentityNodeRuntime；tests","Auth services","无","测试/调用方可直接安装","否","runtime schema/host gate","写模块级 runtimeRegistry","Auth workspace","当前","畸形/跨 host runtime 可能不被拒绝或消费者编译失败"
