"evidence_id","kind","location","fact","supports"
"E-AU-027-001","覆盖","meal目录","12文件507行全部逐文件阅读","覆盖"
"E-AU-027-002","运行入口","ProviderFactories/MealProvider/ChannelSyncJob","Catalog/Price进入Commerce任务","架构"
"E-AU-027-003","多scope","BrandCatalog.ts:18-35; Provider.ts:18-27,37-49","允许多个scope但probe只接收scopes[0]并只invoke该scope","F-0112"
"E-AU-027-004","激活门禁","ExtensionRegistry.ts:26-44","register/stage以provider.health结果决定启动或候选健康","F-0112"
"E-AU-027-005","价格快照","Provider.ts:65-86","每次Price对本批命中的每个scope拉完整菜单并全量映射","F-0113"
"E-AU-027-006","任务批次","CatalogSourcePort.ts:28-31; ChannelSyncJob.ts:89-110","external ID排序后最多500 keys一批并推进cursor","F-0113"
"E-AU-027-007","依赖","BrandCatalog.ts:2; Provider.ts:5; package.json:9","源码直接type import vendorcore但dependencies缺失","F-0114"
"E-AU-027-008","测试","tests/Ports.test.ts; Provider.test.ts","只执行KFC单scope正常路径和未接线订单样例","F-0115"
"E-AU-027-009","禁用边界","OrderDraft.ts:5-19; index.ts; Provider.ts:31-35","非幂等订单构造器不导出且无order port","DC-0034"
"E-AU-027-010","死码检索","全仓rg","ErrorMap/brand names零caller；Webhook已有候选","DC-0035/DC-0026"
"E-AU-027-011","验证","package scripts","test/typecheck均127，工具缺失","验证限制"
