"编号","类型","位置","观察","证明","不证明"
"E-AU-019-001","范围","01_core_hexin/apps/auth-web","58文件6807行；49人工文本/代码6583行、9资源224行","固定范围与覆盖","线上制品"
"E-AU-019-002","入口","index.html; src/main.tsx; src/App.tsx","无Router；hostname+query+registry分流Consumer/Operator/invalid","真实页面入口","线上当前bundle"
"E-AU-019-003","bootstrap","main.tsx:7-31; identityNodeEnvironment.ts:16-58","build-known先render；runtime随后安装但render guard不重绘；错误catch可覆盖root","F-0084/F-0085","线上runtime状态"
"E-AU-019-004","身份链","Consumer/Operator; canonicalIdentity/Registration","session/challenge/member→ticket exchange→节点origin回跳校验","真实调用与失败传播","服务端事务正确"
"E-AU-019-005","敏感目的地","identityNodeEnvironment.ts:28-49; IdentityNodeRegistry.ts:151-217; identityNodeRuntime.test.ts:8-43","runtime只绑定accounts host，接受任意HTTPS API/回跳origin；请求正文含凭据","F-0083","live runtime已漂移"
"E-AU-019-006","版本一致性","main.tsx:8-18; App.tsx:11-46; canonicalIdentity.ts:371-470","App props捕获build entry；服务调用按已替换runtimeRegistry再次解析","F-0084","必然已有用户失败"
"E-AU-019-007","query传播","App.tsx:21-31; identityNodeEnvironment.ts:79-91","replaceState构造新query并丢login_intent","F-0086","所有切换都属于跨节点"
"E-AU-019-008","并行实现","LoginPage.tsx; auth.ts; owner-approved-ui.json","旧大页仅与compat service互引，App零import但机器清单锁定","GX-0002/F-0005","可删除或应恢复"
"E-AU-019-009","找回密码","OperatorIdentityPage.tsx:207-240,275-334","challenge发出后identifier仍可编辑且onChange不清challenge","F-0087","服务端会重置显示手机号"
"E-AU-019-010","重试","canonicalIdentity.ts:389-411; canonicalRegistration.ts:247-277","request closure每次生成新的idempotency-key与request-id","F-0088","已发生重复写"
"E-AU-019-011","元数据","index.html:13-18; release shared artifact","canonical/og url/image固定accounts.fufu，制品也供accounts.hbbtzn","F-0089","业务登录错误"
"E-AU-019-012","测试","vitest.config及15个test文件","当前页仅Operator 2例；main为源码字符串断言；canonical fetch全mock","F-0090","测试逻辑全部错误"
