"编号","路径","行数","职责","消费者","风险/结论"
"FILE-AU-015-001","package.json","27","root/react exports与scripts","3前端","活跃包"
"FILE-AU-015-002","FeedbackStore.test.ts","38","3例channel/timer","package test","缺引用mutation/listener throw"
"FILE-AU-015-003","FeedbackStore.ts","78","toast/feedback外部store","Storefront useToasts","P3 F-0072"
"FILE-AU-015-004","KeyedActionCoordinator.test.ts","65","4例dedupe/cancel/dispose","package test","缺跨Result类型"
"FILE-AU-015-005","KeyedActionCoordinator.ts","92","按key动作去重/revision/abort","Auth useIdentityActions","P3 F-0071"
"FILE-AU-015-006","KeyedMutationQueue.test.ts","152","6例collapse/concurrency/failure/cancel","package test","缺observer throw"
"FILE-AU-015-007","KeyedMutationQueue.ts","178","购物车写串行/回滚","Storefront cartQuantitySync","P3 F-0070"
"FILE-AU-015-008","PreloadRegistry.test.ts","45","4例dedupe/retry/schedule/dispose","package test","主干可信"
"FILE-AU-015-009","PreloadRegistry.ts","50","模块预加载去重","Console/Storefront","未发现独立问题"
"FILE-AU-015-010","ResourceCache.test.ts","64","4例storage/revalidate/dispose","package test","缺disposed read"
"FILE-AU-015-011","ResourceCache.ts","132","内存/持久化/cache revalidate","Auth和Storefront cart cache helpers","P3 F-0073"
"FILE-AU-015-012","index.ts","5","root barrel","生产消费者","全部export活跃"
"FILE-AU-015-013","react.ts","40","lazy/store/coordinator React hooks","Auth/Storefront","无直接测试；主干活跃"
"FILE-AU-015-014","tsconfig.json","5","TS/DOM边界","package typecheck","无独立问题"
