"函数编号","文件/位置","1 唯一职责","2 参数来源","3 运行时校验","4 默认值/特殊输入","5 外部可变状态","6 隐藏前置条件","7 返回/抛错","8 下游调用","9 超时重试","10 资源清理","11 并发/重复","12 已测分支","13 未测分支","14 复杂度/结论"
"FN-AU-007-001","01_core_hexin/packages/contract/src/ClientSchema.ts:12","解析items/cursor/count并验证安全整数","调用者参数、HTTP/业务投影或测试fixture","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-002","01_core_hexin/packages/contract/src/DeepLinkContract.ts:12","正则解析allowlist页面与id，但允许任意百分号","调用者参数、HTTP/业务投影或测试fixture","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0043的反事实未进入正式通过证据","[FACT] 关联F-0043；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-003","01_core_hexin/packages/contract/src/DeepLinkContract.ts:18","decode后重新encode id；畸形百分号抛原生URIError","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","关联F-0043的反事实未进入正式通过证据","[FACT] 关联F-0043；具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-004","01_core_hexin/packages/contract/src/DeepLinkContract.ts:23","DeepLinkContract.ts中的具名函数 validDeepLink","调用者参数、HTTP/业务投影或测试fixture","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-005","01_core_hexin/packages/contract/src/EventContract.ts:8","冻结Event contract外壳","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-006","01_core_hexin/packages/contract/src/ExperienceContract.ts:30","验证版本、页面/区块上限与Action/Component","调用者参数、HTTP/业务投影或测试fixture","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-007","01_core_hexin/packages/contract/src/ExperienceContract.ts:40","解析后稳定序列化内容寻址文档","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-008","01_core_hexin/packages/contract/src/ExperienceContract.ts:44","ExperienceContract.ts中的具名函数 parsePage","调用者参数、HTTP/业务投影或测试fixture","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-009","01_core_hexin/packages/contract/src/ExperienceContract.ts:51","ExperienceContract.ts中的具名函数 parseBlock","调用者参数、HTTP/业务投影或测试fixture","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-010","01_core_hexin/packages/contract/src/ExperienceContract.ts:59","ExperienceContract.ts中的具名函数 parseAction","调用者参数、HTTP/业务投影或测试fixture","函数内显式拒绝；分支已人工审阅","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-011","01_core_hexin/packages/contract/src/ExperienceContract.ts:65","ExperienceContract.ts中的具名函数 required","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-012","01_core_hexin/packages/contract/src/ExperienceContract.ts:70","ExperienceContract.ts中的具名函数 canonical","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
"FN-AU-007-013","01_core_hexin/packages/contract/src/FinancialActionPolicy.ts:31","精确allowlist判断财务action proof","调用者参数、HTTP/业务投影或测试fixture","依赖上游类型/被调用helper；具体见源码与branches","见函数默认参数；undefined/null/边界分支已记录","通常纯值/冻结对象；外部状态见communications.csv","调用者满足schema/上下文；公共API外部消费者UNKNOWN","返回冻结/解析值或生成文本；失败抛稳定错误为主","见exports.csv与communications.csv","无内部重试；不适用","无持有资源或由调用者管理","纯函数/共享目录读取；重复调用语义见源码","对应40个contract/2个contractgen用例或静态复算；正式执行环境阻塞","外部package、线上、动态加载与跨进程行为未验证","[FACT] 具名函数已读；匿名回调在文件/分支记录覆盖；复杂度按职责记录"
