"符号编号","文件编号/路径","1 符号名称","2 声明位置","3 直接消费者","4 间接消费者","5 重新导出","6 动态访问","7 仅测试使用","8 公共契约","9 运行时副作用","10 可见范围","11 兼容导出","12 删除或改名影响"
"SYM-AU-010-001","Decision.ts","DenialReason","Decision.ts:3","Policy/AccessPipeline类型","HTTP错误映射/测试","index.ts根导出","未发现","否","7个稳定拒绝原因union","无","workspace包消费者","未标deprecated","破坏Policy返回与调用方reason处理"
"SYM-AU-010-002","Decision.ts","DecisionEvidence","Decision.ts:5-10","Policy","AccessContext/测试","index.ts根导出","未发现","否","允许证据结构","无","workspace包消费者","未标deprecated","破坏decision evidence类型"
"SYM-AU-010-003","Decision.ts","Decision","Decision.ts:12-14","Policy.decide","包测试/security test","index.ts根导出","未发现","生产无完整façade caller","完整判定结果union","无","workspace包消费者","DC-0012","破坏decide公共结果"
"SYM-AU-010-004","Permission.ts","PermissionRisk","Permission.ts:3","PermissionDefinition","Console/contractgen间接","index.ts根导出","未发现","否","四级风险类型","无","workspace包消费者","未标deprecated","破坏目录、OpenAPI与UI风险类型"
"SYM-AU-010-005","Permission.ts","Permission","Permission.ts:4","仓内未发现精确外部引用","目录code间接为string","index.ts根导出","未发现","是/类型候选","permission名义类型别名","无","workspace包消费者","公共类型，未标deprecated","仓外类型源码可能失败；不能按零引用删除"
"SYM-AU-010-006","Permission.ts","PermissionDefinition","Permission.ts:6-12","PermissionCatalog","contractgen/Console","index.ts根导出","未发现","否","code/category/risk/stepup/scopes结构","无","workspace包消费者","未标deprecated","破坏目录构造和消费类型"
"SYM-AU-010-007","PermissionCatalog.ts","PERMISSION_CATALOG","PermissionCatalog.ts:11-196","Console、contractgen、quality tests","Operation/DB/generated artifacts","index.ts根导出","未发现","否","184 permission事实目录","模块加载构造冻结外数组","workspace包消费者+direct source import","无","删除首先使contractgen/Console构建失败"
"SYM-AU-010-008","PermissionCatalog.ts","permissionDefinition","PermissionCatalog.ts:201-205","AccessPipeline、ModuleOperations","HTTP授权/高风险read审计","index.ts根导出","未发现","否","code到definition lookup，unknown抛错","读取模块级Map","workspace包消费者","无","授权和审计风险分类失效"
"SYM-AU-010-009","Policy.ts","MembershipAccess","Policy.ts:5-11","AccessPipeline/PgResolvers/Governance/Mall/tests","角色/override/scopegrant数据库投影","index.ts根导出","未发现","否","授权输入快照","无","workspace包消费者","无","破坏所有完整/分阶段判定输入"
"SYM-AU-010-010","Policy.ts","DecisionContext","Policy.ts:13-18","decide/precheck/checkAssurance","包测试/security test","index.ts根导出","未发现","生产完整类型无caller","版本/时间/stepup上下文","无","workspace包消费者","DC-0012","影响decide公共API"
"SYM-AU-010-011","Policy.ts","decide","Policy.ts:20-28","仅Policy.test和security test","仓外UNKNOWN","index.ts根导出","未发现","是","完整纯授权判定façade","无","workspace包消费者","DC-0012/G1","删除丢唯一完整顺序API和测试契约"
"SYM-AU-010-012","Policy.ts","precheck","Policy.ts:30-36","AccessPipeline、Policy.test","7个runtime HTTP授权","index.ts根导出","未发现","否","membership/version/deny/permission/grant阶段","无","workspace包消费者","无","删除使生产授权无法编译"
"SYM-AU-010-013","Policy.ts","checkScope","Policy.ts:38-44","AccessPipeline、AccessOperations、tests","HTTP授权与角色assignment","index.ts根导出","未发现","否","permission scope kind与containment阶段","无","workspace包消费者","无","删除使生产授权/Access写路径失败"
"SYM-AU-010-014","Policy.ts","checkAssurance","Policy.ts:46-48","AccessPipeline、Policy/security tests","critical Operation授权","index.ts根导出","未发现","否","critical freshness阶段","无","workspace包消费者","无","删除使step-up组合失效"
"SYM-AU-010-015","Scope.ts","Scope","Scope.ts:3-8","15个直接源码消费者","DB scope JSON/Console session","index.ts根导出","未发现","否","11类scope及tenant/path结构","无","workspace包消费者","无","影响授权、决策审计与UI类型"
"SYM-AU-010-016","Scope.ts","ScopeGrant","Scope.ts:10-15","PgAccessResolvers/Policy","数据库grant投影","index.ts根导出","未发现","否","权限+scope+有效期结构","无","workspace包消费者","无","影响membership投影和Policy"
"SYM-AU-010-017","ScopeKind.ts","SCOPE_KINDS","ScopeKind.ts:1","Console、AccessOperations、tests、PermissionCatalog","Zod/目录/DB解析","index.ts根导出","未发现","否","11个canonical kind运行数组","导出可变数组；F-0032","workspace包消费者","无","删除/改序破坏解析和UI；mutation会漂移"
"SYM-AU-010-018","ScopeKind.ts","ScopeKind","ScopeKind.ts:2","Console/SDK/Authz类型消费者","Scope结构","index.ts根导出","未发现","否","scope kind union","无","workspace包消费者","无","破坏跨包类型契约"
