"接口编号","设施","入口/操作","调用者","输入","成功输出","失败/状态","权限/幂等","证据"
"IF-AU-005-001","Secret Store","GET /health/ready","systemd Ready/人工","无","200 ready","405","匿名；唯一预期匿名路由","localsecrets/Main+Handler"
"IF-AU-005-002","Secret Store","GET /v1/secrets/:ref","WorkloadSecretStore","Bearer+encoded ref","200 {value}","404/405；授权版另有401/403","实际Main无权限；F-0021","E-AU-005-006"
"IF-AU-005-003","KMS","POST /v1/envelopes","KmsClient.encrypt","Bearer+keyRef+context+plaintext","ciphertext+fingerprint+keyVersion","400/404/405；授权版另有401/403","实际Main无权限；随机nonce","E-AU-005-006"
"IF-AU-005-004","KMS","POST /v1/plaintexts","KmsClient.decrypt","Bearer+keyRef+context+ciphertext","plaintext","400/404/405；授权版另有401/403","实际Main无权限；AAD完整性","E-AU-005-006"
"IF-AU-005-005","Local Objects","POST /v1/uploads；PUT parts；POST completion；DELETE upload","HttpUpload","object Bearer+path/type/bytes/hash/size","upload id/StoredObject/204","400/401/404/非ok","私有Bearer；completion按hash","E-AU-005-007/008"
"IF-AU-005-006","Local Objects","GET /v1/objects/metadata|objects；POST authorizations","ObjectStore callers","object Bearer+path/ref/expiry","metadata/bytes/signed URL","400/401/404","私有Bearer","E-AU-005-007"
"IF-AU-005-007","Local Objects","GET /v1/public/:ref","Browser","ref+expires+signature","bytes+metadata contentType","401/404","HMAC能力URL；F-0025 host错误","E-AU-005-007/017"
"IF-AU-005-008","PostgreSQL","runtime.claim_job","generic JobRunner","kind/owner/limit/lease","claimed runtime.job rows","argument/SQL错误","SKIP LOCKED；不回收running F-0024","E-AU-005-005"
"IF-AU-005-009","PostgreSQL","runtime.claim_identity_notification_job / scoped inline claim","dedicated Jobs","worker/batch/lease/scope","queued或expired-running rows","SQL/lease错误","lease owner+scope","E-AU-005-005"
"IF-AU-005-010","PostgreSQL","runtime.accept_inbox + job insert","RuntimeEventPublisher","consumer+event envelope","inserted boolean + queued jobs","整事务rollback","consumer/event去重","E-AU-005-004"
"IF-AU-005-011","Redis","GET/SET EX/DEL","RedisCache","key/JSON/TTL","value/null/boolean","degraded fail-open","非权威；无同进程恢复F-0028","E-AU-005-009"
"IF-AU-005-012","Catalog OSS","put/head等provider adapter","Catalog media replication","content-addressed key+bytes+metadata","provider metadata","provider/校验错误","多target size/hash核对","E-AU-005-015"
