"编号","路径","行数","职责","入口/调用者","风险","结论","二次复核"
"FILE-AU-013-001","01_core_hexin/packages/telemetry/package.json","18","workspace与正式脚本","npm workspace","P3环境阻塞","活跃包；test/typecheck存在但依赖未安装","否"
"FILE-AU-013-002","01_core_hexin/packages/telemetry/src/Adapter.ts","37","组合logger/metrics/tracer","node/browser/miniapp adapters","P3 F-0067","Promise writer拒绝被丢弃","否"
"FILE-AU-013-003","01_core_hexin/packages/telemetry/src/ClientErrors.test.ts","40","buffer聚合/清理/Scope测试","package test","P2缺口","3例主干；不覆盖异常Scope和writer失败","否"
"FILE-AU-013-004","01_core_hexin/packages/telemetry/src/ClientErrors.ts","102","进程内错误聚合与读取","ObservabilityModule","P2 F-0055/F-0066；P1 F-0065","脱敏与Scope缺口；正式发布无入口","是 RV-0011"
"FILE-AU-013-005","01_core_hexin/packages/telemetry/src/Context.ts","27","遥测上下文类型","公共barrel","未发现独立问题","纯类型契约","否"
"FILE-AU-013-006","01_core_hexin/packages/telemetry/src/InteractionTimeline.test.ts","29","交互时间线测试","package test","P3缺口","2例覆盖主干和取消","否"
"FILE-AU-013-007","01_core_hexin/packages/telemetry/src/InteractionTimeline.ts","88","前端交互阶段时间线","Auth/Console/Storefront","P3边界","回调异常保留active；主流路径正常","否"
"FILE-AU-013-008","01_core_hexin/packages/telemetry/src/Logger.ts","22","结构化日志","Telemetry.logger","P1 F-0065","同一Redactor进入writer","是 RV-0011"
"FILE-AU-013-009","01_core_hexin/packages/telemetry/src/Metrics.ts","6","指标接口","公共barrel","P3 F-0067","接口允许同步调用","否"
"FILE-AU-013-010","01_core_hexin/packages/telemetry/src/Redactor.test.ts","20","脱敏器测试","package test","P1缺口","仅1例键名/Bearer/手机号/email","是 RV-0011"
"FILE-AU-013-011","01_core_hexin/packages/telemetry/src/Redactor.ts","19","递归脱敏","日志、指标、trace、审计、客户端错误","P1候选 F-0065","字符串内credential/PII覆盖不足；循环抛错","是 RV-0011"
"FILE-AU-013-012","01_core_hexin/packages/telemetry/src/Telemetry.ts","11","组合接口","公共barrel","未发现独立问题","纯类型聚合","否"
"FILE-AU-013-013","01_core_hexin/packages/telemetry/src/Tracer.ts","11","trace接口","公共barrel","P3 F-0067","writer拒绝语义未体现在同步span API","否"
"FILE-AU-013-014","01_core_hexin/packages/telemetry/src/browser.ts","20","sendBeacon adapter","公共导出；仓内零生产caller","G1 DC-0017","公开兼容入口，不能按零引用删除","否"
"FILE-AU-013-015","01_core_hexin/packages/telemetry/src/index.ts","12","包barrel","27个引用文件","未发现独立问题","统一公共入口","否"
"FILE-AU-013-016","01_core_hexin/packages/telemetry/src/miniapp.ts","3","miniapp adapter","公共导出；仓内零生产caller","G1 DC-0017","公开兼容入口，不能删除","否"
"FILE-AU-013-017","01_core_hexin/packages/telemetry/src/node.ts","3","Node adapter","多个Commerce runtime","P1 F-0065","活跃生产入口","是 RV-0011"
"FILE-AU-013-018","01_core_hexin/packages/telemetry/tsconfig.json","5","TS编译边界","package typecheck","未发现独立问题","标准shared config扩展","否"
