"崩溃点编号","步骤","持久事实","崩溃后当前行为","自动恢复入口","重复风险","结论"
"QC-001","业务事务提交 runtime.outbox 后、relay claim 前","业务写与 outbox 同事务已提交","事件留在 unpublished outbox","OutboxRelay 应轮询；正式 target 图当前无该进程","无发布则不是重复而是永久等待","[CONFLICT] F-0022；live积压未验证"
"QC-002","relay claim 后、publish 前","claimed_by/claim_until 已提交","claim_until 到期后可再次 claim","OutboxStore.claim 接受过期 claim","同一事件可重试；尚未写 inbox/job","[FACT] 可恢复，前提是 relay存在"
"QC-003","inbox+job transaction 提交后、outbox published 前","每 handler inbox key与job enqueue已原子提交","relay重试同一event；accept_inbox返回false，不再enqueue","OutboxRelay下一轮重放","inbox去重抑制重复job","[FACT] 设计成立，测试使用mock DB"
"QC-004","outbox marked published 后","published_at已提交","relay不会再取该事件","无需恢复","无","[FACT] 终态"
"QC-005","scoped/identity job claim 后进程退出","job=running且lease_deadline存在","过期 running 可由 scoped SQL或identity claim重新领取","对应 dedicated worker重启","processor外部副作用幂等留模块专项","[FACT] 基础设施回收成立"
"QC-006","generic job claim 后进程退出","job=running且lease_deadline存在","runtime.claim_job只取queued，不能自己回收","Runtime cleanup可重排，但它仅在未部署aggregate Jobs中","若人工重排，processor副作用仍需幂等","[CONFLICT] F-0024"
"QC-007","scheduler ensure 前后退出","schedule job ID按kind+bucket确定","同bucket重试由ON CONFLICT抑制重复","scheduler lease过期后下一进程","无scheduler正式target时不会恢复","[CONFLICT] F-0022"
"QC-008","JobRunner processor抛错","running job与lease属于worker","同事务写deadletter（终态）或queued+backoff","同一worker loop/后续worker","processor已完成外部副作用时可能重复；本AU未审","[FACT]/[UNKNOWN] 基础状态可恢复，业务幂等未验证"
"QC-009","JobRunner heartbeat失败但processor继续","lease可能被另一worker取得","heartbeat异常被catch丢弃，processor直到deadline/完成才发现条件更新失败","条件complete/fail产生JOB_LEASE_LOST","两个processor可能短时并行；业务幂等未审","[HYPOTHESIS] 需processor专项，不在本AU定级"
"QC-010","LocalObjects上传中进程退出","分片仅在内存Map","上传ID与分片丢失；未产生正式object/metadata/path","客户端重新开始完整上传","无已提交对象重复；调用方重试语义未统一","[FACT] 易失上传会话"
