"探针","systemd 阶段","被测对象","成功条件","预算","证明","不证明","失败传播","证据"
"Identity API Ready","ExecStartPost","已经启动的 Identity HTTP 进程","GET /health/ready 为 200 且 body.status=ready","60×500ms；单请求 1s；unit 30s","端口、路由和 runtime compatibility 响应","全部 identity operations 正确","抛错→unit 启动失败→on-failure restart","E-AU-003-008"
"Mall Provisioning Ready","ExecStartPost","已经启动的 Mall HTTP 进程","GET /health/ready 为 200/ready","60×500ms；单请求 1s；unit 30s","端口、health route、依赖","CreateMall 业务路径可写","抛错→unit 启动失败","E-AU-003-008"
"Support Ready","ExecStartPost","已经启动的 Support HTTP 进程","curl -f /health/ready","curl retry 20；max 30s","端口、health route 返回 2xx","响应 schema 或业务 routes","curl 非 0→unit 启动失败","E-AU-003-008"
"Purchase Ready","ExecStartPost","已经启动的 Purchase HTTP 进程","GET /health/ready 为 200/ready","60×500ms；单请求 1s；unit 30s","端口、health route、依赖","checkout/order/payment 正常路径","抛错→unit 启动失败","E-AU-003-008"
"Web Business Ready","ExecStartPost","已经启动的 Web HTTP 进程","200/ready 且 manifestId/version/digest/runtimeInstance/resourceBinding/node/scope 精确匹配","60×500ms；单请求 1s；unit 30s","端口、route、节点绑定和依赖","全部公开/认证业务 route 正确","抛错→unit 启动失败","E-AU-003-008"
"Catalog Operator Ready","ExecStartPost","第二个临时 Catalog runtime","runtime 创建成功并输出 manifest 后关闭","unit 30s","manifest/secret/store/database runtime 可重复创建","Main 的 HTTP 端口或 health route 可响应","临时 runtime 抛错才使 unit 失败；见 F-0014","E-AU-003-019"
"Payment Webhook Ready","ExecStartPost","已经启动的 Payment Webhook HTTP 进程","缺签名 POST 返回 400/PROVIDER_SIGNATURE_MISSING","总 29s；每次 1s；间隔 250ms","host 路由、唯一 operation 和签名前置校验可达且无 DB 写入","合法签名、解密和幂等成功路径","非预期响应/超时→unit 启动失败","E-AU-003-008"
"Identity Notification Jobs Ready","ExecStartPre","临时 Identity Jobs runtime","runtime 创建成功后关闭并输出 READY","unit 30s","依赖、manifest、DB/config 可创建","真实 worker 已启动、能 claim/process","失败时 Main 不启动；生产日志证实重试","E-AU-003-008/016"
"Catalog Jobs Ready","ExecStartPre","临时 Catalog Jobs runtime","runtime 创建成功后关闭并输出 manifest","unit 30s","依赖、scope、object store、DB 可创建","消费者实际运行或 queue 可处理","失败时 Main 不启动","E-AU-003-008"
"Payment Jobs Ready","ExecStartPre","临时 Payment Jobs runtime","payment-only profile + runtime 创建成功后关闭","unit 30s","依赖、payment gateway、DB 可创建","两个消费者实际 claim/process","失败时 Main 不启动","E-AU-003-008"
"Catalog Object Store Ready","对象存储 unit 的探针入口","HTTPS object-store 进程","/health/ready 200/ready，若有 expected manifest 则字段匹配","60×500ms；单请求 1s","对象存储端口/证书放宽后的 health 响应","Catalog API 本身","抛错→其所属 unit 启动失败","E-AU-003-008"
