"证据编号","证据类型","时间/基线","入口/位置","观察","可证明","不可证明","复现/复核","敏感性"
"E-AU-006-001","Git/范围","固定基线","branch、rev-parse、status、files.csv","审计分支固定延续5a1ce71；开工HEAD为e3ca3a04；源码未改；origin/zdt-next后续前进不并入","本AU基线、范围、报告-only边界","不能证明线上等于固定基线","在审计worktree核对分支、merge-base、source blob和status","无"
"E-AU-006-002","源码调用链","固定基线","各Environment.ts；Commerce entry/bootstrap；systemd/env example","systemd/env→Main parser→专用Bootstrap→Manifest二次校验；Catalog Jobs parser位于Bootstrap内","环境键的主要所有者、消费者和失败传播","不能证明线上实际值或unit当前active","从unit/target反追entry、parser、bootstrap和Manifest assert","只记录键名，不记录值"
"E-AU-006-003","只读静态复算","固定基线","environment.mjs；source.mjs；report.mjs","按同源选择、正则和去重算法得到1743 sources、85 unique violations、23 files：undeclared35/outside49/dynamic1","固定代码一旦越过依赖加载，门禁会拒绝这些静态状态","正式命令本次未越过typescript加载；不能证明每条规则产品上都正确","保留environment-gate-replica.csv；依赖完整环境执行npm run check:environment","无"
"E-AU-006-004","测试入口/历史","固定基线","config/package.json:7-12；根package.json:50；四个*Environment.test.ts；git log","包test只列4个测试文件，遗漏MallProvisioning/Purchase/PaymentWebhook/WebBusiness专用测试；根test:unit只调用workspace test","四文件断言不会由正式package/root unit入口执行；遗漏自2026-09-04存在","不能证明遗漏测试当前通过或失败","比较git ls-files测试集与scripts.test；依赖完整后分别执行正式和显式四文件","无"
"E-AU-006-005","源码安全链","固定基线","SflNodeKernelConsole.ts:220-299,330-399,417-438；Console RuntimeConfig.ts:32-58；SDK RequestContextFactory.ts:27-38、ApiClient.ts:99-110、FetchTransport.ts:6-15","runtime URL只校验HTTPS；reference validator不核对Manifest domain；解析值直接成为API/login地址；SDK会附带cookie派生CSRF、action proof并credentials include","错误或被替换的runtime JSON可改变Console请求与登录目的地且仍通过当前parser","未读取线上runtime JSON；不能证明当前已被篡改或CORS/目标服务一定接受请求","第二位审计者从producer、activation、gateway、browser、SDK反向重追并构造cross-domain反事实","不记录任何token值"
"E-AU-006-006","隔离运行探针","固定基线","SflNodeRegistry.ts:60-67,88-117,122-176；RuntimeCatalog.generated.ts:2-109；Node22 strip-types","registry outer frozen=true但嵌套false，修改host后resolver改变；RUNTIME_LIMITS outer frozen=true但http/pool/query嵌套false，deadline可从15000改为1","共享配置导出存在真实进程内可变状态，readonly类型不是运行时保护","不能证明生产消费者当前执行了修改","隔离进程分别导入registry与RuntimeCatalog，Object.isFrozen并修改虚构host/数值；搜索当前写引用","仅使用虚构audit.invalid和隔离数值"
"E-AU-006-007","生成链","固定基线","build-runtime-config.mjs:8-22,24-58；cache.yml；capacity.yml；check/generated.mjs；RuntimeCatalog.generated.ts和Miniapp生成物","YAML输入经validate生成TS/JS；--check逐字比对；13类运行消费者读取共享容量/缓存值","生成来源、漂移检查和消费方向","本次缺依赖未执行正式check；不能证明仓库外生成物","依赖完整环境运行npm run check:generated；不得运行写模式","无"
"E-AU-006-008","源码分支","固定基线","Environment.ts:25-27；MiniappEnvironment.ts:15-22；generated Environment.js:22-29；ApiEnvironment.ts:49-53；WebBusinessApiEnvironment.ts:83-85；LocalEnvironment.ts:222-225","TS miniapp trim而生成JS不trim；origin helper先Set去重；local secureEndpoint只做startsWith","三处确定的分支/语义差异","不能证明线上曾收到这些边界输入","构造空白、重复origin、https://反事实；正式测试入口补齐后执行","无"
"E-AU-006-009","引用/导出搜索","固定基线","ClientEnvironment.ts；ProviderEnvironment.ts；Environment.ts；SflNodeRegistry.ts；package exports","clientEnvironment、providerEnvironment、minimumLength、base64ByteLength、purchaseBrowserOrigins无生产调用，仍被公共subpath或server export暴露","只能形成G1候选","不能证明外部仓库、历史兼容或未来发布无消费者","二次全局/动态/config/包契约复核前禁止升级G2/G3","无"
"E-AU-006-010","Git历史","截至固定基线","git log -- config包、environment.mjs及四个测试","SFL内核在9月7-12日高频演进；四专用测试9月4日起存在；package test后续修改仍未纳入","变更热点和遗漏持续时间","不能单凭历史判定动机或删除责任","history.md列出关键提交；必要时逐提交复核","无"
"E-AU-006-011","验证环境","2026-09-14","npm test --workspace @shop/config；npm run check:environment","分别在vitest command not found与typescript ERR_MODULE_NOT_FOUND处退出，均未加载被测实现/检查逻辑","当前审计worktree依赖不完整；失败是环境阻塞","不能写成产品测试失败或通过","不安装依赖；后续在正式依赖环境重跑","命令输出无凭据"
"E-AU-006-012","反向抽检","固定基线","review-sample.csv","6/35深审文件从消费者/失败点反追定义，占17.1%","满足本单元15%逆向抽检纪律","不是第二位独立复核","按sample逐条重做并对照首次结论","无"
"E-AU-006-013","契约缺口","固定基线","SflNodeKernel.ts:1173-1182,1521-1548；标准关键词检索","relation history拒绝重叠但允许时间间隙及终段结束；已定位标准未写明连续性要求","存在未定稿的行为边界","不能据此断言实现错误","在SFL专项由Ethan确认业务契约后再判定","无"
