"消费者编号","路径","行","板块","层级","导入类型","Authz入口","导入/导出符号","语句/用途","发现方式","边界结论"
"CON-AU-010-001","01_core_hexin/apps/console/src/entity/navigation/ConsoleNavigation.test.ts","1","Console","测试","package runtime","@shop/authz","SCOPE_KINDS","导航测试scope kind","rg静态import","测试消费"
"CON-AU-010-002","01_core_hexin/apps/console/src/entity/session/ConsoleSession.ts","1","Console","entity/schema","package runtime+type","@shop/authz","SCOPE_KINDS; ScopeKind","Zod session/scope解析","rg静态import","生产bundle消费；目录mutation可传播"
"CON-AU-010-003","01_core_hexin/apps/console/src/feature/access/AccessRoleCatalog.ts","1","Console","feature","package runtime","@shop/authz","PERMISSION_CATALOG","角色权限分组/风险标签","rg静态import","生产UI消费；approval漂移F-0059"
"CON-AU-010-004","01_core_hexin/apps/console/src/feature/access/AccessRoute.test.tsx","1","Console","测试","package runtime","@shop/authz","PERMISSION_CATALOG","角色页面fixture/计数","rg静态import","测试消费"
"CON-AU-010-005","01_core_hexin/apps/console/src/feature/finance/FinanceAuthorityQuery.test.ts","2","Console","测试","type only","@shop/authz","ScopeKind","finance authority fixture","rg静态import","仅类型测试"
"CON-AU-010-006","01_core_hexin/apps/console/src/feature/finance/FinanceWorkspaceQuery.test.ts","2","Console","测试","type only","@shop/authz","ScopeKind","workspace fixture","rg静态import","仅类型测试"
"CON-AU-010-007","01_core_hexin/apps/console/src/feature/profile/ProfileModel.ts","1","Console","feature","package runtime","@shop/authz","PERMISSION_CATALOG","Profile权限分组","rg静态import","生产UI第二份映射；F-0059"
"CON-AU-010-008","01_core_hexin/apps/console/src/shared/api/Client.ts","1","Console","shared API","type only","@shop/authz","ScopeKind","request scope context","rg静态import","生产类型消费"
"CON-AU-010-009","01_core_hexin/apps/console/src/shell/ScopeShell.test.tsx","1","Console","测试","package runtime","@shop/authz","SCOPE_KINDS","scope shell测试","rg静态import","测试消费"
"CON-AU-010-010","01_core_hexin/packages/sdk/src/RequestContext.ts","1","SDK","public type","type only","@shop/authz","ScopeKind","SDK request context","rg静态import","生产SDK类型消费"
"CON-AU-010-011","01_core_hexin/services/commerce/src/foundation/application/ModuleOperations.ts","2","Commerce","application foundation","package runtime","@shop/authz","permissionDefinition","high/critical read audit选择","rg静态import","生产消费"
"CON-AU-010-012","01_core_hexin/services/commerce/src/foundation/security/AccessContext.ts","1","Commerce","security foundation","type only","@shop/authz","MembershipAccess; Scope","Actor/AccessContext结构","rg静态import","生产类型消费"
"CON-AU-010-013","01_core_hexin/services/commerce/src/foundation/security/AccessPipeline.test.ts","1","Commerce","测试","type only","@shop/authz","MembershipAccess; Scope","45个Pipeline展开测试","rg静态import","测试消费"
"CON-AU-010-014","01_core_hexin/services/commerce/src/foundation/security/AccessPipeline.ts","1","Commerce","security runtime","package runtime+type","@shop/authz","precheck; checkScope; checkAssurance; permissionDefinition; MembershipAccess","正式授权阶段","rg静态import+runtime反追","核心生产消费者；7 runtime"
"CON-AU-010-015","01_core_hexin/services/commerce/src/foundation/security/DecisionSink.ts","2","Commerce","security port","type only","@shop/authz","Scope","decision audit载荷","rg静态import","生产类型消费"
"CON-AU-010-016","01_core_hexin/services/commerce/src/foundation/security/GovernanceResolver.test.ts","1","Commerce","测试","type only","@shop/authz","Scope","governance fixture","rg静态import","测试消费"
"CON-AU-010-017","01_core_hexin/services/commerce/src/foundation/security/GovernanceResolver.ts","1","Commerce","security port","type only","@shop/authz","MembershipAccess; Scope","governance resolver契约","rg静态import","生产类型消费"
"CON-AU-010-018","01_core_hexin/services/commerce/src/foundation/security/NodeBoundScopeResolver.test.ts","1","Commerce","测试","type only","@shop/authz","Scope","node scope反事实","rg静态import","测试消费"
"CON-AU-010-019","01_core_hexin/services/commerce/src/foundation/security/NodeBoundScopeResolver.ts","1","Commerce","security adapter","type only","@shop/authz","Scope","节点ID绑定scope","rg静态import","生产类型消费"
"CON-AU-010-020","01_core_hexin/services/commerce/src/foundation/security/PgAccessResolvers.ts","2","Commerce","security adapter","type only","@shop/authz","MembershipAccess; Scope; ScopeGrant","DB session/membership/scope投影","rg静态import+SQL反追","生产数据边界；F-0057"
"CON-AU-010-021","01_core_hexin/services/commerce/src/foundation/security/ScopeResolver.ts","1","Commerce","security port","type only","@shop/authz","Scope","scope resolver契约","rg静态import","生产类型消费"
"CON-AU-010-022","01_core_hexin/services/commerce/src/modules/access/03_application_yingyong/AccessOperations.ts","2","Commerce Access","application","package runtime+type","@shop/authz","checkScope; SCOPE_KINDS; Scope","角色/范围管理二级scope检查与DB解析","rg静态import+调用反追","生产消费；F-0053/F-0054"
"CON-AU-010-023","01_core_hexin/services/commerce/src/modules/mall/02_domain_yewu/MallContext.ts","1","Commerce Mall","domain","type only","@shop/authz","MembershipAccess; Scope","mall context计算","rg静态import","生产类型消费"
