"evidence_id","kind","location","fact","supports"
"E-AU-026-001","覆盖","flower目录","10文件548行全部逐文件阅读","覆盖"
"E-AU-026-002","运行入口","Provider.ts/ProviderFactories/ChannelSyncJob","三只读port进入Commerce任务","架构"
"E-AU-026-003","分页","FlowerClient.ts:44-53,111-120,166-170","固定size=200；非末页短页未拒绝","F-0108"
"E-AU-026-004","快照","FlowerClient.ts:56-92","每次非空Price/Stock均重新遍历全部分类/商品页","F-0109"
"E-AU-026-005","任务批次","ChannelSyncJob.ts:89-116","Price/Stock分别按最多500 keys调用provider","F-0109"
"E-AU-026-006","价格不变量","Mapper.ts:137-173; CatalogProductImport.ts:89-92","非零market_price直接成为compareMinor；下游拒绝compareMinor低于amountMinor","F-0110"
"E-AU-026-007","对照实现","cake/Mapper.ts:143-176; cake/tests/CakeuncleClient.test.ts:66","Cake已把低于售价的市场价省略，Flower没有同等处理","F-0110"
"E-AU-026-008","测试","tests/Provider.test.ts","只检查required ID/签名，无Client/Mapper行为测试","F-0111"
"E-AU-026-009","死码检索","全仓rg","ErrorMap零caller；Webhook是既有公共别名","DC-0033/DC-0026"
"E-AU-026-010","验证","package scripts","test/typecheck均127，工具缺失","验证限制"
